sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
F_3_8W,Neural progenitor cell,ARX,70,0,0.0,
F_3_8W,Epiblast cell,ARX,31,0,0.0,
F_3_8W,Granulosa cell,ARX,31,9,0.2903225806451613,4.090047820281002
F_3_8W,Hemangioblast,ARX,9,0,0.0,
F_3_8W,Zygote,ARX,58,0,0.0,
F_3_8W,Neural progenitor cell,ATAD2,70,52,0.7428571428571429,0.9583040576948002
F_3_8W,Epiblast cell,ATAD2,31,12,0.3870967741935484,0.6183701734359947
F_3_8W,Granulosa cell,ATAD2,31,14,0.4516129032258064,0.7770547423091732
F_3_8W,Hemangioblast,ATAD2,9,3,0.3333333333333333,0.2888802413188927
F_3_8W,Zygote,ATAD2,58,17,0.293103448275862,0.852488897682342
F_3_8W,Neural progenitor cell,CTCFL,70,2,0.0285714285714285,0.9902210379335624
F_3_8W,Epiblast cell,CTCFL,31,1,0.032258064516129,2.8304046829115457
F_3_8W,Granulosa cell,CTCFL,31,1,0.032258064516129,6.068945854705789
F_3_8W,Hemangioblast,CTCFL,9,2,0.2222222222222222,0.6448778064011308
F_3_8W,Zygote,CTCFL,58,3,0.0517241379310344,5.102894554363648
F_3_8W,Neural progenitor cell,DSCR8,70,34,0.4857142857142857,0.6485858681243282
F_3_8W,Epiblast cell,DSCR8,31,13,0.4193548387096774,0.823941714751771
F_3_8W,Granulosa cell,DSCR8,31,5,0.1612903225806451,1.0152032336255898
F_3_8W,Hemangioblast,DSCR8,9,1,0.1111111111111111,0.1998655064625903
F_3_8W,Zygote,DSCR8,58,27,0.4655172413793103,1.4380393930843496
F_3_8W,Neural progenitor cell,HORMAD1,70,15,0.2142857142857142,1.268841780930131
F_3_8W,Epiblast cell,HORMAD1,31,10,0.3225806451612903,1.174412166693352
F_3_8W,Granulosa cell,HORMAD1,31,3,0.0967741935483871,0.3159632330510906
F_3_8W,Hemangioblast,HORMAD1,9,0,0.0,
F_3_8W,Zygote,HORMAD1,58,13,0.2241379310344827,1.851945427189256
F_3_8W,Neural progenitor cell,LEMD1,70,0,0.0,
F_3_8W,Epiblast cell,LEMD1,31,0,0.0,
F_3_8W,Granulosa cell,LEMD1,31,8,0.2580645161290322,3.7587765686857777
F_3_8W,Hemangioblast,LEMD1,9,0,0.0,
F_3_8W,Zygote,LEMD1,58,1,0.0172413793103448,3.63094405284032
F_3_8W,Neural progenitor cell,LUZP4,70,28,0.4,0.7213123600266037
F_3_8W,Epiblast cell,LUZP4,31,15,0.4838709677419355,0.809326233680766
F_3_8W,Granulosa cell,LUZP4,31,2,0.064516129032258,0.8936863651462328
F_3_8W,Hemangioblast,LUZP4,9,0,0.0,
F_3_8W,Zygote,LUZP4,58,25,0.4310344827586206,1.5567844633189611
F_3_8W,Neural progenitor cell,MAGEA4,70,12,0.1714285714285714,1.1064227879346429
F_3_8W,Epiblast cell,MAGEA4,31,6,0.1935483870967742,1.2460503922111206
F_3_8W,Granulosa cell,MAGEA4,31,2,0.064516129032258,1.0059855979662793
F_3_8W,Hemangioblast,MAGEA4,9,0,0.0,
F_3_8W,Zygote,MAGEA4,58,13,0.2241379310344827,2.048209530661503
