sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G1_1_Ovary,Neural progenitor cell,CTCFL,264,0,0.0,
G1_1_Ovary,Fibroblast,CTCFL,272,1,0.0036764705882352,10.0
G1_1_Ovary,Meiotic prophase fetal germ cell,CTCFL,43,0,0.0,
G1_1_Ovary,Luminal progenitor cell,CTCFL,320,0,0.0,
G1_1_Ovary,Microglial cell,CTCFL,130,0,0.0,
G1_1_Ovary,Lymphoid progenitor cell,CTCFL,159,1,0.0062893081761006,10.0
G1_1_Ovary,Granulosa cell,CTCFL,391,0,0.0,
G1_1_Ovary,Endothelial cell,CTCFL,28,0,0.0,
G1_1_Ovary,Mitotic arrest phase fetal germ cell,CTCFL,100,0,0.0,
G1_1_Ovary,Gonadal mitotic phase fetal germ cell,CTCFL,6,0,0.0,
G1_1_Ovary,Mesenchymal stem cell,CTCFL,32,0,0.0,
G1_1_Ovary,T cell,CTCFL,15,0,0.0,
G1_1_Ovary,Neural progenitor cell,HSPB9,264,0,0.0,
G1_1_Ovary,Fibroblast,HSPB9,272,1,0.0036764705882352,10.0
G1_1_Ovary,Meiotic prophase fetal germ cell,HSPB9,43,0,0.0,
G1_1_Ovary,Luminal progenitor cell,HSPB9,320,1,0.003125,8.030822448181173
G1_1_Ovary,Microglial cell,HSPB9,130,2,0.0153846153846153,8.425972999599747
G1_1_Ovary,Lymphoid progenitor cell,HSPB9,159,2,0.0125786163522012,9.71031204817822
G1_1_Ovary,Granulosa cell,HSPB9,391,2,0.0051150895140664,8.847071856863929
G1_1_Ovary,Endothelial cell,HSPB9,28,1,0.0357142857142857,10.0
G1_1_Ovary,Mitotic arrest phase fetal germ cell,HSPB9,100,1,0.01,9.718468451772749
G1_1_Ovary,Gonadal mitotic phase fetal germ cell,HSPB9,6,0,0.0,
G1_1_Ovary,Mesenchymal stem cell,HSPB9,32,0,0.0,
G1_1_Ovary,T cell,HSPB9,15,0,0.0,
G1_1_Ovary,Neural progenitor cell,PLAC1,264,63,0.2386363636363636,1.2208741692597913
G1_1_Ovary,Fibroblast,PLAC1,272,39,0.1433823529411764,1.817898958234724
G1_1_Ovary,Meiotic prophase fetal germ cell,PLAC1,43,25,0.5813953488372093,2.501343760656513
G1_1_Ovary,Luminal progenitor cell,PLAC1,320,22,0.06875,1.3176307697620966
G1_1_Ovary,Microglial cell,PLAC1,130,21,0.1615384615384615,1.226234504604177
G1_1_Ovary,Lymphoid progenitor cell,PLAC1,159,25,0.1572327044025157,1.3397681028794073
G1_1_Ovary,Granulosa cell,PLAC1,391,180,0.4603580562659846,1.7050173697454716
G1_1_Ovary,Endothelial cell,PLAC1,28,0,0.0,
G1_1_Ovary,Mitotic arrest phase fetal germ cell,PLAC1,100,46,0.46,1.861558184935879
G1_1_Ovary,Gonadal mitotic phase fetal germ cell,PLAC1,6,0,0.0,
