names,logfoldchanges,pvals_adj,leiden_cluster,rank
TMSB4X,,1.329409915766052e-49,0,1
NUPR1,,2.909378297460184e-35,0,2
WT1,,6.052098545683072e-31,0,3
HES1,,8.594670639520142e-31,0,4
PLA2G16,,2.430328405442866e-25,0,5
KRT222,,6.4132865132786855e-25,0,6
SPRR2F,,5.0806865956203305e-24,0,7
DIRAS3,,1.4769602317113888e-19,0,8
COL4A1,,2.5315582285896524e-19,0,9
TIMP1,,1.0906643497394568e-18,0,10
SLC25A5,,4.8946015043835076e-11,1,1
RPL34,,6.6990841161095886e-09,1,2
PRDX4,,9.109490144492119e-08,1,3
RPS4X,,1.2149359673955709e-06,1,4
TPI1,,1.7254936635769836e-06,1,5
RPL26,,1.5978234397904954e-05,1,6
SPRY1,,0.0031780134218452262,1,7
MTRNR2L2,,0.005919766605743743,1,8
CCL5,,0.007363364219625365,1,9
SPP1,,0.011393036194093119,1,10
MTRNR2L1,4.3254857,0.03133620075025278,10,1
FADS6,4.059858,0.04599834916482902,10,2
KIAA1644,4.380036,0.0448995383541635,10,3
FRK,6.723783,0.045161200255945236,10,4
RSPO3,2.8160381,0.010461138178510554,10,5
ZSCAN5B,4.6443553,0.02203007304451509,10,6
LINC01337,2.8040802,0.004241252463746822,10,7
IKZF3,4.958046,0.02203007304451509,10,8
CD1C,2.8017395,0.0025603616328754722,10,9
LOC171391,3.4884055,0.0026144630744911264,10,10
TUBA1C,,1.6132782927886167e-28,2,1
ELOVL6,,1.5704395967220875e-22,2,2
HMGA1,,1.4606322811358008e-17,2,3
GLIPR2,,2.228414693617365e-13,2,4
CDCA7,,5.433160020555743e-13,2,5
TPM2,,7.817350845232848e-13,2,6
RNF149,,2.6568263187021982e-09,2,7
FOXK1,,7.612921184794755e-08,2,8
RPS4X,,2.0255293943408752e-07,2,9
RPL26,,2.460546458136635e-07,2,10
MFI2,5.8702536,0.048166382768300875,3,1
COL13A1,6.2054996,0.04509554418952475,3,2
LOC100996385,5.724564,0.04123696295619041,3,3
ASB14,4.7540464,0.041028616486306284,3,4
ANGPTL1,6.1877704,0.03570668717489812,3,5
P2RX1,7.858119,0.0132556155479436,3,6
F13A1,8.138679,0.006313907532198201,3,7
ANKRD20A5P,6.101617,0.043529791412797225,4,1
PRSS8,7.9876223,0.03791502523923147,4,2
P2RX1,5.0413585,0.0356008412612001,4,3
CCDC83,6.407831,0.033907604752292014,4,4
SYDE1,5.4244065,0.03018007030418835,4,5
LYPD3,4.752193,0.02217658378151315,4,6
TNFSF10,6.095024,0.021106629104369945,4,7
RIMS3,5.431946,0.04866873202818132,5,1
CHGA,5.9741087,0.047841532425181264,5,2
SEC14L1P1,4.21803,0.04725359628092739,5,3
LOC101927143,5.1924863,0.046847668138870695,5,4
RNF144A-AS1,5.94676,0.04699308555003959,5,5
LRRTM3,4.674302,0.04649930139902407,5,6
SFRP4,4.9701414,0.04570740280996742,5,7
SEC14L2,3.941766,0.04555797746579727,5,8
LOC100129603,4.128466,0.04493887704658397,5,9
FAM153B,4.7120514,0.04493887704658397,5,10
PAQR6,4.204681,0.049096585324760134,6,1
GYPE,2.840062,0.04817393585370572,6,2
TNFRSF8,3.5657277,0.04817393585370572,6,3
SELP,2.9178836,0.04763570938240513,6,4
DHRS9,2.874107,0.047321052504174475,6,5
WDR38,3.4996612,0.047321052504174475,6,6
SPSB4,4.114059,0.047321052504174475,6,7
LOC101928476,2.871211,0.0459881827136869,6,8
MEFV,3.2870836,0.04614202817069838,6,9
ISLR2,2.8964758,0.04596930869699573,6,10
NKILA,4.521174,0.0498305022439302,7,1
CABP7,3.628393,0.0498305022439302,7,2
UNC5D,2.9092407,0.04954785725322126,7,3
PFN3,3.5384312,0.049219812622057865,7,4
ZNF806,2.7795353,0.049219812622057865,7,5
SCHIP1,3.797018,0.049219812622057865,7,6
GGT5,3.1586044,0.04910088966853177,7,7
KRT42P,2.9274595,0.04853020786956571,7,8
ITIH5,4.274552,0.04850058247317535,7,9
TSPAN16,3.8004167,0.04833882551319794,7,10
SLC39A12-AS1,2.9084766,0.04986930346364282,8,1
RELB,4.1634536,0.04957104482371874,8,2
C7orf77,2.95852,0.04892531272036759,8,3
PANX2,5.0232863,0.04910412570985723,8,4
IDO2,2.8395765,0.04805558073503739,8,5
C8orf86,2.8585587,0.04805558073503739,8,6
CARD6,2.822157,0.04805558073503739,8,7
HOXC5,4.161046,0.04847101488727772,8,8
PIK3R6,4.292665,0.04802362527440079,8,9
RNF207,4.146475,0.04855923100770877,8,10
KRT17,3.301489,0.04994490383081137,9,1
TNFSF15,2.770941,0.04994490383081137,9,2
SLC39A12-AS1,2.85998,0.049510800046042774,9,3
PANX2,4.830911,0.04934900305216938,9,4
C8orf86,2.8117871,0.047604817115278655,9,5
CARD6,2.7766106,0.047604817115278655,9,6
FMO4,3.8282726,0.04808198737111047,9,7
HIST1H2APS1,3.2742755,0.0474949311029492,9,8
CYP2C8,3.866504,0.04784974846906651,9,9
ADAMTS9-AS2,2.842145,0.04678113893785915,9,10
