names,logfoldchanges,pvals_adj,leiden_cluster,rank
NGFRAP1,,4.828555469630108e-24,0,1
SPARC,,1.0524078799107689e-20,0,2
COL1A2,,1.5464791949672582e-20,0,3
BEX1,,7.391024565474607e-20,0,4
RNASE1,,7.304731132541897e-19,0,5
SYNE2,,3.789575492097005e-17,0,6
HES1,,6.011984242793271e-17,0,7
MGARP,,8.08279038786245e-17,0,8
RBP1,,1.1463193308579913e-16,0,9
GSTA1,,9.763429209752726e-16,0,10
HEMGN,6.6551585,0.0474201879951941,1,1
TMEM121,4.228775,0.045663998772810195,1,2
PRO1804,3.625133,0.04538193697520176,1,3
CDHR3,9.351089,0.04520216481497777,1,4
MUSK,8.205958,0.04343807708582441,1,5
PDE6H,3.915753,0.04205464192494822,1,6
CCL21,6.817356,0.036424433714956996,1,7
CACNG8,6.052726,0.031087401920022604,1,8
CD2,4.483472,0.030479513221305064,1,9
TMEM217,5.8456635,0.029185186246551392,1,10
FIBIN,5.785957,0.04341662817138869,10,1
SCARNA6,2.3013637,0.023027959559117364,10,2
SGMS1-AS1,4.219626,0.036348518237380764,10,3
PKNOX2,5.1766653,0.0233297603074504,10,4
IL17B,3.1478083,0.011179299703695801,10,5
WIF1,4.828789,0.01100947734513815,10,6
NKX2-8,4.406071,0.022095019852295103,10,7
ANGPTL2,3.914397,0.00941884555067106,10,8
HYMAI,3.846203,0.007715463849875191,10,9
APOA1-AS,3.0790825,0.007698044055450957,10,10
DLK1,,4.7666226553763835e-17,2,1
MEST,,2.7321861284923888e-11,2,2
OSR2,,2.279158651394627e-09,2,3
SPARCL1,,7.4626480242349e-09,2,4
DCN,,7.4626480242349e-09,2,5
COL3A1,,8.624436394811444e-09,2,6
TMEM98,,1.747615679901037e-08,2,7
CRISPLD2,,3.336733104369437e-08,2,8
PLAC9,,4.175764216530982e-08,2,9
COL1A1,,5.914969131174894e-08,2,10
LVCAT8,5.226715,0.044165949987940815,3,1
CACNG8,4.4753795,0.042223015320202784,3,2
CCL21,4.856988,0.039721068056731826,3,3
HEMGN,5.2075396,0.039674594668801355,3,4
TENM2,4.7805567,0.03961309656159277,3,5
LHFPL1,5.240344,0.03631760972511402,3,6
SEMA4C,4.2760806,0.03611259720864487,3,7
NKG7,5.6811266,0.033221476477602124,3,8
PRH2,7.0994625,0.04870363098264256,4,1
IGF2,6.8359017,0.04870363098264256,4,2
NAT8,3.153306,0.04560410743120229,4,3
LVCAT8,4.65173,0.04052542719829346,4,4
TENM2,4.276862,0.038378568143146274,4,5
CCL21,4.3596435,0.03730212241580483,4,6
TMEM121,3.6099958,0.03565386074470145,4,7
BISPR,6.2977004,0.03420012118147584,4,8
SP140,6.0116687,0.03111434594474858,4,9
KCNK15,3.6519933,0.028530739541643115,4,10
CRYGB,5.9051785,0.049857206237578486,5,1
NKX2-8,6.126745,0.049857206237578486,5,2
LINC00501,3.755814,0.049857206237578486,5,3
FAM222A-AS1,2.75188,0.04793904956343877,5,4
ACKR1,4.577612,0.04740005923162709,5,5
OLFM3,7.1854625,0.04559715646131132,5,6
AQP4-AS1,5.2712746,0.04334502214279387,5,7
TMED10P1,5.631924,0.04257450147619872,5,8
PRO1804,3.0189474,0.04068188041332401,5,9
IGF2,5.9904513,0.0391838007365116,5,10
LINC00996,3.1983404,0.04887061212679578,6,1
LTB,2.3751483,0.04723439827576701,6,2
PDE6H,2.7309308,0.04624658740733595,6,3
ARHGAP6,4.3762317,0.04552322392165546,6,4
MS4A14,3.8128226,0.045374762044849345,6,5
THBD,3.798597,0.04432502935435559,6,6
HBE1,5.5361853,0.04374584282743436,6,7
CLDND2,4.609134,0.04360355489976293,6,8
TMEM121,2.897923,0.042540253116379684,6,9
SHISA8,2.5632055,0.042540253116379684,6,10
HERC2P10,2.6650455,0.04987155444709053,7,1
PSG6,2.6236598,0.04811473714144595,7,2
SIGLEC1,4.2407312,0.04777922590655483,7,3
LINC00881,2.6450589,0.04760665456593898,7,4
ZNF252P-AS1,2.634152,0.047210438718594816,7,5
ALKBH3-AS1,2.5778642,0.0471913747971156,7,6
FAM180A,2.72004,0.04628360865894437,7,7
SLC47A2,2.491746,0.04407540605276307,7,8
PITX3,2.784471,0.043870718680869204,7,9
SCGB3A1,7.135475,0.0443714819635683,7,10
RHOJ,2.8602996,0.030725398961569936,8,1
SCARNA6,2.3237991,0.022628774135435674,8,2
CYP27B1,3.699192,0.03389355215513462,8,3
SNORA57,4.840137,0.03450280533413858,8,4
LOC285043,3.3719363,0.025161483309276336,8,5
ERAP2,5.5925198,0.025858324892688626,8,6
NHLRC1,2.5188754,0.01293986139749081,8,7
IL17B,3.1936328,0.010877352994831672,8,8
HBE1,4.5149207,0.01014048844344067,8,9
HYMAI,3.9254458,0.007408158772271599,8,10
RHOJ,2.851393,0.03344228245260904,9,1
SCARNA6,2.318141,0.024310440468773845,9,2
TNFSF12,4.5709877,0.04163616860524588,9,3
PTGS1,7.559538,0.04928667617114454,9,4
CRX,4.3489695,0.0394863168766273,9,5
NHLRC1,2.5121799,0.013772703598790756,9,6
CCL2,6.5577674,0.028999214151332935,9,7
IL17B,3.1820052,0.011607332891737474,9,8
ANGPTL2,3.9764102,0.009723146952952972,9,9
HYMAI,3.9051633,0.007942672082264186,9,10
