names,logfoldchanges,pvals_adj,leiden_cluster,rank
RNASE1,,5.818598991862742e-76,0,1
BEX1,,2.786222601044453e-70,0,2
HES1,,4.192608969325919e-47,0,3
NUPR1,,3.1028190686557425e-40,0,4
CAV1,,4.763846057919065e-33,0,5
KRT18,,4.430873973084749e-32,0,6
PLA2G16,,9.732148615498105e-32,0,7
NPY,,5.623233340811274e-29,0,8
SLC16A1,,2.174500839255638e-28,0,9
PRR15,,4.73113315691723e-26,0,10
GLIPR2,,5.639656893096563e-28,1,1
RPS3,,2.1940751027878514e-14,1,2
RPS14,,1.214498179308869e-11,1,3
EEF1A1,,2.592849496257388e-11,1,4
RPL34,,2.424183507609477e-09,1,5
RPS12,,3.439305545219233e-08,1,6
CLSPN,,5.3730196776791286e-08,1,7
ENO1,,3.8742007844914047e-07,1,8
TPI1,,5.704640427145417e-07,1,9
HJURP,,6.622425714588908e-07,1,10
CD69,6.6219234,0.04884003305362847,10,1
BCL2A1,5.148863,0.048430647615110844,10,2
HMGCLL1,3.9223218,0.049373818356880865,10,3
GSG1,3.7561812,0.04908979794162124,10,4
LOC100287042,3.6605818,0.047971462010397405,10,5
RPL23P8,3.420392,0.048063668555937605,10,6
LOC653160,3.5595245,0.04790951764455281,10,7
NT5C1B,3.6426475,0.04779716354487866,10,8
NCF1C,3.6784365,0.04759864530275892,10,9
KCNA5,3.6915143,0.0473906920458056,10,10
HSF2,,1.0197670679122214e-17,2,1
TPM2,,8.745431795516255e-16,2,2
DLK1,,6.886171146973147e-13,2,3
CDCA7,,2.2530666566058372e-12,2,4
PDCD5,,4.985230761862588e-09,2,5
ELOVL6,,3.318045374216768e-08,2,6
RPL26,,3.3717102004445466e-07,2,7
RPS23,,2.7588634746141744e-07,2,8
SPARCL1,,3.8798997270265605e-07,2,9
COL1A1,,3.4230841220823605e-06,2,10
CHGA,5.448192,0.04583701231644574,3,1
LVCAT8,5.3700705,0.04364651354907322,3,2
HEMGN,5.352689,0.037852404390186015,3,3
LTB,3.2083514,0.03729264552304469,3,4
CD300LB,9.180194,0.029838072081951512,3,5
MRO,4.9130735,0.02382216601075947,3,6
NPTX1,4.502037,0.022853552531889556,3,7
CDH6,10.870855,0.018914594885361295,3,8
CD1C,5.220232,0.009566167871349927,3,9
LVCAT8,4.7452865,0.045978576246004134,4,1
NPTX1,4.07099,0.027054248872487658,4,2
CD300LB,6.476032,0.02431065791399684,4,3
LOC440910,6.4366083,0.023138861081946672,4,4
LOC102724094,8.9895935,0.0118372954875535,4,5
SYDE1,7.0407076,0.005778281151174512,4,6
SELL,4.421721,0.004797424389846444,4,7
CD1C,5.592853,0.0016481894613394569,4,8
LYVE1,5.7388783,0.0003495967935078083,4,9
HIST1H2AB,9.5935335,0.04835350485046055,5,1
H19,6.3087025,0.04775653807809929,5,2
LGALS7B,5.3127074,0.04692053405872197,5,3
TNMD,4.216676,0.045698436444486505,5,4
ATP10A,4.7985277,0.045698436444486505,5,5
USP46-AS1,5.1814804,0.045550801284849285,5,6
CDKL4,6.6610513,0.040997142020662465,5,7
CA10,4.7060266,0.04053675601178965,5,8
ADGRB2,4.815539,0.04053675601178965,5,9
ENPEP,6.4057817,0.03778683314870895,5,10
HM13-AS1,5.2749343,0.04914920521555003,6,1
GATA3,5.884146,0.04715370420617261,6,2
NTRK1,3.5699058,0.046053088189394784,6,3
PCDHB13,3.819673,0.045612433415522784,6,4
FUT6,3.2892404,0.04479481597083384,6,5
LTB,2.5243192,0.04253721095096045,6,6
FBXL14,2.9670296,0.04253721095096045,6,7
RASD2,2.9323857,0.04253721095096045,6,8
ASB11,3.5231185,0.04253721095096045,6,9
LINC01353,3.128576,0.04253565771394524,6,10
TMEM215,3.545595,0.04911297285244068,7,1
LOC100506125,3.5706117,0.04852404942127795,7,2
STBD1,5.7047205,0.04861498447637219,7,3
PCAT18,3.5202315,0.0477485761565954,7,4
OOSP1,3.10872,0.04727124056157942,7,5
SNORA4,3.4387317,0.04727124056157942,7,6
ASH1L-AS1,4.894426,0.04712097809873716,7,7
LOC100130417,3.180185,0.04481448584821749,7,8
STK32A,3.5295162,0.0434971977510459,7,9
CCL20,3.707488,0.04307732192512837,7,10
PSG6,2.7426877,0.04974762647505646,8,1
LINC00881,2.7639213,0.04927095392723572,8,2
HLA-DOB,2.6346126,0.048676464356982106,8,3
CSF1,4.4350777,0.04750796374114094,8,4
CD36,4.749264,0.04718018081538303,8,5
CDH6,3.1910882,0.04699286939075918,8,6
LPA,3.2730193,0.046269748669521056,8,7
INSM1,3.3779337,0.046046849658616815,8,8
DLEU7,3.0879898,0.04593843845673676,8,9
PITX3,2.901873,0.04541905611474731,8,10
STOX2,3.5337062,0.049348334092959266,9,1
TARP,3.4051476,0.048924563652032134,9,2
SNORA64,3.2279088,0.04859056601023887,9,3
STK32A,3.4516237,0.047975043285147165,9,4
TPGS1,2.7898736,0.04755762473032932,9,5
TSPEAR,3.4602108,0.04755762473032932,9,6
KRT42P,3.0729342,0.047903761295792026,9,7
FJX1,3.6440632,0.04726496669590174,9,8
FBXL14,2.7012506,0.04696511522867601,9,9
PGA5,3.5509276,0.0469913270056373,9,10
