names,logfoldchanges,pvals_adj,leiden_cluster,rank
CHRFAM7A,1.0541693,0.04939427132144219,0,1
STK32B,4.1839247,0.04907472372000779,0,2
MSMP,1.6511661,0.048293539472486754,0,3
LINC00924,1.089839,0.04825226710263936,0,4
AC004466.1,1.7441108,0.048017756253028274,0,5
AC092943.2,1.0530638,0.04800781202270505,0,6
NKX2-8,1.1428795,0.04781614095652278,0,7
AL603832.2,1.0558679,0.04781614095652278,0,8
HIST1H2BO,1.2169329,0.04781614095652278,0,9
IFIT3,5.8414555,0.044872918083463796,0,10
GBP3,1.3791338,0.049640237263661055,1,1
CNGA1,1.3638741,0.04956065405287387,1,2
TBX1,1.3745185,0.049487124673235496,1,3
DNAH10,4.5353813,0.04932571104704933,1,4
KLHL14,1.4299272,0.049223435906133754,1,5
AC012065.4,1.4157196,0.049194371986193544,1,6
DLX5,1.4315711,0.04908066381839217,1,7
AC073174.1,1.5291146,0.048945729023372346,1,8
PLA2G2A,1.6049927,0.04877846903792452,1,9
SPNS3,1.5195509,0.04844642709507316,1,10
TNFRSF4,3.5526743,0.04984801183112122,10,1
RBP7,3.9755843,0.048688343477220154,10,2
PRF1,1.3915902,0.04817459026537639,10,3
SPDYA,2.9015303,0.04817459026537639,10,4
PNOC,3.0872033,0.04817459026537639,10,5
PRR9,3.179064,0.04685677054296676,10,6
RGS1,1.4681119,0.04619183058928436,10,7
TRGC2,1.3924541,0.04506076110915895,10,8
ITGAX,1.401028,0.04504309561213939,10,9
TRG-AS1,1.1820068,0.04486830107062767,10,10
CRYGD,1.3348132,0.04939571386239744,11,1
SCN3B,3.5495288,0.04950679043504438,11,2
MUC20,3.3792706,0.04943374634951693,11,3
NEUROG1,1.0173461,0.046562952231085704,11,4
IL10,1.4835103,0.04653850952406021,11,5
BOLL,1.3005883,0.04565838730479446,11,6
OAS2,2.0019436,0.045298288441903374,11,7
ERP27,1.4217083,0.045269379386714284,11,8
ERVW-1,1.475841,0.04438657596973241,11,9
ITK,1.4276069,0.044311544392191746,11,10
AC093515.1,1.2704102,0.04988477411984027,12,1
TRPM5,1.1838841,0.04924537807616634,12,2
ACKR4,1.2088637,0.04885940051001865,12,3
ABCA9,1.2184032,0.04184577205209614,12,4
XCL2,1.0093362,0.04148864595410759,12,5
HTR2B,1.0756453,0.038699929030652266,12,6
AL662844.4,1.307246,0.03863855150688521,12,7
PYHIN1,1.6697772,0.03828827978556285,12,8
HCK,1.6493971,0.03818979916568653,12,9
OAS2,2.0987315,0.03579752817446072,12,10
LINC00648,2.0738926,0.049886755224388554,13,1
MAGEC2,1.1978711,0.049241517094716504,13,2
CCN3,4.7537956,0.04909141491173389,13,3
HNF1B,1.3734432,0.04808887192450557,13,4
FXYD3,1.3694177,0.04708685539895213,13,5
LYPD3,3.1475255,0.046522618837082856,13,6
AC024257.3,1.3871955,0.045314729897247524,13,7
TDRD5,3.682195,0.04531031099095725,13,8
CENPA,4.5789456,0.04486762370350647,13,9
POU5F1,5.815513,0.044422690082860476,13,10
IL2RB,1.4613703,0.04982573469347493,14,1
IGSF6,1.3662931,0.048080616874767335,14,2
CD79A,1.497432,0.04494224171036871,14,3
RAD21L1,1.2731613,0.04315123742773188,14,4
MS4A6A,1.5020183,0.04310386683738234,14,5
NKG7,1.0453899,0.04303698860447757,14,6
AL691447.2,3.3112514,0.04250251288794473,14,7
HEXD-IT1,1.4258599,0.042330253699254805,14,8
