names,logfoldchanges,pvals_adj,leiden_cluster,rank
RUNX3,1.3854451,0.048383889770108976,0,1
CLEC10A,1.0351564,0.03967583072501189,0,2
APLNR,1.2741185,0.03924316900244359,0,3
IFIT1,2.373879,0.03905347634897039,0,4
CCRL2,1.4558076,0.03758052886907267,0,5
LINC00957,3.3169565,0.03485358877352019,0,6
PLEKHN1,1.0365193,0.03290675252749489,0,7
PCDH20,1.9903245,0.03267413895296064,0,8
BCL6B,1.105524,0.024921499746778077,0,9
DNAJB13,1.4807851,0.022556583826456922,0,10
SLC25A31,1.81575,0.04811455661345508,1,1
DNASE1L3,1.0913808,0.044876080441089275,1,2
HLX,2.307703,0.04410097034753049,1,3
C3,1.1712706,0.039271818655148456,1,4
CD53,1.2561262,0.0320309734068026,1,5
PIEZO2,4.0385547,0.03000657402429004,1,6
CA2,10.286191,0.02595110659983245,1,7
ENKUR,1.9168714,0.025680629671189965,1,8
HLA-DPA1,2.6348746,0.022442651171723695,1,9
RNASE6,2.7452528,0.021493506477039046,1,10
S1PR1,5.067859,0.04370637227683851,10,1
SBSN,2.8984482,0.035108630798245145,10,2
UPK1B,2.0414944,0.034406331268888694,10,3
CALCB,1.6390302,0.03250704229605197,10,4
PROK2,2.1081302,0.02589174573853275,10,5
ARHGDIB,4.9670515,0.02450107072120525,10,6
HAPLN1,2.4819746,0.023837985061958715,10,7
LAT2,2.42415,0.022375950199244102,10,8
NPPC,4.595899,0.019290723232657972,10,9
TNNT3,2.0460784,0.018095707559369217,10,10
LHCGR,1.0122901,0.049187952342976765,11,1
CLDN10,2.7274702,0.04872571119197561,11,2
CD36,2.0781507,0.04052187386759222,11,3
SELE,2.3150284,0.03631772068519791,11,4
RGS5,5.1437645,0.032149002435672425,11,5
OTOS,2.8070822,0.0310028644996013,11,6
TFPI2,5.072446,0.029965150993437682,11,7
MAB21L4,2.3561022,0.027184866476904584,11,8
AK5,1.2435951,0.017862513330650615,11,9
CALCA,2.5052507,0.017793625519841635,11,10
LTB,1.7206864,0.044959379237818356,12,1
INSL3,2.9142654,0.03686780462209713,12,2
MSMP,3.4251266,0.03259921663728379,12,3
AC008403.3,1.3264571,0.03022551137266432,12,4
IGFN1,4.085397,0.030651408594802386,12,5
KRT81,3.0778027,0.029161646334346866,12,6
CD34,2.645837,0.023360940216897295,12,7
SLC2A4,1.3329865,0.01850065531435334,12,8
PECAM1,1.5966784,0.01840085191541743,12,9
PLN,1.319004,0.012911888955946691,12,10
HLA-DPA1,2.8216748,0.0486096921516165,13,1
CCL3L1,1.06452,0.04731656493688425,13,2
CALCA,2.5637226,0.04081089619148674,13,3
UCA1,3.447072,0.03923101785923873,13,4
MAP7D2,1.1973487,0.03664690864741838,13,5
PKIB,8.25027,0.03415093018904479,13,6
PNOC,4.490422,0.030415260895752753,13,7
RYR2,2.7995243,0.027870219459877117,13,8
CD24,7.577959,0.02583739548140869,13,9
SIGLEC15,1.0265844,0.024343875291990048,13,10
THBD,4.6406803,0.03733776345713715,14,1
C5orf49,4.152253,0.03233879043990704,14,2
CD53,1.5673326,0.0297779569137387,14,3
C15orf48,2.652451,0.02871382583945028,14,4
HHEX,6.5419173,0.025652677523331655,14,5
BCL6B,1.0017898,0.0248704744573975,14,6
SIGLEC15,1.0585394,0.021426400306611894,14,7
EDN1,5.942436,0.020560908823534885,14,8
NIBAN1,1.102943,0.019928644253623142,14,9
CSF2,2.629485,0.01994337611835446,14,10
PLN,1.1712778,0.04645917016674011,15,1
SLC7A11,5.0294633,0.04629507448197011,15,2
SLC25A48,1.225896,0.04469697572015121,15,3
SGCA,1.2505994,0.03809128994127963,15,4
FCER1G,1.7257718,0.03495512515154474,15,5
AK5,1.1603854,0.032341320770112786,15,6
DDX43,1.164295,0.03085697452305153,15,7
PLAC8,1.0284487,0.0304620190000156,15,8
PKIB,6.4044867,0.02881939862289541,15,9
TFAP2C,1.4944445,0.026451911818666424,15,10
CENPA,7.273427,0.042598914553191786,16,1
RASGRP3,3.5968847,0.04242174601652615,16,2
S100A4,4.0634203,0.03461420870241163,16,3
RBAKDN,1.001147,0.03181045050019655,16,4
BCL6B,1.0109597,0.03176621421503995,16,5
ABCB11,1.005208,0.031421902556134355,16,6
SIGLEC15,1.066382,0.027406696082146964,16,7
ACKR4,3.542402,0.02823620646845453,16,8
NIBAN1,1.1097167,0.025392652066976648,16,9
LAMP5,7.0381317,0.02263817598502447,16,10
IGFBP1,6.9416595,0.04857767955007589,17,1
CLDN4,5.620482,0.04521845598004887,17,2
LOX,3.6046329,0.043043499450889026,17,3
CDCA3,6.0264516,0.0392705415749205,17,4
CASC19,4.2659593,0.03776980242258936,17,5
RBAKDN,1.0102391,0.030494331849084608,17,6
ABCB11,1.0142932,0.03009422056396555,17,7
SIGLEC15,1.0753767,0.026377973629327332,17,8
RGS5,5.40586,0.026629952783899666,17,9
SERPINA1,4.263226,0.02600616311246961,17,10
SPP1,4.693079,0.047058705842342355,18,1
GAP43,6.0853863,0.044212966413520904,18,2
FAM110C,6.5721464,0.03181595262296537,18,3
SERPIND1,1.0254178,0.027207787641628487,18,4
PIWIL2,3.3442001,0.026525155944585398,18,5
AL049775.1,1.0202692,0.023596083911115246,18,6
THBD,4.735422,0.024574910355716167,18,7
LY6K,9.6676445,0.023970678476186127,18,8
CCK,3.2287376,0.02336792891462934,18,9
IGF1,4.375866,0.02276904409001992,18,10
GATA2-AS1,1.0034443,0.04249875723449846,19,1
SERPIND1,1.0585194,0.03883661460544637,19,2
NMU,3.2103293,0.038873029102564544,19,3
PIWIL2,3.3773155,0.03661004569770327,19,4
AL049775.1,1.0533773,0.035372773087402644,19,5
LINC02539,1.1047018,0.03235142848897734,19,6
LHX6,1.0892283,0.030671485395979255,19,7
LY6K,7.8522515,0.03210715778378828,19,8
ANO2,1.1154642,0.02859211620162711,19,9
NDC80,8.851435,0.029660745461741873,19,10
EMCN,1.5025748,0.0443979881328424,2,1
CD24,6.4965305,0.041736874834484024,2,2
FCER1G,1.5103188,0.03994878226358932,2,3
PLA2G7,3.7577827,0.037498877244553926,2,4
SPINK2,2.3460891,0.03621071983149455,2,5
IL6,1.7944096,0.03533120128304068,2,6
SFRP4,1.0890213,0.03052623063945731,2,7
BMP5,1.9115397,0.029928843617958188,2,8
GREM1,3.9053326,0.02921587072661585,2,9
GDF10,3.8160331,0.02702274175400871,2,10
TMEM100,5.1371584,0.044176993172655714,20,1
PIWIL2,3.8240228,0.03865769079166244,20,2
KIF20A,4.9526987,0.03781612501863465,20,3
TROAP,6.044322,0.029659681309918324,20,4
PLAUR,4.7065964,0.026641503402344818,20,5
MXD3,9.047789,0.02222833877012717,20,6
HLA-DPB1,5.733884,0.020729440138473366,20,7
LHX1,5.419994,0.0175411749793826,20,8
NPY,4.1947737,0.01736268857920182,20,9
CXCL1,6.1672454,0.008073703240068085,20,10
ANKRD1,10.609675,0.048633325213350606,21,1
ELF3,6.39437,0.045150371655614065,21,2
HSPA4L,10.077365,0.038499925114328974,21,3
TNFSF15,5.214762,0.010578506437518407,21,4
PLAU,7.9809766,0.008153341525621619,21,5
PAX8,7.457856,0.003661259200339115,21,6
DIO3,9.179178,0.0025045182582250957,21,7
PODXL,5.492941,0.0005336892155892168,21,8
TAC1,5.2657075,0.00011522533486933831,21,9
ANGPT2,11.091662,0.00010120799668845876,21,10
ADAMTS9,10.722141,0.04607966615349555,22,1
CXCL1,6.320098,0.04015649380815079,22,2
TNFAIP6,5.4752045,0.036910157086866235,22,3
PAX8,7.176584,0.019047656014002694,22,4
LHX1,5.481586,0.010403509296831486,22,5
ARL4C,6.5981545,0.009813980990174062,22,6
