names,logfoldchanges,pvals_adj,leiden_cluster,rank
PIFO,2.875027,0.048243838463805686,0,1
TESPA1,1.2197673,0.04762812258208041,0,2
GPD1,1.0661482,0.04604870430825533,0,3
CA4,3.3295786,0.046014097996909684,0,4
GBP3,1.4291635,0.04565673668730062,0,5
AC026741.1,1.5552273,0.04489052337869121,0,6
SPNS3,1.5756024,0.04453894457214976,0,7
DENND1C,1.6288437,0.044298694067517304,0,8
HIST1H2BF,1.4902736,0.0427094680441327,0,9
CPEB2-DT,1.1451129,0.04165046120643618,0,10
LINC02158,1.0052596,0.04832097467898576,1,1
SIM1,1.6654488,0.045497335132950435,1,2
TFAP2C,3.0311236,0.045119529898590596,1,3
AC093909.4,2.0048351,0.04421427086114067,1,4
MT1F,5.359399,0.04289476120981587,1,5
DNAH10,4.720777,0.042565420962513194,1,6
C5AR1,1.3755894,0.04008167471432046,1,7
ZMYND10,1.2278723,0.036854718387524056,1,8
FDCSP,1.3812555,0.036744462298849735,1,9
HBA1,1.604306,0.034993088204722286,1,10
EMCN,2.3302252,0.043935095965788346,10,1
AC064801.1,1.0491587,0.03987523318141395,10,2
TFAP2C,3.2644875,0.03989974641947465,10,3
F2,3.172008,0.03882333052012246,10,4
INSL3,1.8878813,0.03842871618197757,10,5
CST6,3.1119006,0.03672806808584549,10,6
AC008105.3,1.7610178,0.036540449009069303,10,7
PYHIN1,1.6635423,0.035461661305279404,10,8
C4orf45,1.2849886,0.033552826215193766,10,9
TEX101,2.273863,0.033552826215193766,10,10
CDC20B,1.1462038,0.04856076004110288,11,1
GRK7,1.3203416,0.04829414057725703,11,2
MYO1H,1.2744421,0.04787704637311257,11,3
GRAP,1.0057877,0.047483282721084145,11,4
MMP12,1.0865381,0.047498811010013,11,5
AC022509.1,1.0152366,0.04613092658872276,11,6
FCER1G,1.3540256,0.04356927244722143,11,7
AC073365.1,1.2390035,0.041208093390124996,11,8
CFAP126,1.0563554,0.03869792675971496,11,9
IL24,2.012306,0.037052895994336095,11,10
AL672032.1,2.515462,0.04726899857020364,12,1
RAD21L1,1.2306919,0.04486812643488518,12,2
AC079062.1,1.7315048,0.04104148180412236,12,3
HDAC4-AS1,2.1796453,0.040144084170671994,12,4
NANOS3,3.7537558,0.03701876032185644,12,5
DPPA2,1.3661813,0.03676022967277782,12,6
TRAC,1.3616502,0.03676022967277782,12,7
CXCL10,1.0329452,0.036366836794150176,12,8
LTA,1.9341775,0.03559308144533902,12,9
FOXJ1,1.4197079,0.035494109558047784,12,10
CPEB1,4.0683393,0.04947451705295258,13,1
SYCP2,2.871649,0.046873182012567315,13,2
MT1H,1.1355225,0.046400822419963884,13,3
HES2,1.0078042,0.044673200425344464,13,4
AL672032.1,2.6370995,0.04472635341642312,13,5
SLC38A8,1.7665097,0.04267355210577061,13,6
AC079062.1,1.7253537,0.0417815625327086,13,7
FAM162B,6.5770764,0.040476749634840464,13,8
AP003108.1,1.244196,0.03908070073670844,13,9
LINC00838,1.5118135,0.036624200918067666,13,10
HES2,1.0193042,0.049748666020364644,14,1
CAPS,2.2153072,0.04902011135941979,14,2
