,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,RPL34,7.5394936,0.61435163,4.7179968651797737e-14,2.6411862369175787e-13
1,0,RPL26,6.758436,0.7551316,1.3948910736235796e-11,6.194458515234344e-11
2,0,RPS7,5.691765,-0.16734149,1.2573284923484355e-08,4.394532556364104e-08
3,0,RPS18,4.946426,-0.21877107,7.558840041582707e-07,2.297430214330957e-06
4,0,RPS6,4.3826685,-0.52585423,1.1723441197272509e-05,3.2527835896345186e-05
5,0,RPS4X,3.893472,-0.631352,9.881961265629769e-05,0.00025539473141214183
6,0,RPL7,3.1249092,-0.6383003,0.0017785994485256336,0.004093151193849927
7,0,RPL27,2.932463,-1.1863312,0.0033628505960807504,0.007517182147594911
8,0,CALM2,2.93029,-1.3815504,0.0033864586996276546,0.007561469129475343
9,0,TMSB4X,2.8297887,-0.11687521,0.004657875426801042,0.010224274541839074
10,1,POU5F1,13.018637,6.0349903,9.586695001205535e-39,2.100540741714145e-34
11,1,NANOS3,12.864927,6.122465,7.090899592016083e-38,7.76843504803322e-34
12,1,FAM162B,12.745124,5.2688575,3.318649788843228e-37,2.423831184111465e-33
13,1,DPPA4,12.675301,5.278412,8.104703973198026e-37,4.439554218918549e-33
14,1,SOX15,12.555246,5.191827,3.720214862421964e-36,1.6302725570105531e-32
15,1,TCL1A,12.153264,5.5346904,5.511988913718734e-34,2.0128864848081863e-30
16,1,PPM1N,12.131539,5.303604,7.188548331656666e-34,2.2501183213561317e-30
17,1,NANOG,12.052549,5.303539,1.8804276260276656e-33,4.5780055237657976e-30
18,1,TFAP2C,12.039489,4.6382875,2.2031627465538056e-33,4.6215659641446355e-30
19,1,PQLC3,12.035219,4.815567,2.320169120788234e-33,4.6215659641446355e-30
20,2,CKS1B,15.346052,4.3846965,3.7640621559637564e-53,8.247436589932187e-49
21,2,NUSAP1,14.546563,5.2431827,6.141145979314075e-48,6.727932477637536e-44
22,2,CDCA3,14.213315,5.8978786,7.575243831283092e-46,5.532705586241461e-42
23,2,CDCA7,13.882781,4.910243,8.055620354987837e-44,4.4126674399534626e-40
24,2,MKI67,13.844193,5.8610916,1.3791984805999821e-43,6.043923581685242e-40
25,2,MYBL2,13.785072,4.7818065,3.134505340558043e-43,1.1446691086161212e-39
26,2,UBE2C,13.749553,5.5642934,5.1245151622127005e-43,1.6040464531320356e-39
27,2,KIF2C,13.616678,4.9615927,3.1873722360062945e-42,8.72981413289174e-39
28,2,CCNA2,13.471414,5.1292496,2.304121652902494e-41,5.304980199296852e-38
29,2,CENPF,13.467755,4.9166927,2.4211492854259745e-41,5.304980199296852e-38
30,3,CENPA,10.823689,6.0912585,2.6585480563134922e-27,5.825144646188493e-23
31,3,CCNA2,10.339177,5.7115145,4.685414257613693e-25,5.133105589928681e-21
32,3,GTSE1,10.2297325,6.0481033,1.4592145123853222e-24,1.0657616393624931e-20
33,3,AURKB,10.187123,5.733862,2.2636361922472934e-24,1.2399633152082613e-20
34,3,TUBA1C,10.130769,4.716563,4.0346532521390364e-24,1.7680657481523686e-20
35,3,PCSK1N,10.082317,5.487061,6.614730166040587e-24,2.415589211135255e-20
36,3,CDCA4,10.029742,4.891815,1.1281017283903998e-23,3.531119567251722e-20
37,3,CDCA3,9.99727,5.951917,1.566560232437844e-23,4.2906126566182004e-20
38,3,NANOG,9.925281,5.7623286,3.2319258305564755e-23,7.868302985924771e-20
39,3,CEBPZ,9.899337,3.909568,4.190445363725901e-23,9.181684836459822e-20
40,4,COL1A2,11.904384,7.4359155,1.1228993745094457e-32,2.4603848194876467e-28
41,4,NR2F2,10.911694,7.0342093,1.0135048627028991e-27,1.1103452523341612e-23
42,4,MAGED2,10.432708,4.297973,1.7580568218138227e-25,1.2840261007587555e-21
43,4,MDK,10.190171,3.798109,2.193784138279464e-24,1.2017001063460335e-20
44,4,MEIS1,9.741297,5.614125,2.0097366265270124e-22,8.807067844766675e-19
45,4,PRDX2,9.699503,4.048923,3.0297233068092183e-22,1.0213410869893263e-18
46,4,HMGN1,9.691934,2.8987706,3.262921641607085e-22,1.0213410869893263e-18
47,4,ZFP36L1,9.66429,5.6722417,4.275735436839522e-22,1.078401650606293e-18
48,4,NGFRAP1,9.66067,4.4939184,4.429562710719108e-22,1.078401650606293e-18
49,4,MFAP2,9.628584,5.9823523,6.055802022614825e-22,1.3268867811751343e-18
50,5,IFITM3,15.72904,6.1117926,9.564938885544564e-56,2.0957737592116695e-51
51,5,IFITM2,15.632331,7.0219884,4.384634290869142e-55,4.00134298933626e-51
52,5,DIRAS3,15.6181345,8.206005,5.478539988137822e-55,4.00134298933626e-51
53,5,MT3,15.339534,7.561133,4.1617366880802902e-53,2.279695314313181e-49
54,5,MT2A,15.291361,6.590009,8.730628743300426e-53,3.825936127889113e-49
55,5,MT1L,15.199748,7.0821524,3.549837061079054e-52,1.2963413307550523e-48
56,5,HBG2,14.839242,5.1143084,8.16738117349292e-50,2.556506984177191e-46
57,5,CCL2,14.323297,6.045004,1.5651827508986874e-46,4.286839906867642e-43
58,5,C1R,14.290413,6.391095,2.5111481154463446e-46,6.1135295952827624e-43
59,5,TMEM176B,14.167858,6.770208,1.4485144096720958e-45,3.1738399230325295e-42
60,6,THRA1/BTR,11.06855,8.273044,1.7826091135287714e-28,3.905874828652891e-24
61,6,UBL5,10.4943695,2.6517572,9.168799126374704e-26,1.0044877882899807e-21
62,6,NDUFC2,10.418091,3.0929666,2.050271736233264e-25,1.497450133753568e-21
63,6,ANHX,10.301762,6.6662035,6.91823751673897e-25,3.7896375557316895e-21
64,6,NDUFV3,10.240957,4.412784,1.2994360914512582e-24,5.694388839957704e-21
65,6,STRA8,10.206733,7.772713,1.8498954877337347e-24,6.755510005288976e-21
66,6,UBA52,10.191076,2.5310009,2.1734414959750243e-24,6.803182374044108e-21
67,6,TRMT10A,10.051809,5.2580113,9.019595538887694e-24,2.4622413537038784e-20
68,6,ZGLP1,10.040523,7.129498,1.0113720132962851e-23,2.4622413537038784e-20
69,6,TMEM258,10.0083,2.4924169,1.4014027811570332e-23,3.026746891608792e-20
70,7,RPSAP9,8.234483,3.2907295,1.803345049257304e-16,3.951309337427679e-12
71,7,RPS15,8.079298,2.0096915,6.514067025932431e-16,7.1364861302602756e-12
72,7,RPS20,7.928948,1.8938885,2.210100747162842e-15,1.6141839157028343e-11
73,7,RPS27,7.796097,1.87718,6.385150946520206e-15,3.4976260597301056e-11
74,7,RPS27A,7.765704,2.0641472,8.119279714512027e-15,3.5580307564934603e-11
75,7,PYY,7.6063747,5.7626386,2.8189124178893134e-14,1.0294198331395456e-10
76,7,TMEM258,7.57368,2.3833847,3.627976742557592e-14,1.1356085486597058e-10
77,7,ATP6V1E1,7.459939,3.5383468,8.656263106068068e-14,2.370842261463218e-10
78,7,RPL37A,7.407443,2.0053751,1.2875779072232343e-13,3.034402216946024e-10
79,7,HBD,7.397773,4.4503098,1.384876188647722e-13,3.034402216946024e-10
80,8,PTPRC,10.098678,11.712732,5.599222729106435e-24,5.311967721896034e-20
81,8,SRGN,10.086075,11.706113,6.3664414987583206e-24,5.311967721896034e-20
82,8,PLEK,10.047428,11.526427,9.429651127738481e-24,5.311967721896034e-20
83,8,AIF1,10.031465,11.591838,1.1085948342569745e-23,5.311967721896034e-20
84,8,ITGB2,10.022643,10.564775,1.2121691666049093e-23,5.311967721896034e-20
85,8,TMSB4X,9.834448,4.22307,8.000491927951831e-23,2.9216463105558756e-19
86,8,S100A11,9.731109,8.945658,2.221574113160768e-22,5.664764565456324e-19
87,8,ARHGDIB,9.712206,10.739289,2.674854110478235e-22,5.664764565456324e-19
88,8,GMFG,9.706744,9.994857,2.8220668140104e-22,5.664764565456324e-19
89,8,CD53,9.704854,9.639259,2.874870802108339e-22,5.664764565456324e-19
90,9,MALAT1,5.7614846,1.7379485,8.337714486879264e-09,3.13035747296113e-08
91,9,SNAR-C3,4.4175196,3.2512863,9.984001828546535e-06,2.907102512495457e-05
92,9,FOXK1,3.4853919,0.92680717,0.0004914167913968397,0.0012362150764978364
93,9,DSG3,3.389275,1.6412733,0.0007007768470830571,0.0017340171085755917
94,9,RNF149,2.849196,0.6027357,0.004382986162242994,0.009977725693600649
95,9,RNVU1-19,2.5082896,4.224446,0.012131716513335689,0.02622514211954403
96,9,B2M,1.9500924,1.3963126,0.05116510359494964,0.10141836302414887
97,9,CCL5,1.8209515,0.518453,0.06861423132432568,0.13337530363265612
98,9,MTRNR2L2,1.3583571,2.1530802,0.17435040604495455,0.3129765481608225
99,9,RNU6-2,1.2009465,2.376587,0.22977196140916678,0.3988697073709597
100,10,SYCP3,12.203363,6.4221177,2.9824538409217155e-34,6.534854610843571e-30
101,10,SPO11,12.129596,8.858325,7.361221259506296e-34,6.895844813352594e-30
102,10,SPATA22,12.109195,7.6777563,9.441620391610507e-34,6.895844813352594e-30
103,10,HORMAD1,12.062356,7.03286,1.6693871510119844e-33,9.144485466455898e-30
104,10,SMC1B,11.975858,8.063481,4.754933007455894e-33,2.0837067425273218e-29
105,10,ZCWPW1,11.928692,6.5945086,8.388094910258519e-33,3.063192459644573e-29
106,10,SYCP2,11.802536,7.257032,3.7872294880317425e-32,1.185456933032336e-28
107,10,CCDC73,11.695801,7.8213253,1.3391754344054789e-31,3.667834117907306e-28
108,10,TEX30,11.672299,5.5795717,1.765841084051454e-31,3.869134399265141e-28
109,10,FAM9C,11.657775,7.201763,2.0944487367903833e-31,4.1719514792558254e-28
110,11,GPHA2,15.637056,6.239122,4.071170348146419e-55,8.92034134982362e-51
111,11,MEG3,14.714103,4.956527,5.2335662427987e-49,5.733633497298117e-45
112,11,SUSD2,14.4315,5.259597,3.2786889764130104e-47,2.3946451387395156e-43
113,11,PQLC3,14.384993,4.9734197,6.428539201757492e-47,3.5213930612427102e-43
114,11,NDUFAB1,14.09712,3.1112673,3.955844486615827e-45,1.7335301709247876e-41
115,11,GDPD2,13.894935,5.2929187,6.798572207523521e-44,2.2578032450233686e-40
116,11,TFCP2L1,13.890696,4.9735336,7.213099682882378e-44,2.2578032450233686e-40
117,11,ATP6AP2,13.845219,3.3775573,1.3596676795855626e-43,3.723959815924908e-40
118,11,PDLIM1,13.716919,4.735266,8.041027344131323e-43,1.9576327793029046e-39
119,11,GIP,13.61554,5.1942263,3.237452545454159e-42,7.093582272344607e-39
120,12,ZP3,11.598926,11.022888,4.172845258670134e-31,9.14312124627213e-27
121,12,LDHAL6A,11.260314,8.905131,2.0602299059610704e-29,2.257084873475651e-25
122,12,NLRP5,11.1516485,10.667345,7.029184562653994e-29,5.133882098410388e-25
123,12,CTRB2,11.102992,10.383901,1.2131300966783942e-28,6.645223387080075e-25
124,12,TDRD1,10.98874,7.587541,4.329262590534024e-28,1.89716945242382e-24
125,12,NOBOX,10.881877,9.221487,1.4063714728147543e-27,5.135834223474013e-24
126,12,ZFAND2A,10.851782,6.4333825,1.9557469872670078e-27,6.121767462572487e-24
127,12,BRDT,10.788889,6.050038,3.884558664378443e-27,1.063932061189951e-23
128,12,KPNA7,10.675358,11.019304,1.3274473973606445e-26,3.2317444359521206e-23
129,12,CHRNA3,10.658959,7.0078416,1.583598055335178e-26,3.4698216990449083e-23
130,13,ANHX,13.223195,7.8685594,6.44666023737481e-40,1.4125277246111947e-35
131,13,ZGLP1,12.654398,7.919344,1.0578317170543072e-36,1.1589075376188463e-32
132,13,NMU,12.178479,6.2710547,4.047596253926769e-34,2.9562293839929812e-30
133,13,CYP26A1,11.846239,7.7977686,2.2506574345838665e-32,1.2328538762291776e-28
134,13,DKC1,11.479093,3.8272896,1.6803382072243065e-30,7.363578091698356e-27
135,13,SKAP2,11.394942,5.562572,4.431232242477299e-30,1.6182121610820017e-26
136,13,THRA1/BTR,11.344607,7.536284,7.887914836724565e-30,2.4690300283924566e-26
137,13,REC8,11.267158,5.1946917,1.906239815622106e-29,5.220952575011996e-26
138,13,SMS,11.180513,3.7772691,5.079501893761008e-29,1.1366695035752565e-25
139,13,TUBB2B,11.178644,5.6402817,5.187666028822311e-29,1.1366695035752565e-25
140,14,COL11A1,13.530104,6.434509,1.0387707989086498e-41,1.5300920179373351e-37
141,14,NGFRAP1,13.508325,4.686765,1.3966427985371138e-41,1.5300920179373351e-37
142,14,ANXA5,13.094762,3.1674085,3.5277963240140376e-39,2.5765848418490525e-35
143,14,MALAT1,12.948179,3.0651865,2.4059208046930794e-38,1.3179032687907516e-34
144,14,COL3A1,12.895567,6.0670934,4.767468014868745e-38,2.0891998334757815e-34
145,14,B2M,12.793766,4.976672,1.7765082616648915e-37,6.487512086889906e-34
146,14,CADM1,12.657707,5.6780753,1.0141872148146325e-36,3.1745508662576304e-33
147,14,WBP5,12.620878,5.3366084,1.62005430670813e-36,4.43712623928523e-33
148,14,CFI,12.486286,5.982058,8.869806881747322e-36,2.159403762066284e-32
149,14,CAV1,12.457044,6.740913,1.280297910844097e-35,2.805260752450501e-32
150,15,VCX,12.080709,7.822478,1.3356192449891659e-33,2.9264753276957616e-29
151,15,ACRC,11.995751,6.7940955,3.7400774169443345e-33,4.097441814133366e-29
152,15,DDX4,11.9480095,5.883939,6.64985239872673e-33,4.448567801130951e-29
153,15,PAGE2B,11.931384,7.173195,8.121158872038612e-33,4.448567801130951e-29
154,15,CHIC2,11.910183,5.0652575,1.047472409720411e-32,4.4928891783976275e-29
155,15,TDRD6,11.89676,6.536958,1.2303105778095827e-32,4.4928891783976275e-29
156,15,DLX6,11.797922,6.679051,4.0006908587474124e-32,1.2522733915144937e-28
157,15,USP9X,11.589721,3.8200815,4.6464542286777725e-31,1.2726057325569835e-27
158,15,DNAJA4,11.579196,5.613787,5.253634001751363e-31,1.2790263845819346e-27
159,15,DGAT2,11.55586,5.2932305,6.8954243635854165e-31,1.5108564323052007e-27
160,16,GATM,16.076704,7.4522524,3.716332408258979e-58,8.14285593973625e-54
161,16,ISYNA1,15.499195,6.083425,3.512642295569276e-54,3.848275266910921e-50
162,16,COL3A1,15.132946,7.4984736,9.819877635783565e-52,7.17211129592179e-48
163,16,NR1H4,15.0579195,7.699606,3.062747578882051e-51,1.6776965550221156e-47
164,16,CRYM,14.988816,6.564559,8.688853042175837e-51,3.8076291801422953e-47
165,16,RNASE1,14.974255,7.307662,1.081736000551192e-50,3.9503195846795277e-47
166,16,BEX1,14.662795,7.2564363,1.1158349582188272e-48,3.492722824218961e-45
167,16,ALDH1A1,14.532979,7.4661613,7.489140436413414e-48,2.051181951278179e-44
168,16,CPXM1,14.516937,6.197708,9.464578363842984e-48,2.304204183668485e-44
169,16,FAM213A,14.420933,4.2843966,3.821447332535663e-47,8.373173250318892e-44
170,17,TCL1A,7.92219,6.0522285,2.3336280304452978e-15,5.08880973533887e-11
171,17,OLFML3,7.8163195,6.389481,5.439023421853839e-15,5.08880973533887e-11
172,17,POU5F1,7.7657685,6.091442,8.115164132367746e-15,5.08880973533887e-11
173,17,TOMM7,7.727617,3.065935,1.095785474206871e-14,5.08880973533887e-11
174,17,POU5F1B,7.720225,4.169221,1.1612454327367235e-14,5.08880973533887e-11
175,17,S100A13,7.6608515,4.93326,1.8470435508907852e-14,6.745095207261332e-11
176,17,ANXA3,7.6098237,6.0349474,2.7447016552461756e-14,8.591308281156994e-11
177,17,PDPN,7.531136,5.4847865,5.0300812790542564e-14,1.3776763863169728e-10
178,17,APOE,7.360884,5.5267415,1.8269610191798573e-13,4.4081106688212777e-10
