sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
565,Erythroid progenitor,ARMC3,29,0,0.0,-0.15585407614707947
565,Fibroblast,ARMC3,14,0,0.0,-0.15585407614707947
565,Luminal epithelial cell,ARMC3,114,1,0.008771929824561403,-0.08510519564151764
565,Erythrocyte,ARMC3,27,5,0.18518518518518517,0.7403096556663513
565,Dendritic cell,ARMC3,13,0,0.0,-0.15585407614707947
565,T cell,ARMC3,10,0,0.0,-0.15585407614707947
565,Erythroid progenitor,ATAD2,29,1,0.034482758620689655,0.1606823354959488
565,Fibroblast,ATAD2,14,0,0.0,-0.13929703831672668
565,Luminal epithelial cell,ATAD2,114,2,0.017543859649122806,-0.03970758616924286
565,Erythrocyte,ATAD2,27,1,0.037037037037037035,-0.06468641012907028
565,Dendritic cell,ATAD2,13,0,0.0,-0.13929703831672668
565,T cell,ATAD2,10,1,0.1,0.5374432802200317
565,Erythroid progenitor,CEP290,29,4,0.13793103448275862,0.13325606286525726
565,Fibroblast,CEP290,14,1,0.07142857142857142,-0.08526643365621567
565,Luminal epithelial cell,CEP290,114,7,0.06140350877192982,-0.09548777341842651
565,Erythrocyte,CEP290,27,4,0.14814814814814814,0.5285955667495728
565,Dendritic cell,CEP290,13,0,0.0,-0.2633550465106964
565,T cell,CEP290,10,0,0.0,-0.2633550763130188
565,Erythroid progenitor,CTCFL,29,0,0.0,-0.06950481235980988
565,Fibroblast,CTCFL,14,0,0.0,-0.06950480490922928
565,Luminal epithelial cell,CTCFL,114,1,0.008771929824561403,0.01882418617606163
565,Erythrocyte,CTCFL,27,0,0.0,-0.06950481235980988
565,Dendritic cell,CTCFL,13,0,0.0,-0.06950480490922928
565,T cell,CTCFL,10,0,0.0,-0.06950480490922928
565,Erythroid progenitor,SPAG4,29,1,0.034482758620689655,0.23812717199325562
565,Fibroblast,SPAG4,14,1,0.07142857142857142,0.15579989552497864
565,Luminal epithelial cell,SPAG4,114,1,0.008771929824561403,-0.04739540442824364
565,Erythrocyte,SPAG4,27,0,0.0,-0.11051115393638611
565,Dendritic cell,SPAG4,13,0,0.0,-0.1105111762881279
565,T cell,SPAG4,10,0,0.0,-0.1105111688375473
565,Erythroid progenitor,SPAG9,29,2,0.06896551724137931,0.059973690658807755
565,Fibroblast,SPAG9,14,4,0.2857142857142857,0.22612912952899933
565,Luminal epithelial cell,SPAG9,114,5,0.043859649122807015,-0.0644700676202774
565,Erythrocyte,SPAG9,27,2,0.07407407407407407,-0.025820858776569366
565,Dendritic cell,SPAG9,13,3,0.23076923076923078,0.43799257278442383
565,T cell,SPAG9,10,0,0.0,-0.25522035360336304
565,Erythroid progenitor,SPEF2,29,0,0.0,-0.1544063538312912
565,Fibroblast,SPEF2,14,0,0.0,-0.1544063240289688
565,Luminal epithelial cell,SPEF2,114,2,0.017543859649122806,-0.10547202825546265
565,Erythrocyte,SPEF2,27,4,0.14814814814814814,0.8163231015205383
565,Dendritic cell,SPEF2,13,0,0.0,-0.1544063240289688
565,T cell,SPEF2,10,0,0.0,-0.1544063240289688
565,Erythroid progenitor,ZNF165,29,0,0.0,-0.20110498368740082
565,Fibroblast,ZNF165,14,0,0.0,-0.20110495388507843
565,Luminal epithelial cell,ZNF165,114,5,0.043859649122807015,-0.06612464785575867
565,Erythrocyte,ZNF165,27,0,0.0,-0.20110498368740082
565,Dendritic cell,ZNF165,13,1,0.07692307692307693,-0.042958617210388184
565,T cell,ZNF165,10,4,0.4,2.2174019813537598
