sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
553,Fibroblast,ARX,26,1,0.038461538461538464,6.279644012451172
553,CD8+ T cell,ARX,9,0,0.0,
553,Lymphoid progenitor cell,ARX,21,0,0.0,
553,Natural killer (NK) cell,ARX,26,1,0.038461538461538464,1.8194917440414429
553,Mitotic fetal germ cell,ARX,10,1,0.1,6.765562534332275
553,Fibroblast,CTCFL,26,0,0.0,
553,CD8+ T cell,CTCFL,9,0,0.0,
553,Lymphoid progenitor cell,CTCFL,21,0,0.0,
553,Natural killer (NK) cell,CTCFL,26,1,0.038461538461538464,9.487405776977539
553,Mitotic fetal germ cell,CTCFL,10,0,0.0,
553,Fibroblast,FAM133A,26,0,0.0,
553,CD8+ T cell,FAM133A,9,1,0.1111111111111111,7.9899492263793945
553,Lymphoid progenitor cell,FAM133A,21,0,0.0,
553,Natural killer (NK) cell,FAM133A,26,2,0.07692307692307693,3.388672351837158
553,Mitotic fetal germ cell,FAM133A,10,0,0.0,
553,Fibroblast,LEMD1,26,0,0.0,
553,CD8+ T cell,LEMD1,9,0,0.0,
553,Lymphoid progenitor cell,LEMD1,21,0,0.0,
553,Natural killer (NK) cell,LEMD1,26,3,0.11538461538461539,5.086694717407227
553,Mitotic fetal germ cell,LEMD1,10,0,0.0,
