sample_id,developmental_stage,sex,cell_type_descript
F_10W,10 week gestation,female,Primordial Germ Cells
F_11W,11 week gestation,female,Primordial Germ Cells
F_12W,12 week gestation,female,Primordial Germ Cells
F_14W,14 week gestation,female,Primordial Germ Cells
F_18W,18 week gestation,female,Primordial Germ Cells
F_20W,20 week gestation,female,Primordial Germ Cells
F_23W,23 week gestation,female,Primordial Germ Cells
F_24W,24 week gestation,female,Primordial Germ Cells
F_26W,26 week gestation,female,Primordial Germ Cells
F_5W,5 week gestation,female,Primordial Germ Cells
F_7W,7 week gestation,female,Primordial Germ Cells
F_8W,8 week gestation,female,Primordial Germ Cells
M_10W,10 week gestation,male,Primordial Germ Cells
M_12W,12 week gestation,male,Primordial Germ Cells
M_19W,19 week gestation,male,Primordial Germ Cells
M_20W,20 week gestation,male,Primordial Germ Cells
M_21W,21 week gestation,male,Primordial Germ Cells
M_25W,25 week gestation,male,Primordial Germ Cells
M_4W,4 week gestation,male,Primordial Germ Cells
M_9W,9 week gestation,male,Primordial Germ Cells
