celltype_leiden_res_1.0,MAGEA4,MAGEB2,SYCP1,MAGEC2,PAGE5,PAGE1,CTCFL,SPO11,FATE1,CT47B1,LEMD1,PLAC1,TMEFF2,ARX,PRAME,SPAG17
Ambiguous,0.24390243902439024,0.34146341463414637,0.1951219512195122,0.0975609756097561,0.12195121951219512,0.07317073170731707,0.17073170731707318,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.17073170731707318,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.7073170731707317,0.34146341463414637
Early somatic,0.07462686567164178,0.23880597014925373,0.06716417910447761,0.022388059701492536,0.08208955223880597,0.007462686567164179,0.029850746268656716,0.029850746268656716,0.0,0.014925373134328358,0.007462686567164179,0.0,0.05970149253731343,0.0,0.746268656716418,0.208955223880597
Immune,0.05714285714285714,0.05714285714285714,0.3142857142857143,0.0,0.2571428571428571,0.05714285714285714,0.08571428571428572,0.37142857142857144,0.0,0.0,0.08571428571428572,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.05714285714285714
Meiotic germ cells,0.3584905660377358,0.8301886792452831,0.9528301886792453,0.330188679245283,0.7830188679245284,0.09433962264150944,0.8301886792452831,0.9433962264150944,0.11320754716981132,0.46226415094339623,0.04716981132075472,0.02830188679245283,0.1509433962264151,0.1792452830188679,0.8867924528301887,0.4339622641509434
Mixed,0.0392156862745098,0.1111111111111111,0.31699346405228757,0.0392156862745098,0.2581699346405229,0.042483660130718956,0.13071895424836602,0.28431372549019607,0.013071895424836602,0.026143790849673203,0.19934640522875818,0.013071895424836602,0.0392156862745098,0.06535947712418301,0.20261437908496732,0.11437908496732026
Oocytes,0.14893617021276595,0.8297872340425532,0.6595744680851063,0.06382978723404255,0.5319148936170213,0.0425531914893617,0.574468085106383,0.46808510638297873,0.0,0.19148936170212766,0.0,0.0425531914893617,0.40425531914893614,0.1276595744680851,1.0,0.2553191489361702
PGC,0.24113475177304963,0.6028368794326241,0.02127659574468085,0.10638297872340426,0.11347517730496454,0.0,0.0425531914893617,0.014184397163120567,0.02127659574468085,0.0,0.014184397163120567,0.09219858156028368,0.02127659574468085,0.028368794326241134,0.46099290780141844,0.15602836879432624
Proliferating,0.18840579710144928,0.41304347826086957,0.036231884057971016,0.10144927536231885,0.07971014492753623,0.021739130434782608,0.021739130434782608,0.028985507246376812,0.6594202898550725,0.014492753623188406,0.06521739130434782,0.057971014492753624,0.050724637681159424,0.007246376811594203,0.36231884057971014,0.17391304347826086
RA–responsive germ cells,0.22807017543859648,0.7631578947368421,0.37719298245614036,0.30701754385964913,0.4298245614035088,0.05263157894736842,0.6578947368421053,0.38596491228070173,0.24561403508771928,0.09649122807017543,0.13157894736842105,0.03508771929824561,0.10526315789473684,0.06140350877192982,0.9298245614035088,0.49122807017543857
Ribosomal,0.02247191011235955,0.11235955056179775,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.011235955056179775,0.0,0.02247191011235955,0.06741573033707865,0.011235955056179775
Stromal,0.05,0.08461538461538462,0.12307692307692308,0.015384615384615385,0.10384615384615385,0.0038461538461538464,0.08461538461538462,0.2,0.011538461538461539,0.026923076923076925,0.15384615384615385,0.17307692307692307,0.04230769230769231,0.11923076923076924,0.07307692307692308,0.08846153846153847
