gene,fraction_expressing,mean_expression
MAGEA4,0.12756909992912827,-0.4605131679939284
MAGEB2,0.3330970942593905,-0.4765276665086879
SYCP1,0.24167257264351524,0.2508509763442785
MAGEC2,0.0885896527285613,-0.6560892090813241
PAGE5,0.2232459248759745,-0.3560947599631574
PAGE1,0.029057406094968107,-0.42178742687641585
CTCFL,0.19489723600283487,-0.0405858357575079
SPO11,0.23742026931254429,0.07994328583991209
FATE1,0.10134656272147413,-0.6526127306852237
CT47B1,0.06307583274273565,0.03892218054197675
LEMD1,0.10134656272147413,0.05382781265727688
PLAC1,0.058823529411764705,-0.23029331045493884
TMEFF2,0.06449326718639263,-0.08579523808692875
ARX,0.06520198440822111,-0.11041906050815466
PRAME,0.410347271438696,-0.7551202826725995
SPAG17,0.18639262934089298,-0.02686447719874165
