celltype_leiden_res_1.0,gene,expression
Ribosomal,MAGEA4,-0.8803232941074839
Ribosomal,MAGEA4,-0.8479604155277229
Ribosomal,MAGEA4,-0.84366822945276
Ribosomal,MAGEA4,-0.9584780117056653
Ribosomal,MAGEA4,-0.8903820389771226
Ribosomal,MAGEA4,-0.82506973527029
Ribosomal,MAGEA4,-0.965164771901982
Ribosomal,MAGEA4,-0.8184321606802314
Ribosomal,MAGEA4,-0.9544546324416388
PGC,MAGEA4,-0.8362498726044123
PGC,MAGEA4,-1.1089064815960228
PGC,MAGEA4,4.42250201135604
PGC,MAGEA4,-1.2452988098191327
Ribosomal,MAGEA4,-1.0303437305788066
Proliferating,MAGEA4,3.6550512337560708
Ribosomal,MAGEA4,-0.8055691264198686
Proliferating,MAGEA4,-1.1965096042847563
PGC,MAGEA4,-1.234673212064763
Ribosomal,MAGEA4,-0.867290419892015
PGC,MAGEA4,2.513372410421263
PGC,MAGEA4,-0.8804946554016624
Proliferating,MAGEA4,-1.172673334987394
PGC,MAGEA4,3.0732084421113726
Proliferating,MAGEA4,5.257345696608193
Proliferating,MAGEA4,-1.2348599093820667
PGC,MAGEA4,-0.930344362627693
Proliferating,MAGEA4,-0.17222608704704312
PGC,MAGEA4,-1.2037029360265024
PGC,MAGEA4,-0.8475899009472414
Proliferating,MAGEA4,3.0153823563940136
PGC,MAGEA4,-1.2351461912355717
PGC,MAGEA4,-1.1627088599996114
Ribosomal,MAGEA4,8.056842454535513
PGC,MAGEA4,-0.9775587646436179
PGC,MAGEA4,-0.9523321162366756
PGC,MAGEA4,-1.236335327145298
Proliferating,MAGEA4,-1.167015252711053
PGC,MAGEA4,-0.9516737505296078
PGC,MAGEA4,5.971494287933398
Proliferating,MAGEA4,-1.1788262967963874
Early somatic,MAGEA4,-1.27448635310202
PGC,MAGEA4,-0.8342342770072264
Proliferating,MAGEA4,-1.2158633530111729
PGC,MAGEA4,-0.32075672230709507
PGC,MAGEA4,-0.9815648366002279
Early somatic,MAGEA4,-1.2628947576865812
PGC,MAGEA4,-0.4560722985215677
Proliferating,MAGEA4,-1.197110109280402
PGC,MAGEA4,-1.2778411309254807
PGC,MAGEA4,-0.8409636658166164
PGC,MAGEA4,-0.8819531205101612
Proliferating,MAGEA4,-1.0915637141251864
Proliferating,MAGEA4,-1.2807488383243708
PGC,MAGEA4,-1.249382527649459
Proliferating,MAGEA4,-1.2539719911710563
PGC,MAGEA4,-0.8869283163621731
Proliferating,MAGEA4,0.10439593798983826
PGC,MAGEA4,-0.9666408190944367
Proliferating,MAGEA4,-1.1710875135061087
Proliferating,MAGEA4,-1.2199132289658792
Proliferating,MAGEA4,-1.2271521864815895
Proliferating,MAGEA4,-1.1687054381845883
PGC,MAGEA4,-1.2028712712788092
Ribosomal,MAGEA4,-0.8234041627897568
Ribosomal,MAGEA4,-0.8515588032596497
Ribosomal,MAGEA4,-0.8358894255072755
Ribosomal,MAGEA4,-0.8065181522715648
Ribosomal,MAGEA4,-0.850910860958038
Stromal,MAGEA4,-0.7845371265734684
Stromal,MAGEA4,-0.7764764918338187
Stromal,MAGEA4,-0.7385458519740951
Stromal,MAGEA4,-0.8194818974718601
Stromal,MAGEA4,-0.8626316282879998
Stromal,MAGEA4,-0.7655386044170882
Stromal,MAGEA4,-1.0687603717601633
Stromal,MAGEA4,-0.7659343199397881
Stromal,MAGEA4,-0.8662649889818113
Stromal,MAGEA4,-0.7641941515228154
Stromal,MAGEA4,-1.1638169376115002
Stromal,MAGEA4,-0.7456010616303956
Stromal,MAGEA4,-1.2600973797677852
Stromal,MAGEA4,-0.7690576199397583
Stromal,MAGEA4,-0.7926125645028606
Stromal,MAGEA4,-0.7597110987098858
Stromal,MAGEA4,-0.8017450398529036
Stromal,MAGEA4,-1.1686419385387126
Stromal,MAGEA4,-0.7663612283147359
Stromal,MAGEA4,-0.8052546344306393
