celltype_leiden_res_1.0,MAGEA4,MAGEB2,SYCP1,MAGEC2,PAGE5,PAGE1,CTCFL,SPO11,FATE1,CT47B1,LEMD1,PLAC1,TMEFF2,ARX,PRAME,SPAG17
Ambiguous,0.026590474309351658,-0.48685041011357555,-0.32018300209860495,-0.4257298807927243,-0.6707802704868077,-0.40481823394214983,-0.4042299244427113,-0.5625043905924372,-0.5686180307487889,-0.08367792126269447,-0.0029295949945356164,-0.3023989236135948,-0.147052574549936,-0.2987112042699229,0.4103564483423614,0.3414848613609866
Early somatic,-0.7198621945470101,-1.1033572077250657,-0.6692888630172165,-0.9254411019768447,-1.1049180080802197,-0.49178586805139507,-0.7358816297980891,-0.8933925486913908,-0.5887055064304965,-0.15704752457098983,-0.1668469683615346,-0.4303692562148239,-0.09646733543072088,-0.2997473183620378,0.5271036964388306,-0.051259455483586416
Immune,-0.7897961328392215,-1.8227010861660637,-0.060144610792511675,-1.0959819238511506,-0.6264527731364666,-0.5288871844166483,-0.4328291742119552,-0.16443574984612885,-0.953925702563252,-0.10610412627867326,-0.1929919050367598,-0.4863049103411863,-0.3421390677829809,-0.37237009982463887,-2.298345908646867,-0.47933678822040743
Meiotic germ cells,0.5473702455789315,1.6114130287022024,5.194508625804217,0.3152752882973183,2.6111566183688986,0.003070849924910487,2.908515078872931,4.80202891758821,-0.28727776384639925,1.4620869860569146,-0.04129075740510114,-0.2632322453901307,0.158635637223073,0.33360419594107654,1.7172396718656633,0.7882325664129956
Mixed,-0.7428222021135528,-1.2603193484116277,0.4710318026408713,-0.8161889392152344,-0.17212684755739444,-0.4179465926176323,-0.19288053278262496,0.2704631721656996,-0.9523707138653669,-6.457874845296442e-06,0.26641330188780876,-0.513434561604833,-0.15909023405437772,-0.23566540430568625,-1.4972293681963218,-0.1609683787901932
Oocytes,-0.5417728825086052,2.0129205670134183,1.7822771678561633,-0.6906813458997785,1.08693536181578,-0.37258598089625244,1.3097692415452322,0.8096988591687002,-0.6158402471287929,0.3378055635335906,-0.220726907224297,-0.31003769067998754,1.2621056701154887,0.06391589785854097,2.294991412242887,0.12427855255393176
PGC,-0.04727795865149831,0.9457042969755074,-0.7637538223849881,-0.7197601440761559,-0.9763517625234461,-0.5153962793299681,-0.7863558917007526,-0.9567008321216152,-0.4599676769430362,-0.18921466222615457,-0.10962633557265507,-0.08807394807386937,-0.24883764959545626,-0.2417560567852921,-0.8410850628550322,-0.2898221862863596
Proliferating,-0.4125390250635309,-0.8910058199189166,-0.9987899534582177,-0.6463059913611342,-1.0941327167263035,-0.3374548748174392,-1.1252233358073025,-1.11799686686923,0.1518340563693462,-0.2864355129966267,0.04861560254744029,-0.02776065692817015,-0.09326042990116473,-0.05909340513011015,-1.299937838229136,-0.38341591284906446
RA–responsive germ cells,-0.308053963849735,0.934923714820005,0.21550747597211592,0.09118883523982446,0.5068297137571306,-0.373337501199094,1.5678342901951952,0.43224082421863846,-0.12612301017824185,-0.018698821196446985,0.10211397383008322,-0.19251785407487826,0.025295256663505874,-0.0030064952286587457,1.7182167810286895,0.8653946717946601
Ribosomal,-0.7009313441882579,-1.1927336221441478,-0.5873250231654201,-0.9927560797544001,-1.2852621583300625,-0.5459464581087426,-0.6762919803389993,-0.8063742033018826,-0.8477430142627362,-0.12047909995309065,-0.3026577978319673,-0.4615477985571393,-0.3156343095158335,-0.2277181356493787,-2.7776937844439984,-0.46499382846224313
Stromal,-0.6574099935919469,-1.2744157988447096,-0.17856267603196188,-0.8787909415405667,-0.9034420966473613,-0.5333350291836124,-0.3467786896302727,-0.21857653128566193,-1.1565323813825952,-0.033409338423080366,0.24021458920135483,0.15770845809993592,-0.1708281741455104,0.024017805170821884,-2.1342557206227446,-0.12266438358702811
