gene,fraction_expressing,mean_expression
MAGEA4,0.3799830364715861,0.5511320687234774
MAGEB2,0.46988973706530957,0.5702318541727337
SYCP1,0.11704834605597965,-0.30022076407702875
MAGEC2,0.4173027989821883,0.7851734243837039
PAGE5,0.3816793893129771,0.42615281716915643
PAGE1,0.3138252756573367,0.5047705032327414
CTCFL,0.22391857506361323,0.04855417496891505
SPO11,0.20865139949109415,-0.09568760358340231
FATE1,0.4351145038167939,0.7810199534037856
CT47B1,0.04240882103477523,-0.046584171757374254
LEMD1,0.0729431721798134,-0.06442632213410347
PLAC1,0.23324851569126379,0.2755998651619516
TMEFF2,0.11959287531806616,0.10267604829825057
ARX,0.17387616624257846,0.13214473361079276
PRAME,0.6666666666666666,0.9035699832650336
SPAG17,0.2001696352841391,0.032138006591798905
