celltype_leiden_res_1.0,gene,expression
Immune,MAGEA4,-1.185507759108532
Erythroid (primitive),MAGEA4,-1.1854809176275012
Erythroid (primitive),MAGEA4,-0.8992612181093591
Erythroid (primitive),MAGEA4,-0.17076179080657106
Erythroid (primitive),MAGEA4,-1.2114093325428712
Erythroid (primitive),MAGEA4,-0.6339775256127946
Erythroid (primitive),MAGEA4,-1.0907770366147815
Erythroid (primitive),MAGEA4,-1.2344336412156736
Erythroid (primitive),MAGEA4,-1.2183869164216503
Erythroid (primitive),MAGEA4,-1.1935951139018925
Erythroid (primitive),MAGEA4,2.1305149912563115
Erythroid (primitive),MAGEA4,-0.9497033995623951
Erythroid (primitive),MAGEA4,-1.1221839192719472
Erythroid (primitive),MAGEA4,-1.1809937674913726
Erythroid (primitive),MAGEA4,-1.1935810495442638
Erythroid (primitive),MAGEA4,-1.0485833342077058
Erythroid (primitive),MAGEA4,-1.2335279862747939
Erythroid (primitive),MAGEA4,-0.9652950139927725
Erythroid (primitive),MAGEA4,-1.2660797346325126
Erythroid (primitive),MAGEA4,-0.9295913405337615
Erythroid (primitive),MAGEA4,-1.224993838106684
Erythroid (primitive),MAGEA4,-0.9761898973854386
Erythroid (primitive),MAGEA4,0.1960246895516229
Erythroid (primitive),MAGEA4,-0.7812308284005667
Erythroid (primitive),MAGEA4,-1.0006974007271765
Erythroid (primitive),MAGEA4,-1.0577747876586727
Erythroid (primitive),MAGEA4,2.5073797304275094
Erythroid (primitive),MAGEA4,-0.8643874324950502
Erythroid (primitive),MAGEA4,2.167969147021601
Erythroid (primitive),MAGEA4,-0.8811366324021037
Erythroid,MAGEA4,-1.2158919394821623
Erythroid (primitive),MAGEA4,-1.1975117345295985
Erythroid (primitive),MAGEA4,2.3168098780602278
Erythroid (primitive),MAGEA4,-1.2248893316427711
Erythroid (primitive),MAGEA4,-1.0323130570200192
Erythroid (primitive),MAGEA4,-0.9425430422043064
Erythroid (primitive),MAGEA4,-0.8421713446812191
Erythroid (primitive),MAGEA4,-0.8553699575059
Erythroid (primitive),MAGEA4,-0.7979932099954112
Erythroid (primitive),MAGEA4,1.9783875290293667
Erythroid (primitive),MAGEA4,-1.238461566463684
Immune,MAGEA4,-1.1300341078183465
Mesenchymal,MAGEA4,-0.7022473536067082
Erythroid (primitive),MAGEA4,-0.7404960139565446
PGC (early),MAGEA4,-0.33254071440100175
PGC (early),MAGEA4,-0.9294450395575495
PGC (early),MAGEA4,-0.8568306200982079
PGC (early),MAGEA4,-1.00169273237384
Cycling,MAGEA4,-1.2243389928664783
PGC (early),MAGEA4,-0.9503039085286673
PGC (early),MAGEA4,-1.0035448971630103
Cycling,MAGEA4,-1.2208874426464718
PGC (early),MAGEA4,-0.9644496264936606
PGC (early),MAGEA4,-0.9391218820549057
Mixed,MAGEA4,4.376197796847056
Cycling,MAGEA4,-1.1624910053153599
Cycling,MAGEA4,-1.153552477628864
PGC (early),MAGEA4,-0.9846043804177498
Erythroid,MAGEA4,-0.8365261682961318
PGC (early),MAGEA4,3.444499262482557
Cycling,MAGEA4,-0.5779813976926005
PGC (early),MAGEA4,-0.847411491889261
PGC (early),MAGEA4,-0.9787660021270312
PGC (early),MAGEA4,-1.0519741999621601
Cycling,MAGEA4,-1.1849241316076586
Cycling,MAGEA4,-0.6197915490469886
PGC,MAGEA4,0.7179444550040539
