celltype_leiden_res_1.0,MAGEA4,MAGEB2,SYCP1,MAGEC2,PAGE5,PAGE1,CTCFL,SPO11,FATE1,CT47B1,LEMD1,PLAC1,TMEFF2,ARX,PRAME,SPAG17
Cycling,-0.302977184757251,-0.8272472469628281,-0.9355388461329655,-0.09069445749543908,-0.5506757627191325,-0.13207822210253792,-0.7538098587923416,-0.968210204774807,0.3983139964585785,-0.2520037977083604,-0.020364526330640776,0.2770800129979702,-0.14901072321232095,-0.02717952846767979,0.0818145765525334,-0.3880183895450077
Erythroid,-0.30422239528164086,-1.0373888315410298,-0.7790404833214051,-0.4132013232265032,-0.8691539808241812,-0.005900213117720299,-0.5806761587692367,-0.8883136845822139,0.621410481556323,-0.12544004644770393,-0.014766327364037445,0.01580539897466523,-0.19048597705493087,0.006461125232993253,-0.1089626257978416,-0.3800933799767744
Erythroid (primitive),-0.5772174287048282,-0.989919780939845,-0.897294815604323,-1.0119606584684788,-1.1165006015987364,-0.482762879571078,-0.941591855543024,-1.0309121164934936,-0.34254619656267093,-0.21704646938289898,-0.09461645897980162,0.11000622950164121,-0.20342413546514176,-0.20116878075755712,-4.130144010918173,-0.43882104988744414
Fibroblast,-0.6023177505451067,-0.5864107508148869,-0.5497977520307706,-0.3049565498425186,-0.5345387813966832,-0.27357516905515983,-0.5081993621537226,-0.5857299825467455,0.4636172204915576,-0.0670883059679926,-0.237440225006149,3.8054010312802995,1.421631381578025,2.5712674538310885,-1.0526455816669609,-0.4665715432547487
Immune,-0.6171926254863298,-1.3325891050016316,-0.6517685684133195,-0.5783751417323619,-1.0820683366592068,-0.45312909165429605,-0.6554031906995382,-0.725571025714438,0.05838568939545088,-0.1260938026540871,-0.29133488276532926,-0.17000628968489115,-0.30373601598132305,-0.11542877874881448,-1.7942396248295556,-0.45511195177402836
Mesenchymal,-0.5818123849253141,-1.1556274966191546,-0.5411829525331588,-0.7771073308280855,-0.811272492933351,-0.427329090996837,-0.4906064126570208,-0.5890506272061267,0.8047800447110353,-0.07282547355889858,0.17167226800357072,2.9327155776819764,0.41585020525139665,2.1402600949886423,-1.1620327393994945,-0.43092718763309196
Mixed,1.550377380918131,2.00245231094993,-0.2817901820887969,1.7298678637877762,1.8011306313872752,1.6639594141586023,0.5108214276026394,-0.19076277413160503,-0.36367205572536077,-0.05629066070733072,-0.2705052480558321,-0.33348486076542805,-0.14896303245241996,-0.2564661880414683,2.7732561931212425,0.7385547028422009
PGC,-0.27875517861578314,-0.4390592022260689,-0.6797972826621593,-0.5401607597837454,-0.4753675812930239,-0.24158047125368534,-0.563860001568677,-0.7396768461274122,-0.5101639619283043,-0.13942702500464,-0.26361517953367897,-0.15854318750437113,-0.22098222303790405,-0.2314119021288796,1.1857873760327775,-0.1641622147356209
PGC (early),-0.2100017328799761,-0.930793725727264,-0.7986972288382754,-0.8139323758547662,-1.1029003874593721,-0.3485505602006699,-0.3782574385690327,-0.8772623866850281,0.09361711508929217,-0.17654442883347934,-0.22079953209360045,-0.20254748597851704,-0.254500692432345,-0.29135779064120026,0.04913354294679691,-0.15613361378769877
PGC (late),2.4669828768888817,4.355579085074988,0.785545460321299,3.2850734769718155,3.320856315891833,0.7652494979690548,0.8919731219894774,1.2747712140217937,-0.2625134001772453,0.14838820443943637,-0.12191259855338889,-0.33668483178211267,0.8784302964776977,-0.21652684521889745,2.63028650091732,0.40053032522146903
Prospermatogonia,3.3764342008050052,4.4991249510406055,0.8951510574137834,4.553887779657259,3.7389649665606197,2.8043842099233283,2.0526552230904924,2.1823545354622755,-0.11892730854672012,0.25124696522462014,-0.11028971654177866,-0.16657152841218578,0.7008985068855582,0.1343057864576277,2.952904199394074,1.0259429066676493
Sertoli,-0.4994403178371092,-0.7467173767438339,-0.40139718801368984,-0.38466993588737075,-0.8086599529753783,-0.34756297282921356,-0.4980890845103536,-0.602660204100161,4.935229078047645,-0.056368321861260944,0.3570508309706487,0.16148682411497386,-0.30395034733367354,-0.19287041097003882,1.4768843248750227,-0.3222738889270924
