sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
M_3_8W,Neural progenitor cell,ATAD2,13,7,0.5384615384615384,0.21025147064755512
M_3_8W,Granulocyte-monocyte progenitor,ATAD2,7,6,0.8571428571428571,0.9433450065781566
M_3_8W,Leydig cell,ATAD2,18,5,0.2777777777777778,-0.5110454401453071
M_3_8W,Primitive endoderm cell,ATAD2,4,2,0.5,-0.03446656046244484
M_3_8W,Neural progenitor cell,BRDT,13,4,0.3076923076923077,-0.35693847540218876
M_3_8W,Granulocyte-monocyte progenitor,BRDT,7,4,0.5714285714285714,0.8814230951337784
M_3_8W,Leydig cell,BRDT,18,11,0.6111111111111112,0.12987350983960835
M_3_8W,Primitive endoderm cell,BRDT,4,0,0.0,-0.9668711657052362
M_3_8W,Neural progenitor cell,CASC5,13,9,0.6923076923076923,0.7191901986037604
M_3_8W,Granulocyte-monocyte progenitor,CASC5,7,3,0.42857142857142855,0.3061030490195389
M_3_8W,Leydig cell,CASC5,18,3,0.16666666666666666,-0.621146365275878
M_3_8W,Primitive endoderm cell,CASC5,4,2,0.5,-0.07788983750496284
M_3_8W,Neural progenitor cell,CTCFL,13,0,0.0,-0.15430334996209186
M_3_8W,Granulocyte-monocyte progenitor,CTCFL,7,0,0.0,-0.15430334996209186
M_3_8W,Leydig cell,CTCFL,18,1,0.05555555555555555,0.20573779994945587
M_3_8W,Primitive endoderm cell,CTCFL,4,0,0.0,-0.15430334996209188
M_3_8W,Neural progenitor cell,CTNNA2,13,2,0.15384615384615385,0.1862330352443627
M_3_8W,Granulocyte-monocyte progenitor,CTNNA2,7,0,0.0,-0.2348142854178934
M_3_8W,Leydig cell,CTNNA2,18,1,0.05555555555555555,0.003173130732364261
M_3_8W,Primitive endoderm cell,CTNNA2,4,0,0.0,-0.20861145335850473
M_3_8W,Neural progenitor cell,DSCR8,13,2,0.15384615384615385,-0.32921824437019337
M_3_8W,Granulocyte-monocyte progenitor,DSCR8,7,5,0.7142857142857143,0.9003675779472908
M_3_8W,Leydig cell,DSCR8,18,7,0.3888888888888889,0.016246568894912397
M_3_8W,Primitive endoderm cell,DSCR8,4,0,0.0,-0.5787935272317383
M_3_8W,Neural progenitor cell,IL13RA2,13,1,0.07692307692307693,-0.20702696415320349
M_3_8W,Granulocyte-monocyte progenitor,IL13RA2,7,2,0.2857142857142857,0.5847565153951128
M_3_8W,Leydig cell,IL13RA2,18,1,0.05555555555555555,-0.1677561361507208
M_3_8W,Primitive endoderm cell,IL13RA2,4,1,0.25,0.4044163442347082
M_3_8W,Neural progenitor cell,LUZP4,13,4,0.3076923076923077,-0.17073938294221616
M_3_8W,Granulocyte-monocyte progenitor,LUZP4,7,2,0.2857142857142857,-0.007526532352791414
M_3_8W,Leydig cell,LUZP4,18,6,0.3333333333333333,0.24702850158111644
M_3_8W,Primitive endoderm cell,LUZP4,4,0,0.0,-0.5435538309354379
M_3_8W,Neural progenitor cell,MAGEB1,13,5,0.38461538461538464,-0.001427144666356312
M_3_8W,Granulocyte-monocyte progenitor,MAGEB1,7,3,0.42857142857142855,-0.09203921198045419
M_3_8W,Leydig cell,MAGEB1,18,7,0.3888888888888889,0.14006336028739166
M_3_8W,Primitive endoderm cell,MAGEB1,4,1,0.25,-0.4645782801618099
M_3_8W,Neural progenitor cell,MAGEB2,13,3,0.23076923076923078,0.046208714168247574
M_3_8W,Granulocyte-monocyte progenitor,MAGEB2,7,3,0.42857142857142855,0.0089757083342704
M_3_8W,Leydig cell,MAGEB2,18,5,0.2777777777777778,0.0813092900953137
M_3_8W,Primitive endoderm cell,MAGEB2,4,0,0.0,-0.5317776160606883
M_3_8W,Neural progenitor cell,NR6A1,13,6,0.46153846153846156,-0.14178532437637936
M_3_8W,Granulocyte-monocyte progenitor,NR6A1,7,3,0.42857142857142855,0.034968651894084456
M_3_8W,Leydig cell,NR6A1,18,12,0.6666666666666666,0.2750367128027239
M_3_8W,Primitive endoderm cell,NR6A1,4,1,0.25,-0.8380580442036705
M_3_8W,Neural progenitor cell,TTK,13,12,0.9230769230769231,1.0422500597301165
M_3_8W,Granulocyte-monocyte progenitor,TTK,7,1,0.14285714285714285,-0.2587610453808545
M_3_8W,Leydig cell,TTK,18,4,0.2222222222222222,-0.553474412664621
M_3_8W,Primitive endoderm cell,TTK,4,1,0.25,-0.4438460077155914
