sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
M_22_26W,Sertoli cell,ARX,84,1,0.011904761904761904,0.1647221703369426
M_22_26W,Erythrocyte,ARX,44,0,0.0,
M_22_26W,Leydig precursor cell,ARX,52,28,0.5384615384615384,3.0468086711056914
M_22_26W,Neural progenitor cell,ARX,15,0,0.0,
M_22_26W,Meiotic prophase fetal germ cell,ARX,51,1,0.0196078431372549,0.0003083047731547696
M_22_26W,Mitotic fetal germ cell,ARX,58,2,0.034482758620689655,1.3425358458659904
M_22_26W,Mitotic arrest phase fetal germ cell,ARX,46,8,0.17391304347826086,0.6395312569209938
M_22_26W,Sertoli cell,COX6B2,84,1,0.011904761904761904,0.19758658148881353
M_22_26W,Erythrocyte,COX6B2,44,1,0.022727272727272728,3.158223193480256
M_22_26W,Leydig precursor cell,COX6B2,52,1,0.019230769230769232,0.3205296943711793
M_22_26W,Neural progenitor cell,COX6B2,15,0,0.0,
M_22_26W,Meiotic prophase fetal germ cell,COX6B2,51,4,0.0784313725490196,4.572380751505609
M_22_26W,Mitotic fetal germ cell,COX6B2,58,5,0.08620689655172414,3.7790820764938857
M_22_26W,Mitotic arrest phase fetal germ cell,COX6B2,46,2,0.043478260869565216,2.338938875989702
M_22_26W,Sertoli cell,CTCFL,84,0,0.0,
M_22_26W,Erythrocyte,CTCFL,44,5,0.11363636363636363,1.7248452385915687
M_22_26W,Leydig precursor cell,CTCFL,52,1,0.019230769230769232,0.7693689332742917
M_22_26W,Neural progenitor cell,CTCFL,15,0,0.0,
M_22_26W,Meiotic prophase fetal germ cell,CTCFL,51,24,0.47058823529411764,2.311897536320016
M_22_26W,Mitotic fetal germ cell,CTCFL,58,0,0.0,
M_22_26W,Mitotic arrest phase fetal germ cell,CTCFL,46,29,0.6304347826086957,1.6234172593451457
M_22_26W,Sertoli cell,DPPA2,84,0,0.0,
M_22_26W,Erythrocyte,DPPA2,44,4,0.09090909090909091,0.37726666809944
