names,logfoldchanges,pvals_adj,leiden_cluster,rank
RNASE1,,3.0723329949478206e-49,0,1
ISYNA1,,1.1262664319539406e-34,0,2
GATM,,1.9891472634739478e-32,0,3
FAM213A,,8.190791605254375e-41,0,4
NGFRAP1,,3.985017333354698e-49,0,5
MALAT1,,3.985017333354698e-49,0,6
CRYM,,6.371598921353926e-34,0,7
COL3A1,,1.9891472634739478e-32,0,8
RBP1,,1.1870473514618169e-30,0,9
BEX1,,1.689031767401443e-26,0,10
POU5F1,,8.189110163031786e-39,1,1
NDUFAB1,,2.5760047799106604e-53,1,2
PDPN,,2.6110473751395917e-32,1,3
MEG3,,1.240510104101942e-36,1,4
GPHA2,,8.50202789232729e-30,1,5
GLIPR2,,5.632497299352911e-31,1,6
PIM2,,1.2923293918489669e-27,1,7
PQLC3,,7.453584233641894e-26,1,8
TCL1A,,2.9490725779597333e-26,1,9
RPSA,,4.416025738585446e-34,1,10
RPS2P32,6.220774,0.04980456944878038,10,1
ADORA3,9.868393,0.04916661980290171,10,2
HMGCLL1,3.5882792,0.0488880761355617,10,3
EDN2,3.595133,0.04853469898155678,10,4
FREM1,4.6983314,0.04806298605698085,10,5
SRC,5.024963,0.047358044944239314,10,6
LRRTM2,3.2037766,0.04679189601895561,10,7
OTX1,2.9858863,0.04611942369251461,10,8
ASIP,4.30601,0.04560227077930697,10,9
LOC101929607,8.009386,0.04376311743898892,10,10
SMC1B,,1.6304366197523003e-11,2,1
TEX30,,2.3025675365668723e-11,2,2
RBM46,,1.8343559610155795e-09,2,3
CKS2,,5.401847539920923e-10,2,4
PRAME,,3.156033961547766e-08,2,5
ID3,,5.045262132858659e-08,2,6
FOXK1,,1.274431705447226e-07,2,7
SMC4,,2.0949901372569917e-07,2,8
PAGE2B,,4.409679043810654e-07,2,9
DDX4,,8.841114882242992e-07,2,10
HIGD2B,5.1500616,0.044248286720864956,3,1
ZBTB37,5.298019,0.042629645929897736,3,2
KBTBD11-OT1,7.0888705,0.03808213996048996,3,3
XYLT1,4.2890677,0.033524395090525794,3,4
CD163L1,7.412865,0.032497590985545624,3,5
DCAF12L2,7.377561,0.030880739553925805,3,6
EML2-AS1,6.8634033,0.029283583102474624,3,7
NLRP11,4.103268,0.028727827568842755,3,8
HM13-AS1,11.45122,0.026818550720123374,3,9
HIST1H2BA,6.061788,0.01084445000757301,3,10
LINC00926,4.147641,0.04894893992057103,4,1
CALCB,4.7803473,0.04784568895533587,4,2
CDH4,6.281437,0.04707938649321185,4,3
ALDH1L2,5.5164866,0.04707938649321185,4,4
DDX11L2,5.8805666,0.04610409586375197,4,5
CRHR2,2.8699985,0.04586801277228307,4,6
PAK7,5.2763224,0.04494436087315827,4,7
LRRC39,5.80779,0.04417682772516463,4,8
RNF207,4.7699523,0.04397843362472585,4,9
F13A1,5.9639,0.04358463734780894,4,10
NID1,6.7193646,0.04886187777311213,5,1
F13A1,5.3641734,0.04775202232680167,5,2
HIGD2B,4.1953526,0.04692436146279239,5,3
ZBTB37,4.267276,0.04513074257068178,5,4
GCNT7,5.370851,0.044433609835440036,5,5
CLIC3,8.240031,0.04248500953801319,5,6
LINC00963,4.5756283,0.04165843985487863,5,7
KBTBD11-OT1,4.8600636,0.041114599358282475,5,8
ZNF536,5.8437734,0.03808255261921804,5,9
ANKRD18A,7.1993895,0.036976435054090755,5,10
SKI,5.2646704,0.04823576604584639,6,1
NID1,5.677262,0.046862465428528455,6,2
LINC01296,7.9910207,0.04591857565990501,6,3
F13A1,4.871447,0.04586950285151179,6,4
HIGD2B,3.9629245,0.04516051660185702,6,5
TMC8,4.3971024,0.04458761258447079,6,6
ZBTB37,4.023154,0.04360184958661867,6,7
GCNT7,4.8758864,0.04296717466718708,6,8
LINC00963,4.2756042,0.040373364389693724,6,9
KBTBD11-OT1,4.499355,0.03975844064303642,6,10
LINC01312,3.3038545,0.04879145871947925,7,1
ACOT11,3.8748398,0.04799929207757199,7,2
PAK7,4.1814995,0.04763688361891703,7,3
ARL9,7.562692,0.04225647007655171,7,4
PAPSS2,3.2639394,0.042050407501958854,7,5
GLIS3-AS1,4.2039094,0.040178532297548704,7,6
EDN2,4.3530583,0.037926616194387426,7,7
MICALL2,3.2941246,0.035102086514149734,7,8
FLJ13224,4.7382026,0.03439315269233188,7,9
LOC90784,3.545899,0.03349067331861718,7,10
EGFR,6.5460415,0.04890724521907983,8,1
GLIS3-AS1,3.9048812,0.048033750585004684,8,2
F8A1,4.120404,0.04753012658755259,8,3
HMGCLL1,4.0134764,0.04591568791350911,8,4
OTX1,3.2365327,0.04310086479465773,8,5
ANO9,7.9611135,0.04135056058292245,8,6
GPLD1,3.9060156,0.04192565852736976,8,7
HAS1,6.9441657,0.03856070130621189,8,8
NEURL1B,5.662302,0.03831245365433077,8,9
MYOCD,4.3476357,0.03525109229376538,8,10
NEFL,4.2424994,0.04967353566528444,9,1
ARL9,5.3238997,0.04864791081111677,9,2
ANGPT2,6.415029,0.048346725808707025,9,3
EGFR,5.8587527,0.046840137533877654,9,4
GLIS3-AS1,3.778227,0.04605852393201219,9,5
NKX3-1,3.4916236,0.04169929646418967,9,6
OTX1,3.159157,0.04118777961118337,9,7
CLCN4,4.933712,0.04118777961118337,9,8
ANO9,6.5593586,0.039660035905690796,9,9
WWC2-AS2,4.164028,0.037446834852317916,9,10
