group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL34,7.644667,0.5685859,2.0948687032554372e-14,1.0032932930498336e-13
0,RPL26,5.357839,0.21518949,8.422321311879958e-08,2.5573930469041264e-07
0,RPS7,5.2272663,-0.039640028,1.7203462402150837e-07,5.115281105896689e-07
0,RPS18,3.4978309,-0.31265947,0.00046905835038771765,0.0010940533867729702
0,CALM2,2.9242568,-1.1542692,0.0034527968477602003,0.007439692372039901
0,RPS4X,2.7161372,-0.6739645,0.006604855725996436,0.013824894326739388
0,RPL7,2.370972,-0.5085874,0.017741375529107078,0.03544877614611209
0,RPS6,2.2727623,-0.7634143,0.023040504012326022,0.045456553521886864
0,TMSB4X,2.2410216,-0.0057650693,0.025024674968299604,0.04918952661975533
0,RPL27,1.5911453,-1.3217967,0.11157688831792124,0.1992957691313257
1,SOX15,11.851112,5.5365496,2.123526416011632e-32,4.652858730123088e-28
1,NANOS3,11.258163,6.103809,2.1111174323326686e-29,2.312834702992055e-25
1,ACTG2,11.186084,6.356469,4.7704118640272975e-29,3.484149811756737e-25
1,FAM162B,11.014985,5.2136974,3.235910434742598e-28,1.7725508383911268e-24
1,TCL1A,10.981639,5.6275353,4.683495609970436e-28,1.986805685982792e-24
1,POU5F1,10.968097,5.888059,5.44057054260269e-28,1.986805685982792e-24
1,DPPA4,10.949749,5.1682224,6.663211796651605e-28,2.0856804810919044e-24
1,PMAIP1,10.90621,5.2583604,1.0765185682162061e-27,2.9484497935231617e-24
1,NDUFAB1,10.8218975,3.0053942,2.71104401306699e-27,6.600187263367869e-24
1,PFN1,10.81054,2.337062,3.0685891472143742e-27,6.723585680461415e-24
10,PTPRC,10.098678,11.712732,5.599222729106435e-24,5.311967721896034e-20
10,SRGN,10.086075,11.706113,6.3664414987583206e-24,5.311967721896034e-20
10,PLEK,10.047428,11.526427,9.429651127738481e-24,5.311967721896034e-20
10,AIF1,10.031465,11.591838,1.1085948342569745e-23,5.311967721896034e-20
10,ITGB2,10.022643,10.564775,1.2121691666049093e-23,5.311967721896034e-20
10,TMSB4X,9.834448,4.22307,8.000491927951831e-23,2.9216463105558756e-19
10,S100A11,9.731109,8.945658,2.221574113160768e-22,5.664764565456324e-19
10,ARHGDIB,9.712206,10.739289,2.674854110478235e-22,5.664764565456324e-19
10,GMFG,9.706744,9.994857,2.8220668140104e-22,5.664764565456324e-19
10,CD53,9.704854,9.639259,2.874870802108339e-22,5.664764565456324e-19
11,COL3A1,13.816751,7.426028,2.0198306020731752e-43,4.4256508322025343e-39
11,CRYM,13.736795,6.5382853,6.112216382942428e-43,6.696238658332577e-39
11,GATM,13.063555,6.424727,5.3185289530710856e-39,3.884476263024685e-35
11,ISYNA1,13.034394,5.5305657,7.798396936323781e-39,4.0396931840408846e-35
11,SERINC5,13.021628,4.863431,9.218413545800932e-39,4.0396931840408846e-35
11,MALAT1,12.699656,3.194367,5.939078851114192e-37,2.1688526117793844e-33
11,FAM213A,12.600483,4.0885625,2.098548200845649e-36,5.9468699220790414e-33
11,BEX1,12.5977955,6.795844,2.171281976022652e-36,5.9468699220790414e-33
11,PRKAR2B,12.136068,5.683116,6.801657346190373e-34,1.655901267915303e-30
11,RNASE1,12.117524,6.6872735,8.529740600466152e-34,1.8689514629681386e-30
12,SCML1,12.978861,8.892836,1.6126212724486713e-38,3.533414470062284e-34
12,SYCP3,12.901082,6.5922956,4.4382382465558365e-38,3.985906240920331e-34
12,SPATA22,12.885143,8.012391,5.45740437349322e-38,3.985906240920331e-34
12,FAM9C,12.752696,7.6959925,3.0114666212280925e-37,1.6496061284432184e-33
12,HORMAD1,12.690377,7.2458286,6.686272049211675e-37,2.9300581374055404e-33
12,HPRT1,12.671889,5.936672,8.46509094679215e-37,3.09131012891938e-33
12,C18orf63,12.655154,8.832429,1.047700431253872e-36,3.2794520213147984e-33
12,SMC1B,12.621205,8.3099375,1.6133277441165424e-36,4.3802816740666395e-33
12,TEX30,12.609093,5.7791367,1.8814747977040135e-36,4.3802816740666395e-33
12,ESCO2,12.604311,7.252994,1.9991244918381815e-36,4.3802816740666395e-33
13,SNAR-C3,8.9019375,4.4856234,5.488017727644227e-19,3.4976136250847196e-18
13,RNF149,7.1251855,1.9709914,1.0394072553657423e-12,4.1273019884593655e-12
13,FOXK1,6.8922887,1.8444818,5.490172821152001e-12,2.072625373608916e-11
13,DSG3,4.7486,1.8622905,2.0482963045778637e-06,5.521001393726851e-06
13,MTRNR2L8,4.421631,2.0545628,9.795873199640668e-06,2.534687974460636e-05
13,SPP1,4.3702893,2.711834,1.2408196465461491e-05,3.186918213043333e-05
13,CD82,4.0863705,1.3287019,4.381738980977322e-05,0.00010830037542266678
13,B2M,3.8400807,1.9569248,0.00012299390121995964,0.0002942372933323
13,CCL5,3.758232,0.9532742,0.00017111814815727743,0.00040450639165757964
13,MALAT1,2.9747179,0.9288173,0.002932581497815029,0.006311963968430756
14,GPHA2,11.866464,5.8652606,1.7678400846172242e-32,3.8735144094048e-28
14,ATP6AP2,11.498723,3.3908596,1.3388218514216874e-30,1.4667462793250298e-26
14,PQLC3,11.408634,4.8087626,3.786259994820973e-30,2.765358091550744e-26
14,NDUFAB1,11.256736,3.0467203,2.1456049816901033e-29,1.1753087688452963e-25
14,PYY,11.207713,5.0324135,3.737260049104775e-29,1.6377420987186946e-25
14,RPSA,11.0393305,2.6376512,2.4686518937650474e-28,9.015105274047658e-25
14,MEG3,10.900078,4.633624,1.1515859185517816e-27,3.604628437341155e-24
14,ALPPL2,10.869102,5.6490245,1.617865521383313e-27,4.431131429878721e-24
14,SUSD2,10.829173,4.846183,2.5040733069678383e-27,6.096305580996923e-24
14,TFCP2L1,10.671021,4.71432,1.3908890617379844e-26,3.0475770231740974e-23
15,CTRB2,11.471787,10.563297,1.82842216084272e-30,4.006255796622484e-26
15,NLRP5,11.270078,10.746426,1.8440636887499705e-29,2.0202639742100304e-25
15,ZP3,11.103322,10.521489,1.2086675935619592e-28,8.827705214178695e-25
15,LDHAL6A,11.050528,8.697293,2.1793049278755447e-28,1.1937687568670266e-24
15,NOBOX,10.986264,9.21306,4.449637387557255e-28,1.8486307997719592e-24
15,BRDT,10.974613,6.206222,5.062199260020883e-28,1.8486307997719592e-24
15,TBPL2,10.893238,7.430572,1.2414680557094334e-27,3.885972366949914e-24
15,TDRD1,10.736858,7.435086,6.83304721187547e-27,1.871486218242543e-23
15,MAT2B,10.660398,4.386648,1.559295015189571e-26,3.796190341979855e-23
15,ZFAND2A,10.576291,6.261903,3.838535698674854e-26,7.1569679427689e-23
16,B2M,8.047303,5.3202415,8.463815389529031e-16,1.854506589999706e-11
16,HSP90B1,7.8792706,2.783651,3.2929774087166718e-15,2.8132238771773974e-11
16,HSPB1,7.859659,5.0221496,3.851796646219795e-15,2.8132238771773974e-11
16,NGFRAP1,7.726392,4.731324,1.1063770163103286e-14,6.060456701093903e-11
16,CLU,7.512674,6.132132,5.793181300500671e-14,2.538687909505404e-10
16,MYL12B,7.3729434,2.6322808,1.6690133713220032e-13,6.094958663172734e-10
16,CTNNAL1,7.284247,4.793556,3.234718361080799e-13,1.0125130572805912e-09
16,HSPA5,7.2254133,2.4315207,4.995803498465051e-13,1.3682881306858467e-09
16,WBP5,7.184185,5.457556,6.760925965285271e-13,1.6459849869485066e-09
16,CAV2,7.1289167,6.044895,1.0116177629771081e-12,2.2165556804591417e-09
17,DLX6,11.476147,7.0922127,1.7385714586298254e-30,3.8093839230038105e-26
17,ACRC,11.108518,6.9464383,1.140364772763936e-28,1.2493266268015301e-24
17,VCX,11.009123,7.744159,3.453506551515516e-28,2.2522907887040704e-24
17,DDX4,10.993393,5.9265084,4.11170788864784e-28,2.2522907887040704e-24
17,PAGE2B,10.941186,7.25691,7.323579792496685e-28,3.209339136667897e-24
17,TDRD6,10.889313,6.5318418,1.2961476743901927e-27,4.733315282260585e-24
17,DNAJA4,10.769336,5.7201533,4.804564186590433e-27,1.5038972270340427e-23
17,PRAME,10.752435,5.8297048,5.771752793333203e-27,1.5808109431840476e-23
17,RHOXF1,10.731686,6.6399264,7.226569285338087e-27,1.759348440122698e-23
17,C14orf39,10.67312,6.6489134,1.3598302790795044e-26,2.827976389389405e-23
18,CAV1,14.035757,7.855259,9.418552634285185e-45,2.063699067698227e-40
18,JUNB,13.927947,6.9032035,4.2849819658014186e-44,4.694411992633744e-40
18,ANXA5,13.357413,3.4158773,1.0722553933578997e-40,7.831395974621647e-37
18,ISYNA1,13.323747,5.4032226,1.6843709825118745e-40,9.226563149454422e-37
18,CADM1,13.297791,6.2794127,2.384106141335116e-40,9.36381596291456e-37
18,RNASE1,13.281599,6.759056,2.9600317540002956e-40,9.36381596291456e-37
18,TOX3,13.276331,6.6562524,3.175775173482257e-40,9.36381596291456e-37
18,IFI16,13.270805,4.359005,3.4188548082386237e-40,9.36381596291456e-37
18,GATM,13.211824,6.2785363,7.498430434950896e-40,1.8255345473356563e-36
18,COMT,13.155157,6.1956706,1.5895302861332523e-39,3.482819809946569e-36
2,PSMC3,9.443219,3.1633823,3.614993205133487e-21,5.4488750909427154e-17
2,DTL,9.40974,4.8441896,4.973643458484519e-21,5.4488750909427154e-17
2,UNG,9.290909,4.1698055,1.529761158455769e-20,1.1172865580974784e-16
2,MCM10,9.163064,5.3775954,5.0444121315627645e-20,2.7632028553667935e-16
2,FEN1,9.107696,4.511097,8.415028050698002e-20,3.2552762734388864e-16
2,RAD51,9.101441,4.9097905,8.914087737042271e-20,3.2552762734388864e-16
2,RRM2,8.973044,5.534174,2.8842886112332236e-19,9.028235394390167e-16
2,SPC25,8.863963,5.1058884,7.721950488784793e-19,2.114945714497045e-15
2,RFC2,8.78652,3.9649816,1.542639561730391e-18,3.755641715230511e-15
2,SLC25A5,8.760767,2.8063183,1.9392575796495227e-18,4.249107282770069e-15
3,UNG,12.688248,4.39153,6.870576632799006e-37,1.5054120460125902e-32
3,CDCA5,12.335954,5.2132535,5.799836681453746e-35,6.354011076366652e-31
3,DHFR,12.16588,5.107707,4.723264491142084e-34,3.449714942180473e-30
3,DSN1,12.079855,4.728515,1.349578031648281e-33,7.392651062861371e-30
3,RAD51,11.97589,4.9573674,4.753102829760953e-33,1.7759374037626093e-29
3,PHLDA2,11.97363,6.0153575,4.8844079456982026e-33,1.7759374037626093e-29
3,BRCA1,11.961199,5.042081,5.673662464669921e-33,1.7759374037626093e-29
3,MYBL2,11.935066,4.876588,7.769664549481017e-33,2.128013999295982e-29
3,CDCA7,11.749173,4.9134755,7.131356358191763e-32,1.736168324048219e-28
3,MCM5,11.507906,4.0723724,1.2036532429524844e-30,2.6373246206331885e-27
4,KIT,11.781437,4.786244,4.8656382781196885e-32,1.066110003118805e-27
4,MKRN1,11.330778,4.2657275,9.238046648009725e-30,7.871689536094525e-26
4,TFCP2L1,11.317269,4.798217,1.0777722882699821e-29,7.871689536094525e-26
4,RPSA,11.283767,2.6087878,1.5783953156475742e-29,8.064567768528963e-26
4,PDLIM1,11.270258,4.558596,1.8403011657452792e-29,8.064567768528963e-26
4,ALPL,11.241754,4.856395,2.5427935281908515e-29,9.285858166031623e-26
4,SUSD2,11.036283,4.6168895,2.5538133416385935e-28,7.993800589806175e-25
4,PYY,10.952392,4.7730894,6.471571461752667e-28,1.7724825287307837e-24
4,MLEC,10.903625,3.7031033,1.1075548835531586e-27,2.6964038948370287e-24
4,ELOVL6,10.810683,4.7270017,3.0638054922673546e-27,6.713104214107e-24
5,POU5F1,11.32858,6.0531006,9.472787623454665e-30,1.2337455911497507e-25
5,NANOG,11.313418,5.896611,1.1261426599879062e-29,1.2337455911497507e-25
5,PCSK1N,11.176349,5.4995623,5.323568176282099e-29,3.888156743683902e-25
5,THY1,11.079192,5.9002123,1.5829404755922818e-28,8.670952190175623e-25
5,CEBPZ,11.023189,3.9387012,2.9540659701294074e-28,1.2945307894301089e-24
5,ETV4,10.998281,5.503752,3.894878130757626e-28,1.4223445787171724e-24
5,TUBA1C,10.974146,4.6657476,5.088427270215764e-28,1.5927504273956801e-24
5,ANXA3,10.948001,5.670425,6.793040619046744e-28,1.860528912549165e-24
5,ZNF428,10.84837,4.660967,2.030148071222572e-27,4.9425082653953086e-24
5,TCL1A,10.805052,5.701419,3.257745749405232e-27,7.138046711521803e-24
6,COL1A2,12.635636,7.001448,1.3430364234378339e-36,2.942727107394638e-32
6,NR2F2,12.190768,7.226251,3.481247406159176e-34,3.8138805958176854e-30
6,MAGED2,11.697005,4.4072623,1.3203129361104656e-31,9.643125581038803e-28
6,MDK,11.3472185,3.811866,7.655925100936794e-30,4.1937243721656526e-26
6,MARCKS,10.636513,5.759075,2.0153039450608665e-26,8.831464948045729e-23
6,ZFP36L1,10.523077,5.68012,6.76281373071319e-26,2.4696668608942784e-22
6,MFAP2,10.390234,5.829842,2.7467968104701e-25,8.597866416315766e-22
6,NGFRAP1,10.11236,4.3732643,4.869671265600965e-24,1.3337420887572843e-20
6,HMGN1,10.009154,2.7905662,1.389347970222948e-23,3.3824448195061126e-20
6,PRDX2,9.969587,3.8423727,2.0708756119004562e-23,4.53749555323509e-20
7,ANHX,16.69085,8.00191,1.5278017532845154e-62,3.347566421621702e-58
7,ZGLP1,16.374138,8.463762,2.9262890164681857e-60,3.205895931991721e-56
7,THRA1/BTR,15.8882675,9.202175,7.641025213800092e-57,5.580750115319127e-53
7,NMU,15.237135,6.34499,2.004706509684132e-52,1.0981281083422256e-48
7,CYP26A1,15.162038,8.239955,6.308123584288198e-52,2.7643459171067743e-48
7,STRA8,15.072123,8.739055,2.470468119735583e-51,9.021737828587726e-48
7,CALCOCO2,14.545314,4.970163,6.254312994730811e-48,1.9576893146792402e-44
7,REC8,14.506259,5.222524,1.1059011533999323e-47,2.9665723933252024e-44
7,SKAP2,14.499603,5.7960944,1.2185272940498753e-47,2.9665723933252024e-44
7,TUBB2B,14.452008,5.8762484,2.434823057151823e-47,5.011763922892683e-44
8,RPS15,7.1216254,2.0857449,1.066615146253487e-12,2.3370604469560153e-08
8,PSORS1C2,7.007768,6.3610106,2.4214994208768894e-12,2.6528736905416762e-08
8,RPS27,6.9386797,1.9381467,3.957815081870716e-12,2.7938726805125246e-08
8,RPS23,6.902754,2.0637877,5.100401954292409e-12,2.7938726805125246e-08
8,RPL37A,6.8220587,2.1320875,8.974508747820213e-12,3.6079878509064495e-08
8,RPSAP9,6.808241,3.2451487,9.87993569688225e-12,3.6079878509064495e-08
8,RPLP2,6.6733804,2.1815531,2.4997726697363207e-11,6.29534397002645e-08
8,RPS28,6.670064,2.7410367,2.5569156730450615e-11,6.29534397002645e-08
8,RASSF2,6.6609445,5.693547,2.7207332585893314e-11,6.29534397002645e-08
8,RPS13,6.6529303,2.347327,2.8731431564175302e-11,6.29534397002645e-08
9,IFITM3,15.862877,6.1278496,1.1452594783723873e-56,2.509378043061738e-52
9,IFITM2,15.726926,7.0347137,9.889786258366837e-56,1.0834755335353789e-51
9,DIRAS3,15.274602,7.98767,1.1291582984525467e-52,8.246995825797917e-49
9,MT1L,15.241732,7.0513997,1.8685136554292905e-52,1.0235250676027797e-48
9,MT2A,15.207533,6.512152,3.152012277821923e-52,1.3812748203871232e-48
9,MT3,15.191581,7.456526,4.021031849206019e-52,1.4684138141325513e-48
9,HBG2,14.745058,5.056776,3.3103686060790986e-49,1.0361926646828448e-45
