group,names,scores,logfoldchanges,pvals,pvals_adj
0,TMSB4X,11.226859,4.8050914,3.0098879957600793e-29,1.5842899517922778e-25
0,CD74,11.216029,10.508005,3.4020689548874283e-29,1.5842899517922778e-25
0,ARHGDIB,11.203845,10.404781,3.9041325974389834e-29,1.5842899517922778e-25
0,SRGN,11.197527,11.051807,4.192732534636899e-29,1.5842899517922778e-25
0,ITGB2,11.186697,10.370431,4.7375414493234293e-29,1.5842899517922778e-25
0,HCLS1,11.185344,9.919459,4.810402885220526e-29,1.5842899517922778e-25
0,FCER1G,11.180831,9.796809,5.061398230361893e-29,1.5842899517922778e-25
0,B2M,11.129839,7.7425704,8.979806379255509e-29,2.1497619053418814e-25
0,LAPTM5,11.125326,10.6963005,9.446003170583186e-29,2.1497619053418814e-25
0,AIF1,11.121942,11.468695,9.811336339472783e-29,2.1497619053418814e-25
1,HBE1,10.448514,7.89854,1.488391405068994e-25,3.261214407646673e-21
1,HBZ,10.342921,7.325751,4.505905832130007e-25,4.93644513439003e-21
1,TXN,10.212524,3.3359897,1.742713860939819e-24,1.2728201135684125e-20
1,RPS14,10.066536,2.1097782,7.766510260342258e-24,4.2543001578589806e-20
1,SNRPD2,9.856768,1.8043816,6.407906994472941e-23,2.808073003117932e-19
1,SLIRP,9.617234,1.9774418,6.762485753149699e-22,2.469547088954384e-18
1,PSMB6,9.563848,2.7280214,1.1345863930469117e-21,3.4975945157521165e-18
1,RBM8A,9.543296,2.0034866,1.383638238284901e-21,3.4975945157521165e-18
1,TCL1A,9.523453,5.995672,1.6751873527541322e-21,3.4975945157521165e-18
1,CRIP1,9.51046,5.493755,1.8982074730210485e-21,3.4975945157521165e-18
10,ANPEP,6.6427264,9.959615,3.0793259724546277e-11,1.061986672541769e-07
10,MMP9,6.638911,9.932259,3.1600964900054313e-11,1.061986672541769e-07
10,ANXA2,6.622884,7.4318104,3.5225756190525994e-11,1.061986672541769e-07
10,CD84,6.6205945,11.225118,3.5775733121301336e-11,1.061986672541769e-07
10,CLEC4A,6.6129627,10.286991,3.767036454590417e-11,1.061986672541769e-07
10,SLC37A2,6.610673,10.283689,3.825765745713622e-11,1.061986672541769e-07
10,ACP5,6.6083837,9.724241,3.8853906897873064e-11,1.061986672541769e-07
10,BHLHE40,6.5908303,7.633288,4.37373421701155e-11,1.061986672541769e-07
10,TCIRG1,6.5877776,8.96061,4.4645862130104755e-11,1.061986672541769e-07
10,IFI30,6.575567,8.6936455,4.8468197368525805e-11,1.061986672541769e-07
11,AMH,8.814462,8.388482,1.202613869630959e-18,2.6350472497483943e-14
11,GATM,8.347826,5.7553296,6.953100324327873e-17,6.781877839874682e-13
11,ADGRG1,8.313582,6.680544,9.285579626499954e-17,6.781877839874682e-13
11,FSCN1,8.268094,4.9700627,1.3611760941851958e-16,7.231941202489578e-13
11,SERPINA5,8.245094,7.461091,1.650299211010355e-16,7.231941202489578e-13
11,CLDN11,8.085886,5.9608316,6.171381222347914e-16,2.250899780180489e-12
11,SOX9,8.067231,6.4602346,7.191044891270787e-16,2.250899780180489e-12
11,SLC27A3,8.032988,5.351803,9.512765699640147e-16,2.605427615560191e-12
11,INHA,8.007432,7.309869,1.1712844142025967e-15,2.8515569777325664e-12
11,SERPINF1,7.992099,6.126583,1.3266046335332556e-15,2.9067234125347165e-12
12,GATM,8.458719,6.930464,2.7032915214685674e-17,5.923182052689778e-13
12,REEP6,8.205359,5.3553505,2.299011392543982e-16,2.5186819311015595e-12
12,CITED1,8.090037,8.215716,5.964634001477785e-16,3.543803520076266e-12
12,IFI27L1,8.080136,5.2615657,6.469450997355238e-16,3.543803520076266e-12
12,ABRACL,8.007914,5.1258945,1.1667038521647246e-15,5.112729620956256e-12
12,FATE1,7.983452,8.520962,1.4229695774035941e-15,5.196447735081691e-12
12,COPE,7.9403515,3.0096884,2.016091428052541e-15,6.310654182865605e-12
12,CKB,7.813963,4.1444507,5.541744121389549e-15,1.3935355467202313e-11
12,BEX1,7.809886,7.755079,5.723983351048369e-15,1.3935355467202313e-11
12,TMX4,7.736499,4.8081245,1.0219192085167162e-14,2.239127177780977e-11
13,INSL3,4.880261,13.564139,1.0594544080665857e-06,0.0026025281069075724
13,DIRAS3,4.8656745,9.888969,1.14067075268201e-06,0.0026025281069075724
13,S100A6,4.860465,10.153173,1.17110306591753e-06,0.0026025281069075724
13,S100A13,4.8583813,5.6966324,1.1834934413640416e-06,0.0026025281069075724
13,STAR,4.8583813,9.766206,1.1834934413640416e-06,0.0026025281069075724
13,RBP1,4.842753,8.001717,1.2805258237150286e-06,0.0026025281069075724
13,CYP17A1,4.827124,11.415283,1.3851869965628845e-06,0.0026025281069075724
13,CYB5A,4.826082,5.631223,1.3924494430477592e-06,0.0026025281069075724
13,IRS1,4.7937837,8.880583,1.636649395798029e-06,0.0026025281069075724
13,POR,4.7791967,5.3768907,1.7599682241159423e-06,0.0026025281069075724
14,RPUSD3,6.3678493,3.541932,1.9169708291691283e-10,4.200274783792477e-06
14,PLBD1,5.996541,3.8473306,2.015644260109126e-09,1.5639118306534644e-05
14,SHISA5,5.986711,2.277024,2.141269450029845e-09,1.5639118306534644e-05
14,DPPA3,5.9252005,3.952596,3.11916265473741e-09,1.708599323198785e-05
14,ACADS,5.8723974,3.5997238,4.295375513878772e-09,1.8823194576919554e-05
14,SERPING1,5.8151,2.908169,6.0597563622281385e-09,1.9031704146745687e-05
14,BSG,5.8145385,1.3525082,6.080139155091954e-09,1.9031704146745687e-05
14,RPS23,5.699944,1.2284838,1.1984666732501557e-08,3.0248237181331655e-05
14,NDUFAB1,5.6847773,2.3292038,1.3098324630009398e-08,3.0248237181331655e-05
14,TCL1A,5.6757894,4.3622813,1.3805046406522594e-08,3.0248237181331655e-05
15,DCN,13.667814,10.654705,1.580721332010572e-42,2.6491414055684325e-38
15,SPARCL1,13.636842,10.452556,2.418092652611412e-42,2.6491414055684325e-38
15,COL3A1,13.540278,9.693571,9.044515302114567e-42,6.605812492821075e-38
15,COL1A1,13.51878,9.7806635,1.2116888492488783e-41,6.637328593973043e-38
15,COL15A1,13.417663,9.231011,4.765088249029411e-41,2.088156972489669e-37
15,DLK1,13.330392,7.2221503,1.5408709191277195e-40,5.627003784834576e-37
15,FXYD6,13.306342,5.2165303,2.126409478678131e-40,6.655965441045218e-37
15,C7,13.18573,9.499922,1.0602335056883737e-39,2.903847042892245e-36
15,PDGFRA,12.948331,8.858022,2.401177157549106e-38,5.845799188784275e-35
15,MALAT1,12.719314,3.3666563,4.6190087344231235e-37,1.0120710037994506e-33
16,APOA1,17.4193,8.977277,5.889382924952138e-68,1.1474968869580684e-63
16,RNASE1,17.386324,8.191892,1.0474162630259398e-67,1.1474968869580684e-63
16,CLEC4M,17.29585,9.165152,5.055163628979273e-67,3.6768749980016765e-63
16,CLU,17.279503,6.9227223,6.712381904982295e-67,3.6768749980016765e-63
16,INHA,17.25019,8.922655,1.1153016131082692e-66,4.887474728963057e-63
16,SERPINA5,17.206223,8.765628,2.384890787023103e-66,8.709223672410535e-63
16,SERPINF1,17.10504,7.3251805,1.3610943036233135e-65,4.260419612384346e-62
16,BEX1,17.044724,8.325944,3.825446206929574e-65,1.0477418980004238e-61
16,PRNP,16.952843,6.8192143,1.8337172611728393e-64,4.464286545506454e-61
16,AMH,16.914793,8.9816065,3.500474069070927e-64,7.175655666333099e-61
17,LOC729348,13.105084,4.1608996,3.079208461126961e-39,6.746853659175284e-35
17,PIWIL4,13.016474,6.4478464,9.862145919178302e-39,1.080447396175579e-34
17,MORC1,12.723628,6.4302154,4.3708402341468075e-37,3.1923160123463566e-33
17,MAGEB2,12.536255,6.4708796,4.728145819057543e-36,1.8161903781517935e-32
17,TDRD6,12.526793,5.6873035,5.327425917967755e-36,1.8161903781517935e-32
17,VCX3A,12.520942,6.109435,5.735038283278467e-36,1.8161903781517935e-32
17,FAM150B,12.513887,6.193665,6.267981472569807e-36,1.8161903781517935e-32
17,CDK17,12.509414,4.325456,6.631154682677353e-36,1.8161903781517935e-32
17,SIX1,12.341484,6.5435634,5.414854328764879e-35,1.1864487319756727e-31
17,TSPYL6,12.325482,5.6456227,6.604699951414723e-35,1.3155961875949816e-31
18,DNAJA4,11.027449,4.734887,2.817433871903092e-28,6.173279356726865e-24
