celltype_leiden_res_1.0,MAGEC2,CTAG2,CTCFL,TDRD6,SPO11,SYCP1,MORC1,HORMAD2,PAGE1,PAGE5,MAGEA4,PRDM14
Ambiguous,0.1951219512195122,0.04878048780487805,0.24390243902439024,0.3170731707317073,0.1951219512195122,0.21951219512195122,0.0975609756097561,0.04878048780487805,0.07317073170731707,0.3902439024390244,0.2682926829268293,0.4146341463414634
Early somatic,0.022388059701492536,0.0,0.03731343283582089,0.21641791044776118,0.029850746268656716,0.07462686567164178,0.03731343283582089,0.03731343283582089,0.007462686567164179,0.15671641791044777,0.08208955223880597,0.4925373134328358
Immune,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.37142857142857144,0.42857142857142855,0.34285714285714286,0.05714285714285714,0.0,0.05714285714285714,0.37142857142857144,0.11428571428571428,0.05714285714285714
Meiotic germ cells,0.39622641509433965,0.25471698113207547,0.8679245283018868,0.9528301886792453,0.9528301886792453,0.9528301886792453,0.7264150943396226,0.8207547169811321,0.09433962264150944,0.8962264150943396,0.4056603773584906,0.08490566037735849
Mixed,0.042483660130718956,0.02287581699346405,0.13398692810457516,0.21895424836601307,0.29411764705882354,0.3202614379084967,0.08169934640522876,0.06209150326797386,0.0457516339869281,0.3104575163398693,0.0457516339869281,0.03594771241830065
Oocytes,0.0851063829787234,0.06382978723404255,0.5957446808510638,0.9148936170212766,0.46808510638297873,0.6808510638297872,0.6170212765957447,0.14893617021276595,0.0425531914893617,0.5957446808510638,0.1702127659574468,0.14893617021276595
PGC,0.1347517730496454,0.014184397163120567,0.05673758865248227,0.12056737588652482,0.014184397163120567,0.02127659574468085,0.02127659574468085,0.0,0.0,0.1702127659574468,0.2765957446808511,0.5957446808510638
Proliferating,0.13043478260869565,0.028985507246376812,0.050724637681159424,0.17391304347826086,0.050724637681159424,0.07246376811594203,0.043478260869565216,0.007246376811594203,0.021739130434782608,0.21739130434782608,0.2391304347826087,0.463768115942029
RA–responsive germ cells,0.34210526315789475,0.10526315789473684,0.6929824561403509,0.7456140350877193,0.43859649122807015,0.4298245614035088,0.5175438596491229,0.2719298245614035,0.05263157894736842,0.5701754385964912,0.2543859649122807,0.23684210526315788
Ribosomal,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.02247191011235955,0.011235955056179775
Stromal,0.015384615384615385,0.038461538461538464,0.08461538461538462,0.08076923076923077,0.21153846153846154,0.12692307692307692,0.026923076923076925,0.046153846153846156,0.0038461538461538464,0.12307692307692308,0.05384615384615385,0.038461538461538464
