celltype_leiden_res_1.0,gene,expression
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
PGC,MAGEC2,4.135806352029695
PGC,MAGEC2,3.1637858585502405
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Proliferating,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,3.846951008684431
PGC,MAGEC2,0.0
PGC,MAGEC2,3.970857791149039
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,2.642622395779755
Proliferating,MAGEC2,0.0
Early somatic,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
Early somatic,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
Proliferating,MAGEC2,3.535145354171894
PGC,MAGEC2,3.566994266123812
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
Proliferating,MAGEC2,0.0
Proliferating,MAGEC2,0.0
Proliferating,MAGEC2,0.0
Proliferating,MAGEC2,0.0
PGC,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
Ribosomal,MAGEC2,0.0
