celltype_leiden_res_1.0,MAGEC2,CTAG2,CTCFL,TDRD6,SPO11,SYCP1,MORC1,HORMAD2,PAGE1,PAGE5,MAGEA4,PRDM14
Ambiguous,0.47299708544559266,0.04114387386858243,0.3823895229717731,0.849618677264951,0.3130958114902582,0.4490610914695605,0.18825325046860472,0.04369169241967598,0.06930464120874717,0.602958097189025,0.9408828254501704,1.329690870624781
Early somatic,0.061685722454286517,0.0,0.10273446497102648,0.5614261938178493,0.03707406701733494,0.12899108127091938,0.09022472629742863,0.10387152169593113,0.01086781143985019,0.26660957299130045,0.2491719913934761,1.7157272213788672
Immune,0.04171986197026928,0.048076810690676944,0.2416678273295148,1.1523394379673029,0.665813186913018,0.579036722310983,0.05865626346710632,0.0,0.08436343951316286,0.7664094028212719,0.13381561985362608,0.04720654761968527
Meiotic germ cells,1.2826779202960545,0.888793741154838,3.898179587191325,4.692545737169877,5.8466344730244435,6.120631279578229,3.1852884011065554,3.7196129146729837,0.457187903629561,4.047018230745461,1.5946704491205568,0.17280738707808455
Mixed,0.13508702697369335,0.10687857631727975,0.46044484672164193,0.7604751228083687,1.051460056565379,1.1219488073667334,0.20560428338676268,0.23499633838926812,0.1152228513968196,1.0711887834078566,0.11293015407317641,0.09630942494116859
Oocytes,0.22092822504072945,0.22337663588043685,2.1275273932992125,4.170259161004021,1.711162256561691,2.5751904261549647,2.3048784804349465,0.3124843397250323,0.10016576280175675,2.389283075636413,0.3932904264387305,0.20564815702353367
PGC,0.32234408414296783,0.03135295363822562,0.10300989979276001,0.32693414436351287,0.022367100267935466,0.0677970237874402,0.05507147022099507,0.0,0.0,0.46500830860441034,0.9661664904855284,2.0992547023352617
Proliferating,0.32057257934312106,0.058809807673216086,0.08253302091912125,0.5067239283749021,0.09486360364388952,0.10747152549725857,0.11140756223441732,0.006129480199837748,0.061343190566726574,0.4616117894131998,0.7551324628799498,1.451473393277975
RA–responsive germ cells,1.117644000916979,0.4133453415000736,2.6407172489513444,2.997957555260981,1.5504331483134732,1.201032788487556,1.9723694442272768,0.7099355275512689,0.08824008444356601,2.036846335224171,0.8022602042612007,0.7099077711234915
Ribosomal,0.0,0.0,0.0,0.0,0.0,0.07606752026045119,0.0,0.0,0.0,0.0,0.1802418509096477,0.08676837425960623
Stromal,0.031102431884851164,0.05967794039972972,0.20161747697796972,0.22184604538997682,0.47450738338365384,0.3922273022929066,0.0811932415570893,0.09598939986924254,0.006859196998298224,0.24974613054001826,0.12816345498040668,0.08676502817045414
