celltype_leiden_res_1.0,CTAG2,CTCFL,SPO11,SYCP1,HORMAD2,PRDM14
Cycling,0.09154929577464789,0.19014084507042253,0.1267605633802817,0.028169014084507043,0.02112676056338028,0.4154929577464789
Erythroid,0.021739130434782608,0.07608695652173914,0.021739130434782608,0.010869565217391304,0.0,0.10869565217391304
Erythroid (primitive),0.0,0.025,0.0,0.0,0.0,0.775
Fibroblast,0.014492753623188406,0.014492753623188406,0.057971014492753624,0.014492753623188406,0.0,0.0
Immune,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.01694915254237288
Mesenchymal,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.0,0.0,0.02631578947368421
Mixed,0.22988505747126436,0.41379310344827586,0.2988505747126437,0.14942528735632185,0.09195402298850575,0.09195402298850575
PGC,0.039735099337748346,0.11258278145695365,0.09271523178807947,0.026490066225165563,0.026490066225165563,0.5695364238410596
PGC (early),0.0,0.1864406779661017,0.0,0.0,0.0,0.4915254237288136
PGC (late),0.4,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.03333333333333333,0.06666666666666667
Prospermatogonia,0.43722943722943725,0.7489177489177489,0.7922077922077922,0.43722943722943725,0.10822510822510822,0.13852813852813853
Sertoli,0.055248618784530384,0.022099447513812154,0.03867403314917127,0.04419889502762431,0.011049723756906077,0.027624309392265192
