celltype_leiden_res_1.0,gene,expression
Immune,CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid,CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
Immune,CTAG2,0.0
Mesenchymal,CTAG2,0.0
Erythroid (primitive),CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
Cycling,CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
Cycling,CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
Mixed,CTAG2,0.9631743177730056
Cycling,CTAG2,0.0
Cycling,CTAG2,0.0
PGC (early),CTAG2,0.0
Erythroid,CTAG2,0.0
PGC (early),CTAG2,0.0
Cycling,CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
Cycling,CTAG2,0.0
Cycling,CTAG2,0.0
PGC,CTAG2,0.0
Cycling,CTAG2,0.0
PGC,CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
PGC (early),CTAG2,0.0
