group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL34,7.156507,0.5217857,8.275873948248394e-13,3.973979269780201e-12
0,RPL26,6.0423675,0.3976382,1.518689244822249e-09,5.6105209987017864e-09
0,RPS7,5.218891,-0.1439072,1.799976883584457e-07,5.671454342280563e-07
0,RPS18,4.4202743,-0.20534524,9.857562093975022e-06,2.7312726737618454e-05
0,RPS4X,3.3667402,-0.70700794,0.0007606227363329998,0.0018025097096898504
0,RPS6,3.3370426,-0.7904929,0.0008467500175594271,0.001999471212308379
0,CALM2,2.822907,-1.3010163,0.004759036181567542,0.010408788358387542
0,TMSB4X,2.797375,-0.0049844705,0.005151969722432143,0.01121557959147647
0,RPL7,2.6255038,-0.6235034,0.008652083980779919,0.018396488316629673
0,RPL27,2.6234882,-1.1152518,0.008703447958305448,0.01849313888813331
1,POU5F1,16.180752,6.3166013,6.894843605623506e-59,1.5107291824281663e-54
1,SOX15,16.015402,5.6782823,9.976135948628921e-58,1.0929355738520415e-53
1,NANOG,15.9489565,5.9867387,2.896985240255106e-57,2.115861453307654e-53
1,ACTG2,15.858766,6.7696347,1.222740142793644e-56,6.697864817187884e-53
1,TCL1A,15.822275,5.988161,2.1845378024002084e-56,9.573081557678193e-53
1,SLC43A1,15.527848,5.603487,2.247980294503355e-54,8.209249372143835e-51
1,NANOS3,15.333306,6.345914,4.580673073688625e-53,1.4338161102513067e-49
1,DPPA4,15.269693,5.4959803,1.2174457920176877e-52,3.3344318436124447e-49
1,ETV4,15.068289,5.3667884,2.6180631738462096e-51,5.889746301759878e-48
1,TXN,15.066546,3.4949415,2.6880317200309786e-51,5.889746301759878e-48
10,COL3A1,19.550884,7.552945,4.0543978469485356e-85,6.734730822971814e-81
10,ISYNA1,19.529638,5.9314036,6.147351396989469e-85,6.734730822971814e-81
10,GATM,19.234406,6.843356,1.9071629370333213e-82,1.3929282371112368e-78
10,MALAT1,18.980612,3.4210467,2.4670856987234988e-80,1.3514078686182647e-76
10,CRYM,18.866156,6.409683,2.1648880024314993e-79,7.963271977056808e-76
10,RNASE1,18.865772,7.294006,2.1806230597572384e-79,7.963271977056808e-76
10,CAV1,18.732367,7.9652658,2.69653676778193e-78,8.440545302695695e-75
10,PRKAR2B,18.36785,6.160945,2.376454803019572e-75,6.508812648620231e-72
10,SERINC5,18.335886,4.85609,4.279911266859361e-75,1.0419681752017275e-71
10,CADM1,18.248991,6.4385943,2.1076842947849036e-74,4.618147058303203e-71
11,SYCP2,16.324509,7.580673,6.607086237790465e-60,7.555978193913195e-56
11,PSMA8,16.303936,8.114418,9.253700518130032e-60,7.555978193913195e-56
11,SYCP3,16.29712,6.240836,1.03454587110308e-59,7.555978193913195e-56
11,TEX30,16.261427,5.671586,1.8537073349161263e-59,1.0154145353836811e-55
11,C5orf47,16.244324,8.003479,2.4502738542670113e-59,1.0737590084168896e-55
