group,names,scores,logfoldchanges,pvals,pvals_adj
0,ARHGDIB,12.943044,10.41316,2.572334900859457e-38,1.9372074738641235e-34
0,LAPTM5,12.941082,11.083018,2.638866445989018e-38,1.9372074738641235e-34
0,ITGB2,12.94069,10.501301,2.652376624340455e-38,1.9372074738641235e-34
0,B2M,12.837123,7.5751576,1.0157923516251044e-37,5.077851697404591e-34
0,FCER1G,12.826923,9.385399,1.1587448535905687e-37,5.077851697404591e-34
0,CD74,12.717473,9.787821,4.729085303138712e-37,1.726983134617872e-33
0,PTPRC,12.643132,10.621193,1.2209082705951535e-36,3.8216173024300586e-33
0,ACTB,12.560946,2.5604527,3.461666714788764e-36,8.79036138899022e-33
0,CTSS,12.557612,9.461126,3.6106637077683344e-36,8.79036138899022e-33
0,TMSB4X,12.544078,4.3695717,4.283724161451701e-36,9.386068010156822e-33
1,HBE1,10.448514,7.89854,1.488391405068994e-25,3.261214407646673e-21
1,HBZ,10.342921,7.325751,4.505905832130007e-25,4.93644513439003e-21
1,TXN,10.212524,3.3359897,1.742713860939819e-24,1.2728201135684125e-20
1,RPS14,10.066536,2.1097782,7.766510260342258e-24,4.2543001578589806e-20
1,SNRPD2,9.856768,1.8043816,6.407906994472941e-23,2.808073003117932e-19
1,SLIRP,9.617234,1.9774418,6.762485753149699e-22,2.469547088954384e-18
1,PSMB6,9.563848,2.7280214,1.1345863930469117e-21,3.4975945157521165e-18
1,RBM8A,9.543296,2.0034866,1.383638238284901e-21,3.4975945157521165e-18
1,TCL1A,9.523453,5.995672,1.6751873527541322e-21,3.4975945157521165e-18
1,CRIP1,9.51046,5.493755,1.8982074730210485e-21,3.4975945157521165e-18
2,HBG2,8.317927,5.3863993,8.951481707945213e-17,1.442175850755791e-14
2,HBA2,7.556896,4.387121,4.128006485878582e-14,2.4278725529734426e-12
2,HBG1,7.509063,4.69986,5.95521323856675e-14,3.3372040222566764e-12
2,HBM,7.005376,3.7169907,2.4632331499574353e-12,7.995837266476647e-11
2,HBB,6.9436707,4.2028775,3.820401066520034e-12,1.1435629476573836e-10
2,HBA1,5.996408,3.5488489,2.017297879152492e-09,2.566841685836832e-08
2,AHSP,4.7925982,2.886064,1.6463516140229557e-06,9.480475746348748e-06
2,BIN3-IT1,4.699004,1.7322742,2.61433393708924e-06,1.4352961888138895e-05
2,CRABP1,3.4942374,2.0474122,0.00047541798415719216,0.0016058090721239769
2,GYPB,3.4774957,4.178165,0.0005061211396107378,0.001702167350730756
3,TSHZ2,9.8158045,9.11856,9.626713307209865e-23,2.1093091527427535e-18
3,C7,9.657923,8.703175,4.549976429553273e-22,4.9847266773970885e-18
3,COL3A1,9.600775,8.854227,7.934561498983699e-22,5.795139233474394e-18
3,CALD1,9.560578,5.894947,1.1710090231619264e-21,5.918260192732889e-18
3,NR2F2,9.545807,8.174252,1.3505226125537148e-21,5.918260192732889e-18
3,DCN,9.523045,9.068746,1.681780358359553e-21,6.141581572002694e-18
3,POSTN,9.145048,7.489152,5.960335746395908e-20,1.8656702362754395e-16
3,DLK1,9.105335,6.3785787,8.600029010812224e-20,2.3554404456988334e-16
3,HSPB6,8.78376,7.151508,1.5809909915046801e-18,3.849010401651005e-15
3,MATN2,8.751311,6.805345,2.1088704315282394e-18,4.620746002521525e-15
4,POU5F1,19.51312,6.074866,8.493697352309055e-85,1.8610540268644373e-80
4,PQLC3,19.406923,4.891165,6.74456919328266e-84,7.389012779700819e-80
4,NDUFAB1,19.153553,2.9462945,9.040364857792321e-82,6.602781146636251e-78
4,FAM162B,18.962313,4.858048,3.494373978386664e-80,1.9141307060107547e-76
4,NANOG,18.484873,5.625281,2.7334343055387592e-76,1.0002453073304765e-72
4,NANOS3,18.484762,5.785417,2.7390223376308062e-76,1.0002453073304765e-72
4,MKRN1,18.333511,3.6314108,4.470933670260902e-75,1.3994661092726662e-71
