gene,fraction_expressing,mean_expression
MAGEA4,0.0030963746613340212,-0.018488334165431913
MAGEB2,0.018836279189781962,-0.010201503981744115
CTAG2,0.00793446006966843,-0.01698022691490488
SYCP1,0.016126951361114694,-0.013982737393659968
BRDT,0.023545348987227453,-0.005944741738478442
SPANXN2,0.00045155463811121145,-0.015120629652376302
PAGE5,0.01374016255966972,-0.013413124983952548
PAGE1,0.00045155463811121145,-0.013887486466371767
PAGE2,0.016772029415559282,-0.011188625732210196
PAGE2B,0.029931621726228874,-0.005412090879093253
PAGE4,0.012450006450780544,-0.013365879436970901
IL13RA2,0.21345632821571411,-2.2001065228025294e-16
CTCFL,0.0190943104115598,-0.006959123703298345
LUZP4,0.029931621726228874,-0.0012929354366683452
SPO11,0.009805186427557734,-0.016000422007371867
FMR1NB,0.0013546639143336343,-0.01718001164570332
TDRD1,0.03109276222422913,-0.0041942685605727914
TEX15,0.032963488582118436,-0.005845735317809441
TPTE,0.02322280996000516,-0.007346402838357576
HORMAD1,0.02748032511933944,-0.007283270276195689
CT47B1,0.004257515159334279,-0.020485739303449553
RBM46,0.04128499548445362,-9.189171427811038e-06
PBK,0.049993549219455556,-0.0004962722090505146
CABYR,0.047800283834343954,-0.00482978765136785
PLAC1,0.04186556573345375,-5.389083456811483e-05
LY6K,0.0888917559024642,-0.00020581923226549632
DPPA2,0.006063733711779125,-0.017718460060158616
FAM133A,0.03876919107211973,-0.00033751651288544386
MAEL,0.040962456457231324,-0.0005254004876490197
PRAME,0.0425751515933428,-2.011966610866594e-05
TEX101,0.008386014707779641,-0.018061010615658585
NR6A1,0.08166688169268481,-2.6641235092830722e-05
TMPRSS12,0.001741710747000387,-0.017613432347726655
DMRT1,0.02799638756289511,-0.002391728649148837
