celltype_leiden_res_1.0,MAGEB2,GAGE1,CTAG2,BRDT,PAGE1,PAGE2,PAGE2B,PAGE4,IL13RA2,FATE1,HORMAD2,PIWIL2,PBK,PLAC1,ARX,NOL4,PRAME,GAGE12H
Cycling,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.001336898395721925,0.001336898395721925,0.006016042780748663,0.29745989304812837,0.0,0.011363636363636364,0.34024064171123,0.2192513368983957,0.07887700534759358,0.0006684491978609625,0.05949197860962567,0.0
Endothelial,0.0055248618784530384,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0055248618784530384,0.0,0.03314917127071823,0.027624309392265192,0.0,0.0055248618784530384,0.022099447513812154,0.011049723756906077,0.0,0.0055248618784530384,0.0,0.0
Epithelial,0.0,0.0,0.003961376578360981,0.0002475860361475613,0.0,0.0004951720722951226,0.0009903441445902451,0.0017331022530329288,0.15696954691755385,0.0014855162168853676,0.0002475860361475613,0.010893785590492696,0.02079722703639515,0.011141371626640258,0.04407031443426591,0.0019806882891804903,0.0007427581084426838,0.0
Fibroblast,0.0,0.0,0.014817491868449585,0.0,0.0,0.0,0.0010842067220816769,0.0007228044813877846,0.0,0.042645464401879295,0.0,0.008673653776653415,0.0068666425731839535,0.2771955186122154,0.245030719190459,0.0007228044813877846,0.009035056017347307,0.0
Immune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.011904761904761904,0.0
Leydig,0.009376126938333935,0.006130544536602957,0.011900468806346917,0.007933645870897944,0.0032455824017309774,0.003966822935448972,0.009736747205192933,0.03137396321673278,0.3598990263252795,0.01983411467724486,0.0003606202668589975,0.0421925712225027,0.00721240533717995,0.04507753335737468,0.04615939415795168,0.0018031013342949874,0.021997836278398845,0.00144248106743599
Mesenchymal,0.0009140767824497258,0.0,0.0018281535648994515,0.0,0.0,0.0009140767824497258,0.0,0.0018281535648994515,0.1809872029250457,0.004570383912248629,0.0,0.010054844606946984,0.24314442413162707,0.012797074954296161,0.06946983546617916,0.0,0.003656307129798903,0.0
Mixed,0.00040192926045016077,0.00040192926045016077,0.001607717041800643,0.0,0.0,0.0,0.0012057877813504824,0.0,0.0040192926045016075,0.3307877813504823,0.0,0.012459807073954984,0.01045016077170418,0.04903536977491962,0.003215434083601286,0.0008038585209003215,0.11254019292604502,0.0
Sertoli,0.0012207527975584944,0.0,0.009155645981688708,0.0002034587995930824,0.0,0.0002034587995930824,0.0022380467955239063,0.0006103763987792472,0.0022380467955239063,0.5881993896236012,0.001017293997965412,0.010579857578840285,0.008341810783316379,0.20773143438453714,0.004476093591047813,0.0004069175991861648,0.14933875890132248,0.0
Unknown,0.0,0.0,0.014336917562724014,0.0035842293906810036,0.0,0.0,0.0,0.0035842293906810036,0.035842293906810034,0.0035842293906810036,0.0035842293906810036,0.035842293906810034,0.007168458781362007,0.014336917562724014,0.0035842293906810036,0.0,0.0,0.0
