gene,fraction_expressing,mean_expression
MAGEB2,0.0017399085305229668,-0.022489724908197672
GAGE1,0.0008948101014118115,-0.01786891903099431
CTAG2,0.0078047325512030225,-0.01593038865866854
BRDT,0.001242791807516405,-0.017917112837036724
PAGE1,0.00044740505070590573,-0.013076340607346318
PAGE2,0.0007456750845098429,-0.017761748055477224
PAGE2B,0.002535295287333466,-0.02213776624184848
PAGE4,0.005170013919268244,-0.01536437290063659
IL13RA2,0.09325909723603101,6.781875386057827e-17
FATE1,0.21624577450785445,1.130312564342971e-17
HORMAD2,0.00039769337840524953,-0.013883379981787427
PIWIL2,0.015261483396301451,-0.008413184646755183
PBK,0.04831974547623782,-5.103565524534849e-05
PLAC1,0.12069994034599324,3.3909376930289135e-17
ARX,0.06010141181149334,-8.970228150468155e-06
NOL4,0.0010439451183137801,-0.01679453107879536
PRAME,0.05950487174388546,2.825781410857428e-17
GAGE12H,0.00019884668920262477,-0.010978809529006895
