celltype_leiden_res_1.0,MAGEB2,GAGE1,CTAG2,BRDT,PAGE1,PAGE2,PAGE2B,PAGE4,IL13RA2,FATE1,HORMAD2,PIWIL2,PBK,PLAC1,ARX,NOL4,PRAME,GAGE12H
Cycling,-0.03981622652770458,-0.026841037638535507,-0.02577272630176033,-0.030078278980904358,-0.017558246774268912,-0.02520182974292976,-0.037523105783036,-0.05082242273735561,-0.26229804323770817,0.02613447475419029,-0.017867419454782752,-0.03904823149053844,1.5585248870839912,0.1468463652596511,0.04083960630923319,-0.020445011107630678,-0.040941123079789726,-0.012969855433845599
Endothelial,0.015652371408912572,-0.026841037638535507,-0.03575316229070539,-0.03007827898090436,-0.017558246774268912,-0.02520182974292976,0.009411797924464314,-0.06427733896591968,-0.21205168447717992,-0.43002171238255693,-0.017867419454782752,-0.056337527476885044,-0.1390388382313501,-0.3244079272423087,-0.228122311942015,0.02825095588956636,-0.2379697958200826,-0.012969855433845599
Epithelial,-0.03981622652770458,-0.026841037638535507,-0.05329709205248878,-0.02759497165756172,-0.017558246774268912,-0.020414243810864735,-0.03883962115061423,-0.05091825287564288,0.10401744068398756,-0.48745254200289717,-0.015387135369748143,-0.05395803131547847,-0.15580040763696174,-0.32940649381937137,-0.14511764221718942,-0.007858118084510448,-0.23714103110631563,-0.012969855433845599
Fibroblast,-0.03981622652770458,-0.026841037638535507,0.0498024218177127,-0.03007827898090436,-0.017558246774268912,-0.02520182974292976,-0.03519942996256936,-0.05700283420338559,-0.27587588979483313,-0.4176457074824688,-0.017867419454782752,-0.04045572189270533,-0.1705576325081507,0.5666089305239429,0.878733907771009,-0.019899982654154456,-0.21240994453497497,-0.012969855433845599
Immune,-0.03981622652770458,-0.026841037638535507,-0.08050749122259322,-0.030078278980904358,-0.017558246774268912,-0.025201829742929765,-0.04609146986484422,-0.06427733896591968,-0.27587588979483313,-0.46977686831866533,-0.017867419454782752,-0.11220606929620106,-0.16202955982356737,-0.3464171676807529,-0.22812231194201496,-0.027147649911047154,-0.22130760354235504,-0.012969855433845597
Leydig,0.05328927657824257,0.034628957904145746,0.004886262290033304,0.04729055772418885,0.014954563979776677,0.014566370807799494,0.048909798086081285,0.23757432904203452,0.9648159396361836,-0.46084058660153265,-0.014254773432620911,0.15702723899746054,-0.17855379264453672,-0.2313262497228887,-0.09841093000815096,-0.009067686604319699,-0.13004631564453298,0.0014736640114250037
Mesenchymal,-0.030639063614973587,-0.026841037638535507,-0.0680331165039605,-0.030078278980904354,-0.017558246774268912,-0.01603802551098924,-0.04609146986484422,-0.05133270006927298,0.14757982972850467,-0.48155761984656886,-0.017867419454782752,-0.0667910971289732,0.48589537810636163,-0.3170375176106346,0.07099474811205528,-0.027147649911047154,-0.22312036051767145,-0.012969855433845599
Mixed,-0.035780930616720774,-0.022810956835626128,-0.06445207101622077,-0.030078278980904354,-0.017558246774268912,-0.02520182974292976,-0.03397801552015188,-0.06427733896591968,-0.26601935446218655,0.20368869661838104,-0.017867419454782752,-0.007942637132142497,-0.15198518749671897,-0.18550827661999802,-0.21810661618660354,-0.019087241832340524,0.23908718320737724,-0.012969855433845599
Sertoli,-0.027560092782197718,-0.026841037638535507,0.00455950882536222,-0.028037571294438256,-0.017558246774268912,-0.02316211421297189,-0.024528284128423148,-0.05813434160744607,-0.268819916950367,0.9432571030738595,-0.00767630305655815,-0.026276463643687128,-0.16292610159494567,0.2378897501807511,-0.21293579250067893,-0.023067427062660156,0.35497823030264786,-0.012969855433845599
Unknown,-0.03981622652770458,-0.026841037638535507,0.027323640753736122,0.005871822377450139,-0.017558246774268912,-0.02520182974292976,-0.04609146986484422,-0.0344213344763257,-0.2028886815939882,-0.4856869305911086,0.01803891538197274,0.09039222750564782,-0.17961102830270295,-0.3174772863653683,-0.2211351745755988,-0.027147649911047154,-0.23796979582008262,-0.012969855433845599
