celltype_leiden_res_1.0,MAGEA4,MAGEB2,GAGE2A,CTAG2,PAGE5,PAGE2,PAGE2B,PAGE4,IL13RA2,TEX15,FATE1,HORMAD2,ARMC3,PLAC1,LY6K,ARX,PRAME
Cycling,0.0,0.0,0.0,0.007096392667060911,0.0,0.0,0.0,0.010053222945002957,0.04849201655824956,0.05736250739207569,0.028385570668243643,0.002365464222353637,0.0011827321111768185,0.18982850384387936,0.01478415138971023,0.21407451212300413,0.004730928444707274
Endothelial,0.0,0.0,0.0,0.008048289738430584,0.0,0.002012072434607646,0.0,0.002012072434607646,0.006036217303822937,0.0,0.012072434607645875,0.0,0.0,0.004024144869215292,0.002012072434607646,0.002012072434607646,0.004024144869215292
Epithelial,0.000444247001332741,0.000888494002665482,0.000444247001332741,0.0013327410039982231,0.000444247001332741,0.0013327410039982231,0.003109729009329187,0.001776988005330964,0.15948467347845402,0.00444247001332741,0.010661928031985785,0.000444247001332741,0.027099067081297203,0.01288316303864949,0.05153265215459796,0.019102621057307864,0.00888494002665482
Fibroblast,0.000170590242238144,0.0,0.0,0.008358921869669056,0.0,0.0,0.000170590242238144,0.016035482770385533,0.0017059024223814397,0.03565336062777209,0.006141248720573183,0.0,0.000170590242238144,0.33810986011600136,0.0020470829068577278,0.2161378369157284,0.001194131695667008
Immune,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761
Leydig,0.0,0.00047588832487309646,0.0,0.00047588832487309646,0.0,0.00015862944162436547,0.0,0.03934010152284264,0.16830583756345177,0.006345177664974619,0.007931472081218274,0.0,0.00015862944162436547,0.024746192893401017,0.06138959390862944,0.039498730964467,0.0007931472081218274
Mixed,0.0003092464694361406,0.00010308215647871353,0.0,0.004329450572105969,0.00010308215647871353,0.0003092464694361406,0.0004123286259148541,0.007318833109988661,0.02628594990207195,0.015153077002370889,0.11050407174518091,0.0003092464694361406,0.0011339037212658488,0.09081537985774663,0.00907122977012679,0.05916915781878157,0.009483558396041645
Neural,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0
PGC,0.16869095816464239,0.30364372469635625,0.02834008097165992,0.09581646423751687,0.09446693657219973,0.08097165991902834,0.15519568151147098,0.009446693657219974,0.017543859649122806,0.13225371120107962,0.014844804318488529,0.005398110661268556,0.006747638326585695,0.024291497975708502,0.12685560053981107,0.012145748987854251,0.6126855600539811
Perivascular,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.010256410256410256,0.0,0.0,0.05641025641025641,0.0,0.041025641025641026,0.005128205128205128
Sertoli,0.0005678591709256105,0.0,0.0,0.001135718341851221,0.0,0.0,0.0017035775127768314,0.0028392958546280523,0.004542873367404884,0.1249290176036343,0.7563884156729132,0.001135718341851221,0.0,0.13287904599659284,0.0028392958546280523,0.009653605905735378,0.3180011357183419
