gene,fraction_expressing,mean_expression
MAGEA4,0.004487992051800335,-0.017518253347088886
MAGEB2,0.00791394018294563,-0.016259539927268488
GAGE2A,0.0007537085888519648,-0.017244073714557974
CTAG2,0.006440782486553154,-0.017751909837554994
PAGE5,0.002466682654424612,-0.020022929268934106
PAGE2,0.0023639042104902533,-0.020472283478768387
PAGE2B,0.004487992051800335,-0.019855643122904106
PAGE4,0.015313988146219466,-0.0073870914655387344
IL13RA2,0.06135873102881222,-0.0001455285462109175
TEX15,0.028195553119325773,-0.0010537831945994945
FATE1,0.0884579807461715,2.823767766904369e-17
HORMAD2,0.0004796327383603412,-0.01341460170632818
ARMC3,0.0027750179862276883,-0.021496163656645684
PLAC1,0.12453321456713146,5.258050324580549e-17
LY6K,0.024975161876049198,-0.004882144501570125
ARX,0.08674500668059885,4.1869659992030295e-17
PRAME,0.039398403508170886,-0.0003289376253174469
