celltype_leiden_res_1.0,MAGEA4,MAGEB2,GAGE2A,CTAG2,PAGE5,PAGE2,PAGE2B,PAGE4,IL13RA2,TEX15,FATE1,HORMAD2,ARMC3,PLAC1,LY6K,ARX,PRAME
Cycling,0.0,0.0,0.0,0.008726543,0.0,0.0,0.0,0.011863582,0.054867484,0.048374735,0.027258605,0.0016133175,0.00077947223,0.20144434,0.014205611,0.20972578,0.0038783108
Endothelial,0.0,0.0,0.0,0.014821452,0.0,0.0024537232,0.0,0.0011002404,0.0062851612,0.0,0.012848996,0.0,0.0,0.0022809536,0.001486818,0.002096805,0.0041092015
Epithelial,0.00018773203,0.0006314926,0.00031602985,0.0018481911,0.00025480735,0.0010810193,0.0015548123,0.001031239,0.16127676,0.003354065,0.009927898,0.0003291666,0.026668206,0.010708882,0.051637545,0.013002334,0.005810924
Fibroblast,0.00014415193,0.0,0.0,0.012168943,0.0,0.0,0.00015848652,0.025612488,0.0022704385,0.043602407,0.0067777513,0.0,0.00020723547,0.4686203,0.0022801303,0.2750269,0.0014726318
Immune,0.0,0.0,0.0,0.0,0.0,0.0063223187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008399139,0.0046726936,0.0031735112,0.004934736
Leydig,0.0,0.000491594,0.0,0.00033211138,0.0,0.00011905209,0.0,0.044349637,0.2371726,0.005965199,0.0073555443,0.0,8.9638444e-05,0.020548547,0.07193837,0.03606452,0.0005807636
Mixed,0.00027877087,9.081179e-05,0.0,0.0063364278,9.081179e-05,0.00027414638,0.00044460208,0.009396566,0.03451039,0.013319402,0.12918164,0.00025352064,0.0010279096,0.10694258,0.009557924,0.05890561,0.008999141
Neural,0.0,0.0,0.0,0.0,0.0,0.0,0.034554183,0.0,0.0,0.0,0.025319256,0.0,0.0,0.0,0.0,0.009602965,0.0
PGC,0.13700685,0.24506629,0.028858261,0.082196005,0.08145234,0.07166612,0.1371433,0.004448101,0.01001052,0.13927545,0.0070433402,0.005852007,0.0030102772,0.0122189745,0.091643766,0.006003328,0.7216281
Perivascular,0.0,0.0,0.0,0.010662596,0.0,0.0,0.0,0.0,0.0,0.013384093,0.007240244,0.0,0.0,0.05387501,0.0,0.048177354,0.0050202976
Sertoli,0.00041433575,0.0,0.0,0.0012891947,0.0,0.0,0.001448597,0.0023967375,0.0046621608,0.1405178,1.4470812,0.0012371379,0.0,0.15685908,0.002896251,0.008576985,0.38477653
