sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G1_1_Ovary,Interstitial progenitor cell,CTCFL,196,0,0.0,-0.033136968275914516
G1_1_Ovary,Mesenchymal cell,CTCFL,132,0,0.0,-0.03313696827591452
G1_1_Ovary,Purkinje cell,CTCFL,43,0,0.0,-0.03313696827591454
G1_1_Ovary,Chromaffin cell,CTCFL,273,0,0.0,-0.03313696827591452
G1_1_Ovary,Epithelial progenitor cell,CTCFL,147,0,0.0,-0.03313696827591452
G1_1_Ovary,Lymphoid progenitor cell,CTCFL,289,1,0.0034602076124567475,0.0015797686385349858
G1_1_Ovary,Granulosa cell,CTCFL,207,0,0.0,-0.033136968275914516
G1_1_Ovary,Stromal cell,CTCFL,184,0,0.0,-0.03313696827591452
G1_1_Ovary,Cycling cell,CTCFL,68,0,0.0,-0.03313696827591452
G1_1_Ovary,Endothelial cell,CTCFL,28,0,0.0,-0.03313696827591452
G1_1_Ovary,Embryonic stem cell,CTCFL,6,0,0.0,-0.03313696827591453
G1_1_Ovary,Interstitial cell,CTCFL,140,1,0.007142857142857143,0.038528295783199114
G1_1_Ovary,Retinal ganglion cell,CTCFL,32,0,0.0,-0.03313696827591453
G1_1_Ovary,Immune cell,CTCFL,15,0,0.0,-0.033136968275914516
G1_1_Ovary,Interstitial progenitor cell,HSPB9,196,0,0.0,-0.06790198664630484
G1_1_Ovary,Mesenchymal cell,HSPB9,132,1,0.007575757575757576,0.008369998101015639
G1_1_Ovary,Purkinje cell,HSPB9,43,0,0.0,-0.06790198664630481
G1_1_Ovary,Chromaffin cell,HSPB9,273,1,0.003663003663003663,-0.03205447588286508
G1_1_Ovary,Epithelial progenitor cell,HSPB9,147,1,0.006802721088435374,-0.01280862314407709
G1_1_Ovary,Lymphoid progenitor cell,HSPB9,289,4,0.01384083044982699,0.05854845640608667
G1_1_Ovary,Granulosa cell,HSPB9,207,1,0.004830917874396135,-0.02918091541862949
G1_1_Ovary,Stromal cell,HSPB9,184,1,0.005434782608695652,-0.014561302174067517
G1_1_Ovary,Cycling cell,HSPB9,68,0,0.0,-0.06790198664630484
G1_1_Ovary,Endothelial cell,HSPB9,28,1,0.03571428571428571,0.291665941448206
G1_1_Ovary,Embryonic stem cell,HSPB9,6,0,0.0,-0.06790198664630483
G1_1_Ovary,Interstitial cell,HSPB9,140,0,0.0,-0.06790198664630484
G1_1_Ovary,Retinal ganglion cell,HSPB9,32,0,0.0,-0.06790198664630483
G1_1_Ovary,Immune cell,HSPB9,15,0,0.0,-0.06790198664630484
G1_1_Ovary,Interstitial progenitor cell,PLAC1,196,44,0.22448979591836735,-0.1325394204180691
G1_1_Ovary,Mesenchymal cell,PLAC1,132,24,0.18181818181818182,-0.09454517176519613
G1_1_Ovary,Purkinje cell,PLAC1,43,25,0.5813953488372093,1.2361391317576318
G1_1_Ovary,Chromaffin cell,PLAC1,273,63,0.23076923076923078,-0.0046567741492934975
G1_1_Ovary,Epithelial progenitor cell,PLAC1,147,5,0.034013605442176874,-0.4594058372530141
G1_1_Ovary,Lymphoid progenitor cell,PLAC1,289,46,0.15916955017301038,-0.23314749504358145
G1_1_Ovary,Granulosa cell,PLAC1,207,101,0.48792270531400966,0.488026794007318
G1_1_Ovary,Stromal cell,PLAC1,184,79,0.42934782608695654,0.5213678890331963
G1_1_Ovary,Cycling cell,PLAC1,68,19,0.27941176470588236,-0.027149916946254585
G1_1_Ovary,Endothelial cell,PLAC1,28,0,0.0,-0.5210895194908146
G1_1_Ovary,Embryonic stem cell,PLAC1,6,0,0.0,-0.5210895194908146
G1_1_Ovary,Interstitial cell,PLAC1,140,15,0.10714285714285714,-0.2716845428371405
G1_1_Ovary,Retinal ganglion cell,PLAC1,32,4,0.125,-0.3140791012847954
G1_1_Ovary,Immune cell,PLAC1,15,0,0.0,-0.5210895194908146
G1_1_Ovary,Interstitial progenitor cell,RGS22,196,8,0.04081632653061224,0.2027357052495282
G1_1_Ovary,Mesenchymal cell,RGS22,132,0,0.0,-0.10276142870862556
G1_1_Ovary,Purkinje cell,RGS22,43,1,0.023255813953488372,0.13218651149390068
G1_1_Ovary,Chromaffin cell,RGS22,273,1,0.003663003663003663,-0.06627213526785167
G1_1_Ovary,Epithelial progenitor cell,RGS22,147,0,0.0,-0.10276142870862556
G1_1_Ovary,Lymphoid progenitor cell,RGS22,289,3,0.010380622837370242,-0.04695339916568593
G1_1_Ovary,Granulosa cell,RGS22,207,3,0.014492753623188406,-0.0032640866738053256
G1_1_Ovary,Stromal cell,RGS22,184,3,0.016304347826086956,0.017753003158737436
G1_1_Ovary,Cycling cell,RGS22,68,1,0.014705882352941176,-0.04900450078547675
G1_1_Ovary,Endothelial cell,RGS22,28,0,0.0,-0.10276142870862556
G1_1_Ovary,Embryonic stem cell,RGS22,6,0,0.0,-0.10276142870862558
G1_1_Ovary,Interstitial cell,RGS22,140,2,0.014285714285714285,0.04156373455864052
G1_1_Ovary,Retinal ganglion cell,RGS22,32,0,0.0,-0.10276142870862556
G1_1_Ovary,Immune cell,RGS22,15,0,0.0,-0.10276142870862558
G1_1_Ovary,Interstitial progenitor cell,TMEFF2,196,6,0.030612244897959183,-0.021992642927937883
G1_1_Ovary,Mesenchymal cell,TMEFF2,132,2,0.015151515151515152,-0.05169842426264449
G1_1_Ovary,Purkinje cell,TMEFF2,43,1,0.023255813953488372,-0.020479995616899324
G1_1_Ovary,Chromaffin cell,TMEFF2,273,13,0.047619047619047616,0.1525820736156561
G1_1_Ovary,Epithelial progenitor cell,TMEFF2,147,4,0.027210884353741496,-0.018345396641411132
