sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G3_1_Testis,Interstitial progenitor cell,ARX,437,53,0.12128146453089245,0.07414555124080988
G3_1_Testis,Sertoli cell,ARX,2014,6,0.0029791459781529296,-0.2833583466855945
G3_1_Testis,Interstitial cell,ARX,103,15,0.14563106796116504,0.32199339474517413
G3_1_Testis,Mitotic arrest phase fetal germ cell,ARX,257,1,0.0038910505836575876,-0.28270514409296565
G3_1_Testis,Leydig precursor cell,ARX,840,156,0.18571428571428572,0.38299265501942414
G3_1_Testis,Epithelial progenitor cell,ARX,104,13,0.125,0.19658608611669026
G3_1_Testis,Monocyte,ARX,27,0,0.0,-0.29218958971395115
G3_1_Testis,Proliferative cell,ARX,104,28,0.2692307692307692,0.41248421623763143
G3_1_Testis,Cardiomyocyte,ARX,465,115,0.24731182795698925,0.5893953575026569
G3_1_Testis,Endothelial cell,ARX,53,0,0.0,-0.2921895897139511
G3_1_Testis,Leydig cell,ARX,62,13,0.20967741935483872,0.16539293439353137
G3_1_Testis,Purkinje cell,ARX,208,1,0.004807692307692308,-0.2824459834365595
G3_1_Testis,Smooth muscle cell,ARX,39,0,0.0,-0.29218958971395115
G3_1_Testis,Natural killer cell,ARX,56,9,0.16071428571428573,0.034124778645669075
G3_1_Testis,Interstitial progenitor cell,BRDT,437,0,0.0,-0.02508826486555039
G3_1_Testis,Sertoli cell,BRDT,2014,1,0.0004965243296921549,-0.02011056463473333
G3_1_Testis,Interstitial cell,BRDT,103,0,0.0,-0.0250882648655504
G3_1_Testis,Mitotic arrest phase fetal germ cell,BRDT,257,0,0.0,-0.025088264865550387
G3_1_Testis,Leydig precursor cell,BRDT,840,0,0.0,-0.025088264865550387
G3_1_Testis,Epithelial progenitor cell,BRDT,104,0,0.0,-0.025088264865550384
G3_1_Testis,Monocyte,BRDT,27,0,0.0,-0.025088264865550387
G3_1_Testis,Proliferative cell,BRDT,104,4,0.038461538461538464,0.33862687735604413
G3_1_Testis,Cardiomyocyte,BRDT,465,0,0.0,-0.025088264865550384
G3_1_Testis,Endothelial cell,BRDT,53,0,0.0,-0.025088264865550384
G3_1_Testis,Leydig cell,BRDT,62,0,0.0,-0.025088264865550384
G3_1_Testis,Purkinje cell,BRDT,208,0,0.0,-0.025088264865550384
G3_1_Testis,Smooth muscle cell,BRDT,39,0,0.0,-0.025088264865550387
G3_1_Testis,Natural killer cell,BRDT,56,0,0.0,-0.025088264865550384
