sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G5_A_2_Ovary,Neural progenitor cell,ACTL8,300,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Zygote,ACTL8,186,1,0.005376344086021506,-0.10731335884614107
G5_A_2_Ovary,Blastomere,ACTL8,379,1,0.002638522427440633,-0.13194479416298935
G5_A_2_Ovary,Renal progenitor cell,ACTL8,45,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Mitotic fetal germ cell,ACTL8,325,1,0.003076923076923077,-0.1322147180442163
G5_A_2_Ovary,Secretory epithelial cell,ACTL8,597,4,0.006700167504187605,-0.12510481411528254
G5_A_2_Ovary,Ciliated epithelial cell,ACTL8,122,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Mesodermal progenitor cell,ACTL8,43,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Epithelial-mesenchymal transition cancer stem cell,ACTL8,492,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Lymphoid progenitor cell,ACTL8,113,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Plasmacytoid dendritic cell,ACTL8,58,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Germ cell,ACTL8,201,59,0.2935323383084577,1.5629974718462263
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ACTL8,57,7,0.12280701754385964,0.4095190391072626
G5_A_2_Ovary,Megakaryocyte,ACTL8,48,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Epithelial cell,ACTL8,40,1,0.025,0.11770398017400954
G5_A_2_Ovary,Cardiomyocyte,ACTL8,30,0,0.0,-0.1356882254625544
G5_A_2_Ovary,Neural progenitor cell,ADAM29,300,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Zygote,ADAM29,186,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Blastomere,ADAM29,379,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Renal progenitor cell,ADAM29,45,0,0.0,-0.023375004857370568
G5_A_2_Ovary,Mitotic fetal germ cell,ADAM29,325,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Secretory epithelial cell,ADAM29,597,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Ciliated epithelial cell,ADAM29,122,0,0.0,-0.02337500485737056
G5_A_2_Ovary,Mesodermal progenitor cell,ADAM29,43,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Epithelial-mesenchymal transition cancer stem cell,ADAM29,492,0,0.0,-0.02337500485737056
G5_A_2_Ovary,Lymphoid progenitor cell,ADAM29,113,0,0.0,-0.02337500485737056
G5_A_2_Ovary,Plasmacytoid dendritic cell,ADAM29,58,0,0.0,-0.023375004857370568
G5_A_2_Ovary,Germ cell,ADAM29,201,3,0.014925373134328358,0.11224347676244753
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ADAM29,57,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Megakaryocyte,ADAM29,48,0,0.0,-0.023375004857370565
G5_A_2_Ovary,Epithelial cell,ADAM29,40,0,0.0,-0.02337500485737056
G5_A_2_Ovary,Cardiomyocyte,ADAM29,30,0,0.0,-0.023375004857370554
G5_A_2_Ovary,Neural progenitor cell,ARMC3,300,0,0.0,-0.027823713834793148
G5_A_2_Ovary,Zygote,ARMC3,186,0,0.0,-0.027823713834793144
G5_A_2_Ovary,Blastomere,ARMC3,379,0,0.0,-0.027823713834793148
G5_A_2_Ovary,Renal progenitor cell,ARMC3,45,0,0.0,-0.02782371383479315
G5_A_2_Ovary,Mitotic fetal germ cell,ARMC3,325,0,0.0,-0.02782371383479314
G5_A_2_Ovary,Secretory epithelial cell,ARMC3,597,0,0.0,-0.027823713834793148
G5_A_2_Ovary,Ciliated epithelial cell,ARMC3,122,0,0.0,-0.027823713834793148
G5_A_2_Ovary,Mesodermal progenitor cell,ARMC3,43,0,0.0,-0.02782371383479315
G5_A_2_Ovary,Epithelial-mesenchymal transition cancer stem cell,ARMC3,492,0,0.0,-0.027823713834793148
G5_A_2_Ovary,Lymphoid progenitor cell,ARMC3,113,1,0.008849557522123894,0.06091808894250589
G5_A_2_Ovary,Plasmacytoid dendritic cell,ARMC3,58,0,0.0,-0.027823713834793148
G5_A_2_Ovary,Germ cell,ARMC3,201,3,0.014925373134328358,0.07751386457592774
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ARMC3,57,1,0.017543859649122806,0.05946982964412524
G5_A_2_Ovary,Megakaryocyte,ARMC3,48,0,0.0,-0.027823713834793148
G5_A_2_Ovary,Epithelial cell,ARMC3,40,0,0.0,-0.027823713834793144
G5_A_2_Ovary,Cardiomyocyte,ARMC3,30,0,0.0,-0.027823713834793134
G5_A_2_Ovary,Neural progenitor cell,ARX,300,46,0.15333333333333332,0.16486356303058167
G5_A_2_Ovary,Zygote,ARX,186,34,0.1827956989247312,0.6851195734935694
G5_A_2_Ovary,Blastomere,ARX,379,1,0.002638522427440633,-0.2643278322535242
G5_A_2_Ovary,Renal progenitor cell,ARX,45,6,0.13333333333333333,-0.015333053611148312
G5_A_2_Ovary,Mitotic fetal germ cell,ARX,325,9,0.027692307692307693,-0.2249062849294945
G5_A_2_Ovary,Secretory epithelial cell,ARX,597,34,0.05695142378559464,-0.17638825309592124
G5_A_2_Ovary,Ciliated epithelial cell,ARX,122,26,0.21311475409836064,0.4834303768099046
G5_A_2_Ovary,Mesodermal progenitor cell,ARX,43,1,0.023255813953488372,-0.20069365009437787
G5_A_2_Ovary,Epithelial-mesenchymal transition cancer stem cell,ARX,492,108,0.21951219512195122,0.25336554887262164
G5_A_2_Ovary,Lymphoid progenitor cell,ARX,113,1,0.008849557522123894,-0.24603789044940405
G5_A_2_Ovary,Plasmacytoid dendritic cell,ARX,58,2,0.034482758620689655,-0.19988040725274553
G5_A_2_Ovary,Germ cell,ARX,201,10,0.04975124378109453,-0.15091366754429647
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ARX,57,3,0.05263157894736842,-0.11159623149578636
G5_A_2_Ovary,Megakaryocyte,ARX,48,0,0.0,-0.26807484735366227
G5_A_2_Ovary,Epithelial cell,ARX,40,8,0.2,0.047579129364103294
G5_A_2_Ovary,Cardiomyocyte,ARX,30,4,0.13333333333333333,0.4633239265478141
G5_A_2_Ovary,Neural progenitor cell,BRDT,300,1,0.0033333333333333335,-0.1920257811101093
G5_A_2_Ovary,Zygote,BRDT,186,1,0.005376344086021506,-0.18068173497218357
G5_A_2_Ovary,Blastomere,BRDT,379,1,0.002638522427440633,-0.19336250131409133
G5_A_2_Ovary,Renal progenitor cell,BRDT,45,1,0.022222222222222223,-0.1598508098909952
G5_A_2_Ovary,Mitotic fetal germ cell,BRDT,325,1,0.003076923076923077,-0.19359153841976956
G5_A_2_Ovary,Secretory epithelial cell,BRDT,597,6,0.010050251256281407,-0.18570055896158322
G5_A_2_Ovary,Ciliated epithelial cell,BRDT,122,0,0.0,-0.196915494678296
G5_A_2_Ovary,Mesodermal progenitor cell,BRDT,43,0,0.0,-0.196915494678296
G5_A_2_Ovary,Epithelial-mesenchymal transition cancer stem cell,BRDT,492,0,0.0,-0.19691549467829597
G5_A_2_Ovary,Lymphoid progenitor cell,BRDT,113,1,0.008849557522123894,-0.18263083447432377
