sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G5_B_2_Ovary,Dark zone cell,ACTL8,462,1,0.0021645021645021645,-0.0957870526947161
G5_B_2_Ovary,Zygote,ACTL8,187,0,0.0,-0.1063454839020134
G5_B_2_Ovary,Secretory epithelial cell,ACTL8,469,1,0.0021321961620469083,-0.10233436032462852
G5_B_2_Ovary,Lymphoid progenitor cell,ACTL8,239,0,0.0,-0.1063454839020134
G5_B_2_Ovary,Perivascular cell,ACTL8,46,0,0.0,-0.10634548390201344
G5_B_2_Ovary,Columnar epithelial cell,ACTL8,399,1,0.002506265664160401,-0.09555418696638032
G5_B_2_Ovary,Endothelial cell,ACTL8,56,0,0.0,-0.10634548390201339
G5_B_2_Ovary,Renal cell,ACTL8,267,0,0.0,-0.10634548390201341
G5_B_2_Ovary,Germ cell,ACTL8,266,56,0.21052631578947367,1.0968573503029846
G5_B_2_Ovary,Theca cell,ACTL8,505,1,0.0019801980198019802,-0.1011423160803607
G5_B_2_Ovary,Epithelial-mesenchymal transition cancer stem cell,ACTL8,465,1,0.002150537634408602,-0.09980472497930176
G5_B_2_Ovary,Zona glomerulosa cell,ACTL8,198,0,0.0,-0.10634548390201339
G5_B_2_Ovary,Plasmacytoid dendritic cell,ACTL8,166,0,0.0,-0.10634548390201337
G5_B_2_Ovary,Cardiomyocyte,ACTL8,13,0,0.0,-0.10634548390201341
G5_B_2_Ovary,Proliferative cell,ACTL8,77,0,0.0,-0.1063454839020134
G5_B_2_Ovary,Epithelial progenitor cell,ACTL8,25,4,0.16,0.8185084527454368
G5_B_2_Ovary,Dark zone cell,ATAD2,462,92,0.19913419913419914,-0.23403005851996658
G5_B_2_Ovary,Zygote,ATAD2,187,43,0.22994652406417113,0.059269131407314324
G5_B_2_Ovary,Secretory epithelial cell,ATAD2,469,88,0.18763326226012794,-0.2055303696231287
G5_B_2_Ovary,Lymphoid progenitor cell,ATAD2,239,84,0.3514644351464435,0.2363549288149523
G5_B_2_Ovary,Perivascular cell,ATAD2,46,3,0.06521739130434782,-0.3363357108564522
G5_B_2_Ovary,Columnar epithelial cell,ATAD2,399,47,0.11779448621553884,-0.3380142810062545
G5_B_2_Ovary,Endothelial cell,ATAD2,56,3,0.05357142857142857,-0.42192116878142993
G5_B_2_Ovary,Renal cell,ATAD2,267,75,0.2808988764044944,-0.09664876829227984
G5_B_2_Ovary,Germ cell,ATAD2,266,174,0.6541353383458647,1.2933016549081302
G5_B_2_Ovary,Theca cell,ATAD2,505,123,0.24356435643564356,-0.01555791472911582
G5_B_2_Ovary,Epithelial-mesenchymal transition cancer stem cell,ATAD2,465,124,0.26666666666666666,-0.06272706966649823
G5_B_2_Ovary,Zona glomerulosa cell,ATAD2,198,32,0.16161616161616163,-0.2687396571231393
G5_B_2_Ovary,Plasmacytoid dendritic cell,ATAD2,166,30,0.18072289156626506,-0.11178629040874256
G5_B_2_Ovary,Cardiomyocyte,ATAD2,13,1,0.07692307692307693,-0.20025128048452553
G5_B_2_Ovary,Proliferative cell,ATAD2,77,54,0.7012987012987013,1.4905939008630626
G5_B_2_Ovary,Epithelial progenitor cell,ATAD2,25,1,0.04,-0.42733884152558743
G5_B_2_Ovary,Dark zone cell,BRDT,462,1,0.0021645021645021645,-0.15479125154753381
G5_B_2_Ovary,Zygote,BRDT,187,0,0.0,-0.16176106292775455
G5_B_2_Ovary,Secretory epithelial cell,BRDT,469,2,0.0042643923240938165,-0.14479123097666308
G5_B_2_Ovary,Lymphoid progenitor cell,BRDT,239,3,0.012552301255230125,-0.1309457694933119
G5_B_2_Ovary,Perivascular cell,BRDT,46,0,0.0,-0.16176106292775455
G5_B_2_Ovary,Columnar epithelial cell,BRDT,399,0,0.0,-0.16176106292775458
G5_B_2_Ovary,Endothelial cell,BRDT,56,1,0.017857142857142856,-0.13591756692227883
