sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G6_A_Mixed,Leydig cell,ARX,948,71,0.07489451476793249,-0.061039706868432346
G6_A_Mixed,Chromaffin cell,ARX,1109,224,0.20198376916140667,0.38716571223267116
G6_A_Mixed,Myoepithelial cell,ARX,1015,33,0.03251231527093596,-0.16864202824527486
G6_A_Mixed,Interstitial cell,ARX,1580,60,0.0379746835443038,-0.1102150127113177
G6_A_Mixed,Sertoli cell,ARX,941,6,0.006376195536663124,-0.25262196067163634
G6_A_Mixed,Epithelial progenitor cell,ARX,212,29,0.13679245283018868,0.24948576308688997
G6_A_Mixed,Proliferative cell,ARX,428,93,0.21728971962616822,0.4082724694323536
G6_A_Mixed,Lymphoid progenitor cell,ARX,643,35,0.05443234836702955,-0.1261650670016844
G6_A_Mixed,Syncytiotrophoblast,ARX,1386,36,0.025974025974025976,-0.1873253040636906
G6_A_Mixed,Immature Leydig cell,ARX,1041,315,0.3025936599423631,0.9116738719025993
G6_A_Mixed,Endothelial cell,ARX,241,0,0.0,-0.27075501584045475
G6_A_Mixed,Leydig precursor cell,ARX,373,172,0.46112600536193027,1.6731186475111932
G6_A_Mixed,Germinal center cell,ARX,308,11,0.03571428571428571,-0.18446211567240386
G6_A_Mixed,Columnar epithelial cell,ARX,1728,15,0.008680555555555556,-0.25252520312447213
G6_A_Mixed,Zona fasciculata cell,ARX,527,0,0.0,-0.2707550158404547
G6_A_Mixed,Hypoblast cell,ARX,311,5,0.01607717041800643,-0.2254239459123043
G6_A_Mixed,Pre-tubular aggregate cell,ARX,184,0,0.0,-0.2707550158404547
G6_A_Mixed,Germ cell,ARX,401,8,0.0199501246882793,-0.24333390735759755
G6_A_Mixed,Granulocyte,ARX,259,0,0.0,-0.2707550158404547
G6_A_Mixed,Spermatid,ARX,459,14,0.030501089324618737,-0.16339170013300616
G6_A_Mixed,Ovarian cell,ARX,214,1,0.004672897196261682,-0.2577618306570177
G6_A_Mixed,Trophectoderm cell,ARX,166,6,0.03614457831325301,-0.18269513350709293
G6_A_Mixed,Testis somatic cell,ARX,93,0,0.0,-0.27075501584045464
G6_A_Mixed,Mesenchymal stem cell,ARX,110,0,0.0,-0.27075501584045464
G6_A_Mixed,Corticotroph tumor cell,ARX,26,0,0.0,-0.2707550158404547
G6_A_Mixed,Podocyte,ARX,82,1,0.012195121951219513,-0.21309334699456567
G6_A_Mixed,Immune cell,ARX,73,0,0.0,-0.2707550158404547
G6_A_Mixed,Leydig cell,CT69,948,0,0.0,-0.02867445753832974
G6_A_Mixed,Chromaffin cell,CT69,1109,0,0.0,-0.02867445753832973
G6_A_Mixed,Myoepithelial cell,CT69,1015,2,0.0019704433497536944,-0.008913522646628595
G6_A_Mixed,Interstitial cell,CT69,1580,0,0.0,-0.028674457538329742
G6_A_Mixed,Sertoli cell,CT69,941,1,0.0010626992561105207,-0.018016992652529176
G6_A_Mixed,Epithelial progenitor cell,CT69,212,0,0.0,-0.028674457538329735
G6_A_Mixed,Proliferative cell,CT69,428,0,0.0,-0.02867445753832974
G6_A_Mixed,Lymphoid progenitor cell,CT69,643,0,0.0,-0.028674457538329732
G6_A_Mixed,Syncytiotrophoblast,CT69,1386,1,0.0007215007215007215,-0.021438761681519973
G6_A_Mixed,Immature Leydig cell,CT69,1041,0,0.0,-0.02867445753832974
G6_A_Mixed,Endothelial cell,CT69,241,1,0.004149377593360996,0.012938299546891551
G6_A_Mixed,Leydig precursor cell,CT69,373,0,0.0,-0.028674457538329735
G6_A_Mixed,Germinal center cell,CT69,308,1,0.003246753246753247,0.0038861738173142026
G6_A_Mixed,Columnar epithelial cell,CT69,1728,3,0.001736111111111111,-0.011263564382881246
G6_A_Mixed,Zona fasciculata cell,CT69,527,0,0.0,-0.028674457538329735
G6_A_Mixed,Hypoblast cell,CT69,311,1,0.003215434083601286,0.0035720841257806646
G6_A_Mixed,Pre-tubular aggregate cell,CT69,184,0,0.0,-0.028674457538329735
G6_A_Mixed,Germ cell,CT69,401,0,0.0,-0.02867445753832974
G6_A_Mixed,Granulocyte,CT69,259,0,0.0,-0.028674457538329735
G6_A_Mixed,Spermatid,CT69,459,3,0.006535947712418301,0.03687243434100577
G6_A_Mixed,Ovarian cell,CT69,214,0,0.0,-0.028674457538329732
G6_A_Mixed,Trophectoderm cell,CT69,166,0,0.0,-0.02867445753832973
G6_A_Mixed,Testis somatic cell,CT69,93,0,0.0,-0.028674457538329725
G6_A_Mixed,Mesenchymal stem cell,CT69,110,0,0.0,-0.02867445753832973
G6_A_Mixed,Corticotroph tumor cell,CT69,26,0,0.0,-0.028674457538329732
G6_A_Mixed,Podocyte,CT69,82,1,0.012195121951219513,0.09362645048043042
G6_A_Mixed,Immune cell,CT69,73,0,0.0,-0.02867445753832973
G6_A_Mixed,Leydig cell,CTAG2,948,0,0.0,-0.06942835492179768
G6_A_Mixed,Chromaffin cell,CTAG2,1109,14,0.012623985572587917,0.05332225976094274
G6_A_Mixed,Myoepithelial cell,CTAG2,1015,0,0.0,-0.06942835492179769
G6_A_Mixed,Interstitial cell,CTAG2,1580,10,0.006329113924050633,-0.00685482917828954
G6_A_Mixed,Sertoli cell,CTAG2,941,1,0.0010626992561105207,-0.0587275808995641
G6_A_Mixed,Epithelial progenitor cell,CTAG2,212,0,0.0,-0.06942835492179769
G6_A_Mixed,Proliferative cell,CTAG2,428,3,0.007009345794392523,0.001151750369710259
G6_A_Mixed,Lymphoid progenitor cell,CTAG2,643,7,0.01088646967340591,0.03622558480706138
G6_A_Mixed,Syncytiotrophoblast,CTAG2,1386,0,0.0,-0.0694283549217977
G6_A_Mixed,Immature Leydig cell,CTAG2,1041,12,0.011527377521613832,0.04664574715222883
G6_A_Mixed,Endothelial cell,CTAG2,241,1,0.004149377593360996,-0.027646494527931283
G6_A_Mixed,Leydig precursor cell,CTAG2,373,0,0.0,-0.0694283549217977
G6_A_Mixed,Germinal center cell,CTAG2,308,0,0.0,-0.06942835492179769
G6_A_Mixed,Columnar epithelial cell,CTAG2,1728,0,0.0,-0.06942835492179768
G6_A_Mixed,Zona fasciculata cell,CTAG2,527,0,0.0,-0.0694283549217977
G6_A_Mixed,Hypoblast cell,CTAG2,311,0,0.0,-0.0694283549217977
G6_A_Mixed,Pre-tubular aggregate cell,CTAG2,184,2,0.010869565217391304,0.04002195328387404
G6_A_Mixed,Germ cell,CTAG2,401,33,0.08229426433915212,0.560612623942819
G6_A_Mixed,Granulocyte,CTAG2,259,0,0.0,-0.0694283549217977
G6_A_Mixed,Spermatid,CTAG2,459,0,0.0,-0.06942835492179768
G6_A_Mixed,Ovarian cell,CTAG2,214,0,0.0,-0.06942835492179769
G6_A_Mixed,Trophectoderm cell,CTAG2,166,0,0.0,-0.0694283549217977
G6_A_Mixed,Testis somatic cell,CTAG2,93,0,0.0,-0.0694283549217977
G6_A_Mixed,Mesenchymal stem cell,CTAG2,110,0,0.0,-0.0694283549217977
G6_A_Mixed,Corticotroph tumor cell,CTAG2,26,0,0.0,-0.0694283549217977
G6_A_Mixed,Podocyte,CTAG2,82,0,0.0,-0.0694283549217977
G6_A_Mixed,Immune cell,CTAG2,73,0,0.0,-0.0694283549217977
G6_A_Mixed,Leydig cell,CTCFL,948,1,0.0010548523206751054,-0.035326007464274736
G6_A_Mixed,Chromaffin cell,CTCFL,1109,0,0.0,-0.04592297262527184
G6_A_Mixed,Myoepithelial cell,CTCFL,1015,0,0.0,-0.04592297262527186
G6_A_Mixed,Interstitial cell,CTCFL,1580,5,0.0031645569620253164,-0.01413207714228049
G6_A_Mixed,Sertoli cell,CTCFL,941,1,0.0010626992561105207,-0.03524717775531939
G6_A_Mixed,Epithelial progenitor cell,CTCFL,212,1,0.0047169811320754715,0.0014634564908850844
G6_A_Mixed,Proliferative cell,CTCFL,428,1,0.002336448598130841,-0.030927761205598644
G6_A_Mixed,Lymphoid progenitor cell,CTCFL,643,0,0.0,-0.04592297262527184
G6_A_Mixed,Syncytiotrophoblast,CTCFL,1386,0,0.0,-0.04592297262527185
G6_A_Mixed,Immature Leydig cell,CTCFL,1041,0,0.0,-0.045922972625271855
G6_A_Mixed,Endothelial cell,CTCFL,241,0,0.0,-0.04592297262527186
G6_A_Mixed,Leydig precursor cell,CTCFL,373,1,0.002680965147453083,-0.018990203261665225
G6_A_Mixed,Germinal center cell,CTCFL,308,0,0.0,-0.04592297262527185
G6_A_Mixed,Columnar epithelial cell,CTCFL,1728,1,0.0005787037037037037,-0.04010935979389149
G6_A_Mixed,Zona fasciculata cell,CTCFL,527,0,0.0,-0.04592297262527186
G6_A_Mixed,Hypoblast cell,CTCFL,311,0,0.0,-0.04592297262527185
G6_A_Mixed,Pre-tubular aggregate cell,CTCFL,184,1,0.005434782608695652,0.008674434834648104
G6_A_Mixed,Germ cell,CTCFL,401,23,0.057356608478802994,0.5113570202237545
G6_A_Mixed,Granulocyte,CTCFL,259,1,0.003861003861003861,-0.007135625240618299
G6_A_Mixed,Spermatid,CTCFL,459,0,0.0,-0.045922972625271855
G6_A_Mixed,Ovarian cell,CTCFL,214,1,0.004672897196261682,0.0010205926673695987
G6_A_Mixed,Trophectoderm cell,CTCFL,166,0,0.0,-0.04592297262527185
G6_A_Mixed,Testis somatic cell,CTCFL,93,0,0.0,-0.04592297262527185
G6_A_Mixed,Mesenchymal stem cell,CTCFL,110,0,0.0,-0.045922972625271855
G6_A_Mixed,Corticotroph tumor cell,CTCFL,26,0,0.0,-0.04592297262527186
G6_A_Mixed,Podocyte,CTCFL,82,0,0.0,-0.04592297262527185
G6_A_Mixed,Immune cell,CTCFL,73,0,0.0,-0.04592297262527185
G6_A_Mixed,Leydig cell,FATE1,948,9,0.00949367088607595,-0.26449234149632556
G6_A_Mixed,Chromaffin cell,FATE1,1109,5,0.004508566275924256,-0.2712751198022112
G6_A_Mixed,Myoepithelial cell,FATE1,1015,2,0.0019704433497536944,-0.27589128057517365
G6_A_Mixed,Interstitial cell,FATE1,1580,7,0.004430379746835443,-0.26763881425781305
G6_A_Mixed,Sertoli cell,FATE1,941,693,0.7364505844845909,2.6334080372066624
G6_A_Mixed,Epithelial progenitor cell,FATE1,212,0,0.0,-0.27999118278495727
G6_A_Mixed,Proliferative cell,FATE1,428,5,0.011682242990654205,-0.2551626036454889
G6_A_Mixed,Lymphoid progenitor cell,FATE1,643,5,0.007776049766718507,-0.26345125819405085
G6_A_Mixed,Syncytiotrophoblast,FATE1,1386,7,0.005050505050505051,-0.2683042513247159
G6_A_Mixed,Immature Leydig cell,FATE1,1041,7,0.0067243035542747355,-0.26167442057721696
G6_A_Mixed,Endothelial cell,FATE1,241,4,0.016597510373443983,-0.24517494481846494
G6_A_Mixed,Leydig precursor cell,FATE1,373,10,0.02680965147453083,-0.20004562094823547
G6_A_Mixed,Germinal center cell,FATE1,308,13,0.04220779220779221,-0.18573824912519263
G6_A_Mixed,Columnar epithelial cell,FATE1,1728,310,0.17939814814814814,0.16895328427469578
G6_A_Mixed,Zona fasciculata cell,FATE1,527,122,0.2314990512333966,0.29710368377714
G6_A_Mixed,Hypoblast cell,FATE1,311,0,0.0,-0.27999118278495727
G6_A_Mixed,Pre-tubular aggregate cell,FATE1,184,2,0.010869565217391304,-0.250304614046383
G6_A_Mixed,Germ cell,FATE1,401,3,0.007481296758104738,-0.27271730740944233
G6_A_Mixed,Granulocyte,FATE1,259,40,0.15444015444015444,0.24120683649355648
G6_A_Mixed,Spermatid,FATE1,459,2,0.004357298474945534,-0.2693913508505909
G6_A_Mixed,Ovarian cell,FATE1,214,3,0.014018691588785047,-0.2491611798602745
G6_A_Mixed,Trophectoderm cell,FATE1,166,3,0.018072289156626505,-0.25156623163490655
G6_A_Mixed,Testis somatic cell,FATE1,93,0,0.0,-0.27999118278495727
G6_A_Mixed,Mesenchymal stem cell,FATE1,110,0,0.0,-0.27999118278495727
G6_A_Mixed,Corticotroph tumor cell,FATE1,26,1,0.038461538461538464,-0.1935437919360795
G6_A_Mixed,Podocyte,FATE1,82,1,0.012195121951219513,-0.21789816921431623
