sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G6_B_Mixed,Lymphoblast,ARMC3,647,2,0.0030911901081916537,-0.021266563298586096
G6_B_Mixed,Germinal center cell,ARMC3,96,0,0.0,-0.05234025806850418
G6_B_Mixed,Blastomere,ARMC3,337,0,0.0,-0.05234025806850419
G6_B_Mixed,Myoepithelial cell,ARMC3,787,0,0.0,-0.05234025806850418
G6_B_Mixed,Syncytiotrophoblast,ARMC3,1384,1,0.000722543352601156,-0.04529771991824949
G6_B_Mixed,Zona fasciculata cell,ARMC3,1662,0,0.0,-0.05234025806850418
G6_B_Mixed,Interstitial cell,ARMC3,1300,0,0.0,-0.052340258068504175
G6_B_Mixed,Leydig cell,ARMC3,907,0,0.0,-0.05234025806850419
G6_B_Mixed,Leydig precursor cell,ARMC3,347,0,0.0,-0.05234025806850419
G6_B_Mixed,Spermatid,ARMC3,500,0,0.0,-0.05234025806850418
G6_B_Mixed,Granulocyte,ARMC3,217,0,0.0,-0.05234025806850418
G6_B_Mixed,Columnar epithelial cell,ARMC3,577,0,0.0,-0.05234025806850418
G6_B_Mixed,Hypoblast cell,ARMC3,307,0,0.0,-0.05234025806850419
G6_B_Mixed,Spermatogonia,ARMC3,340,2,0.0058823529411764705,-0.0032589277623850882
G6_B_Mixed,Cardiomyocyte,ARMC3,395,0,0.0,-0.05234025806850418
G6_B_Mixed,Immature Leydig cell,ARMC3,753,1,0.0013280212483399733,-0.03899053661024588
G6_B_Mixed,Proliferative cell,ARMC3,492,1,0.0020325203252032522,-0.036467471010028625
G6_B_Mixed,Ovarian cell,ARMC3,201,7,0.03482587064676617,0.2855652345307522
G6_B_Mixed,Sertoli cell,ARMC3,800,0,0.0,-0.05234025806850418
G6_B_Mixed,Epithelial progenitor cell,ARMC3,487,3,0.006160164271047228,0.009583809229659072
G6_B_Mixed,Malignant cell,ARMC3,236,28,0.11864406779661017,1.132113148496598
G6_B_Mixed,Breast cancer stem-like cell,ARMC3,110,0,0.0,-0.052340258068504196
G6_B_Mixed,Chromaffin cell,ARMC3,606,1,0.0016501650165016502,-0.036325073420505026
G6_B_Mixed,Pericyte,ARMC3,113,0,0.0,-0.05234025806850418
G6_B_Mixed,Podocyte,ARMC3,72,0,0.0,-0.05234025806850418
G6_B_Mixed,Endothelial cell,ARMC3,255,0,0.0,-0.05234025806850419
G6_B_Mixed,Lymphocyte,ARMC3,186,0,0.0,-0.05234025806850419
G6_B_Mixed,Trophectoderm cell,ARMC3,152,0,0.0,-0.05234025806850419
G6_B_Mixed,Corticotroph tumor cell,ARMC3,16,0,0.0,-0.05234025806850418
G6_B_Mixed,Immune cell,ARMC3,71,0,0.0,-0.0523402580685042
G6_B_Mixed,Progenitor cell,ARMC3,9,0,0.0,-0.05234025806850418
G6_B_Mixed,Lymphoblast,ARX,647,60,0.09273570324574962,-0.0804611505691951
G6_B_Mixed,Germinal center cell,ARX,96,0,0.0,-0.30529438672927295
G6_B_Mixed,Blastomere,ARX,337,43,0.12759643916913946,-0.02418921308573763
G6_B_Mixed,Myoepithelial cell,ARX,787,15,0.01905972045743329,-0.24789278222967434
G6_B_Mixed,Syncytiotrophoblast,ARX,1384,22,0.015895953757225433,-0.2564046876340709
G6_B_Mixed,Zona fasciculata cell,ARX,1662,5,0.0030084235860409147,-0.29821897226773475
G6_B_Mixed,Interstitial cell,ARX,1300,26,0.02,-0.2373800694764278
G6_B_Mixed,Leydig cell,ARX,907,97,0.10694597574421169,-0.05886065456179268
G6_B_Mixed,Leydig precursor cell,ARX,347,183,0.5273775216138329,1.7899484380381852
G6_B_Mixed,Spermatid,ARX,500,26,0.052,-0.14635545106691603
G6_B_Mixed,Granulocyte,ARX,217,1,0.004608294930875576,-0.29048140501575503
G6_B_Mixed,Columnar epithelial cell,ARX,577,14,0.024263431542461005,-0.2636893467423556
G6_B_Mixed,Hypoblast cell,ARX,307,5,0.016286644951140065,-0.27087003510733354
G6_B_Mixed,Spermatogonia,ARX,340,1,0.0029411764705882353,-0.2988098834757447
G6_B_Mixed,Cardiomyocyte,ARX,395,110,0.27848101265822783,0.7734091105362567
G6_B_Mixed,Immature Leydig cell,ARX,753,344,0.45683930942895085,1.2224765941936435
G6_B_Mixed,Proliferative cell,ARX,492,165,0.3353658536585366,0.6755436862176252
G6_B_Mixed,Ovarian cell,ARX,201,2,0.009950248756218905,-0.27724010317503534
G6_B_Mixed,Sertoli cell,ARX,800,6,0.0075,-0.2838919009235402
G6_B_Mixed,Epithelial progenitor cell,ARX,487,136,0.2792607802874743,0.5005718208981929
G6_B_Mixed,Malignant cell,ARX,236,1,0.00423728813559322,-0.2948635596837613
G6_B_Mixed,Breast cancer stem-like cell,ARX,110,0,0.0,-0.30529438672927295
G6_B_Mixed,Chromaffin cell,ARX,606,95,0.15676567656765678,0.19839809367329644
G6_B_Mixed,Pericyte,ARX,113,8,0.07079646017699115,-0.059091094116569674
G6_B_Mixed,Podocyte,ARX,72,1,0.013888888888888888,-0.2763315785685902
G6_B_Mixed,Endothelial cell,ARX,255,1,0.00392156862745098,-0.29299994447095234
G6_B_Mixed,Lymphocyte,ARX,186,14,0.07526881720430108,-0.16202714842980412
G6_B_Mixed,Trophectoderm cell,ARX,152,9,0.05921052631578947,-0.19200545433429192
G6_B_Mixed,Corticotroph tumor cell,ARX,16,1,0.0625,-0.22585735062689674
G6_B_Mixed,Immune cell,ARX,71,1,0.014084507042253521,-0.2862013526332376
G6_B_Mixed,Progenitor cell,ARX,9,0,0.0,-0.30529438672927295
G6_B_Mixed,Lymphoblast,CTAG2,647,7,0.010819165378670788,0.02368256519974682
