sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G_1_2_M_Mesonephros,Colony-forming cell,BRDT,548,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Oligodendrocyte precursor cell,BRDT,696,0,0.0,-0.028010374115911573
G_1_2_M_Mesonephros,Innate lymphoid cell,BRDT,810,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Interstitial cell,BRDT,386,0,0.0,-0.028010374115911566
G_1_2_M_Mesonephros,Haematopoietic cell,BRDT,154,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Pre-tubular aggregate cell,BRDT,740,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Epithelial progenitor cell,BRDT,673,1,0.0014858841010401188,-0.013109912935947361
G_1_2_M_Mesonephros,Cancer cell,BRDT,572,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Meiotic prophase fetal germ cell,BRDT,419,0,0.0,-0.028010374115911566
G_1_2_M_Mesonephros,Granulosa cell,BRDT,471,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Smooth muscle cell,BRDT,1210,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Sertoli cell,BRDT,1117,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Hepatic stellate cell,BRDT,541,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Lymphocyte,BRDT,313,0,0.0,-0.028010374115911573
G_1_2_M_Mesonephros,Hypoblast cell,BRDT,155,0,0.0,-0.02801037411591157
G_1_2_M_Mesonephros,Endothelial cell,BRDT,71,0,0.0,-0.02801037411591158
G_1_2_M_Mesonephros,Podocyte,BRDT,107,1,0.009345794392523364,0.06570934900666704
G_1_2_M_Mesonephros,Lymphoid cell,BRDT,35,0,0.0,-0.028010374115911573
G_1_2_M_Mesonephros,Corticotroph tumor cell,BRDT,20,6,0.3,2.980392738118862
G_1_2_M_Mesonephros,Colony-forming cell,CTAG2,548,6,0.010948905109489052,0.03509998563468818
G_1_2_M_Mesonephros,Oligodendrocyte precursor cell,CTAG2,696,7,0.010057471264367816,0.034691593877347035
G_1_2_M_Mesonephros,Innate lymphoid cell,CTAG2,810,0,0.0,-0.06523027566723949
G_1_2_M_Mesonephros,Interstitial cell,CTAG2,386,2,0.0051813471502590676,-0.022153079202506518
G_1_2_M_Mesonephros,Haematopoietic cell,CTAG2,154,0,0.0,-0.0652302756672395
G_1_2_M_Mesonephros,Pre-tubular aggregate cell,CTAG2,740,4,0.005405405405405406,-0.01950175227513765
G_1_2_M_Mesonephros,Epithelial progenitor cell,CTAG2,673,0,0.0,-0.06523027566723949
G_1_2_M_Mesonephros,Cancer cell,CTAG2,572,0,0.0,-0.0652302756672395
G_1_2_M_Mesonephros,Meiotic prophase fetal germ cell,CTAG2,419,0,0.0,-0.06523027566723949
G_1_2_M_Mesonephros,Granulosa cell,CTAG2,471,7,0.014861995753715499,0.07226868869125568
G_1_2_M_Mesonephros,Smooth muscle cell,CTAG2,1210,9,0.00743801652892562,0.0053434607347075
G_1_2_M_Mesonephros,Sertoli cell,CTAG2,1117,1,0.0008952551477170994,-0.061710666749508925
G_1_2_M_Mesonephros,Hepatic stellate cell,CTAG2,541,0,0.0,-0.06523027566723949
G_1_2_M_Mesonephros,Lymphocyte,CTAG2,313,2,0.006389776357827476,-0.013979353448311204
G_1_2_M_Mesonephros,Hypoblast cell,CTAG2,155,2,0.012903225806451613,0.0646436633736281
G_1_2_M_Mesonephros,Endothelial cell,CTAG2,71,1,0.014084507042253521,0.07653353103229904
G_1_2_M_Mesonephros,Podocyte,CTAG2,107,2,0.018691588785046728,0.07069707690570372
G_1_2_M_Mesonephros,Lymphoid cell,CTAG2,35,0,0.0,-0.06523027566723948
G_1_2_M_Mesonephros,Corticotroph tumor cell,CTAG2,20,2,0.1,0.7280489860821285
G_1_2_M_Mesonephros,Colony-forming cell,CTCFL,548,1,0.0018248175182481751,-0.014566473639997395
G_1_2_M_Mesonephros,Oligodendrocyte precursor cell,CTCFL,696,0,0.0,-0.03287463903970489
G_1_2_M_Mesonephros,Innate lymphoid cell,CTCFL,810,2,0.0024691358024691358,-0.00810210906676734
G_1_2_M_Mesonephros,Interstitial cell,CTCFL,386,0,0.0,-0.03287463903970489
G_1_2_M_Mesonephros,Haematopoietic cell,CTCFL,154,0,0.0,-0.03287463903970489
G_1_2_M_Mesonephros,Pre-tubular aggregate cell,CTCFL,740,2,0.002702702702702703,-0.005758761636894868
G_1_2_M_Mesonephros,Epithelial progenitor cell,CTCFL,673,0,0.0,-0.032874639039704896
G_1_2_M_Mesonephros,Cancer cell,CTCFL,572,1,0.0017482517482517483,-0.01533464841201309
G_1_2_M_Mesonephros,Meiotic prophase fetal germ cell,CTCFL,419,1,0.002386634844868735,-0.008929830831972883
G_1_2_M_Mesonephros,Granulosa cell,CTCFL,471,1,0.0021231422505307855,-0.011573418999280884
G_1_2_M_Mesonephros,Smooth muscle cell,CTCFL,1210,0,0.0,-0.03287463903970489
G_1_2_M_Mesonephros,Sertoli cell,CTCFL,1117,1,0.0008952551477170994,-0.023892656372704255
G_1_2_M_Mesonephros,Hepatic stellate cell,CTCFL,541,0,0.0,-0.03287463903970488
G_1_2_M_Mesonephros,Lymphocyte,CTCFL,313,0,0.0,-0.03287463903970489
G_1_2_M_Mesonephros,Hypoblast cell,CTCFL,155,0,0.0,-0.03287463903970488
G_1_2_M_Mesonephros,Endothelial cell,CTCFL,71,0,0.0,-0.032874639039704875
G_1_2_M_Mesonephros,Podocyte,CTCFL,107,0,0.0,-0.03287463903970489
G_1_2_M_Mesonephros,Lymphoid cell,CTCFL,35,0,0.0,-0.03287463903970488
G_1_2_M_Mesonephros,Corticotroph tumor cell,CTCFL,20,3,0.15,1.472056556816251
G_1_2_M_Mesonephros,Colony-forming cell,DMRT1,548,2,0.0036496350364963502,-0.08245594116713872
G_1_2_M_Mesonephros,Oligodendrocyte precursor cell,DMRT1,696,0,0.0,-0.09929389339091331
G_1_2_M_Mesonephros,Innate lymphoid cell,DMRT1,810,2,0.0024691358024691358,-0.08723646707595624
G_1_2_M_Mesonephros,Interstitial cell,DMRT1,386,0,0.0,-0.0992938933909133
G_1_2_M_Mesonephros,Haematopoietic cell,DMRT1,154,2,0.012987012987012988,-0.030789564466842008
G_1_2_M_Mesonephros,Pre-tubular aggregate cell,DMRT1,740,4,0.005405405405405406,-0.07328661447186871
G_1_2_M_Mesonephros,Epithelial progenitor cell,DMRT1,673,7,0.010401188707280832,-0.039433433033205935
G_1_2_M_Mesonephros,Cancer cell,DMRT1,572,1,0.0017482517482517483,-0.09396264887389601
G_1_2_M_Mesonephros,Meiotic prophase fetal germ cell,DMRT1,419,2,0.00477326968973747,-0.06332993177763625
G_1_2_M_Mesonephros,Granulosa cell,DMRT1,471,0,0.0,-0.0992938933909133
G_1_2_M_Mesonephros,Smooth muscle cell,DMRT1,1210,1,0.0008264462809917355,-0.09549405580687231
