sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G_2_F_Mesonephros,Hematopoietic stem cell,CCDC83,103,0,0.0,-0.025310418786832174
G_2_F_Mesonephros,Granulosa cell,CCDC83,453,0,0.0,-0.025310418786832177
G_2_F_Mesonephros,Intermediate progenitor cell,CCDC83,192,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Sensory neuron,CCDC83,352,2,0.005681818181818182,0.03165157222900209
G_2_F_Mesonephros,Cardiomyocyte,CCDC83,359,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Hypoblast cell,CCDC83,167,0,0.0,-0.025310418786832177
G_2_F_Mesonephros,Malignant cell,CCDC83,559,0,0.0,-0.02531041878683218
G_2_F_Mesonephros,Myoepithelial cell,CCDC83,1056,1,0.000946969696969697,-0.015816753617526467
G_2_F_Mesonephros,Renal progenitor cell,CCDC83,70,0,0.0,-0.02531041878683219
G_2_F_Mesonephros,Oligodendrocyte precursor cell,CCDC83,298,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Smooth muscle cell,CCDC83,395,1,0.002531645569620253,7.011391895726815e-05
G_2_F_Mesonephros,Theca cell,CCDC83,337,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Endocrine cell,CCDC83,65,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Retinal ganglion cell,CCDC83,193,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Endothelial cell,CCDC83,23,0,0.0,-0.025310418786832177
G_2_F_Mesonephros,Ovarian cell,CCDC83,37,0,0.0,-0.02531041878683218
G_2_F_Mesonephros,Plasmacytoid dendritic cell,CCDC83,77,0,0.0,-0.02531041878683219
G_2_F_Mesonephros,Epithelial cell,CCDC83,23,0,0.0,-0.025310418786832177
G_2_F_Mesonephros,Neural crest cell,CCDC83,8,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Lymphoid progenitor cell,CCDC83,8,0,0.0,-0.025310418786832184
G_2_F_Mesonephros,Hematopoietic stem cell,CT69,103,0,0.0,-0.05872618990470763
G_2_F_Mesonephros,Granulosa cell,CT69,453,0,0.0,-0.058726189904707606
G_2_F_Mesonephros,Intermediate progenitor cell,CT69,192,1,0.005208333333333333,-0.0063369909989538925
G_2_F_Mesonephros,Sensory neuron,CT69,352,2,0.005681818181818182,-0.017305306804855782
G_2_F_Mesonephros,Cardiomyocyte,CT69,359,2,0.005571030640668524,-0.030493832312978274
G_2_F_Mesonephros,Hypoblast cell,CT69,167,2,0.011976047904191617,0.04768216051770914
G_2_F_Mesonephros,Malignant cell,CT69,559,2,0.0035778175313059034,-0.03540802474392555
G_2_F_Mesonephros,Myoepithelial cell,CT69,1056,8,0.007575757575757576,0.0027052274393678873
G_2_F_Mesonephros,Renal progenitor cell,CT69,70,0,0.0,-0.05872618990470762
G_2_F_Mesonephros,Oligodendrocyte precursor cell,CT69,298,0,0.0,-0.058726189904707626
G_2_F_Mesonephros,Smooth muscle cell,CT69,395,2,0.005063291139240506,-0.02098279623537566
G_2_F_Mesonephros,Theca cell,CT69,337,2,0.005934718100890208,0.0009695144864182624
G_2_F_Mesonephros,Endocrine cell,CT69,65,0,0.0,-0.05872618990470762
