sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G4_2_Testis,Leydig precursor cell,ARX,1081,350,0.32377428307123035,3.30195239519736
G4_2_Testis,Sertoli cell,ARX,3076,4,0.0013003901170351106,2.409480539409548
G4_2_Testis,Muscle cell,ARX,389,1,0.002570694087403599,3.4307453863505564
G4_2_Testis,Neural progenitor cell,ARX,396,0,0.0,
G4_2_Testis,Dendritic cell,ARX,451,3,0.0066518847006651885,2.3281438959441574
G4_2_Testis,Endothelial cell,ARX,135,35,0.25925925925925924,2.849371604165536
G4_2_Testis,Fibroblast,ARX,305,79,0.25901639344262295,3.216924784848364
G4_2_Testis,Leydig cell,ARX,157,52,0.33121019108280253,2.011209037421011
G4_2_Testis,Meiotic prophase fetal germ cell,ARX,55,1,0.01818181818181818,0.5896597288439366
G4_2_Testis,Spermatogonial stem cell,ARX,98,0,0.0,
G4_2_Testis,Oligodendrocyte progenitor cell,ARX,7,0,0.0,
G4_2_Testis,Microglial cell,ARX,17,0,0.0,
G4_2_Testis,Natural killer (NK) cell,ARX,12,2,0.16666666666666666,3.2273054475971836
G4_2_Testis,Leydig precursor cell,CTCFL,1081,0,0.0,
G4_2_Testis,Sertoli cell,CTCFL,3076,0,0.0,
G4_2_Testis,Muscle cell,CTCFL,389,0,0.0,
G4_2_Testis,Neural progenitor cell,CTCFL,396,0,0.0,
G4_2_Testis,Dendritic cell,CTCFL,451,0,0.0,
G4_2_Testis,Endothelial cell,CTCFL,135,0,0.0,
G4_2_Testis,Fibroblast,CTCFL,305,0,0.0,
G4_2_Testis,Leydig cell,CTCFL,157,0,0.0,
G4_2_Testis,Meiotic prophase fetal germ cell,CTCFL,55,2,0.03636363636363636,10.0
G4_2_Testis,Spermatogonial stem cell,CTCFL,98,0,0.0,
G4_2_Testis,Oligodendrocyte progenitor cell,CTCFL,7,0,0.0,
G4_2_Testis,Microglial cell,CTCFL,17,0,0.0,
G4_2_Testis,Natural killer (NK) cell,CTCFL,12,0,0.0,
G4_2_Testis,Leydig precursor cell,DDX43,1081,1,0.0009250693802035153,10.0
G4_2_Testis,Sertoli cell,DDX43,3076,7,0.0022756827048114434,9.941156752010302
G4_2_Testis,Muscle cell,DDX43,389,0,0.0,
G4_2_Testis,Neural progenitor cell,DDX43,396,0,0.0,
G4_2_Testis,Dendritic cell,DDX43,451,0,0.0,
G4_2_Testis,Endothelial cell,DDX43,135,0,0.0,
G4_2_Testis,Fibroblast,DDX43,305,0,0.0,
G4_2_Testis,Leydig cell,DDX43,157,0,0.0,
G4_2_Testis,Meiotic prophase fetal germ cell,DDX43,55,24,0.43636363636363634,8.492447938852854
G4_2_Testis,Spermatogonial stem cell,DDX43,98,0,0.0,
G4_2_Testis,Oligodendrocyte progenitor cell,DDX43,7,0,0.0,
G4_2_Testis,Microglial cell,DDX43,17,0,0.0,
G4_2_Testis,Natural killer (NK) cell,DDX43,12,0,0.0,
G4_2_Testis,Leydig precursor cell,FATE1,1081,25,0.02312673450508788,0.9364214490510574
G4_2_Testis,Sertoli cell,FATE1,3076,1605,0.5217815344603381,1.377336707885134
G4_2_Testis,Muscle cell,FATE1,389,70,0.17994858611825193,1.656596529448345
G4_2_Testis,Neural progenitor cell,FATE1,396,196,0.494949494949495,1.060127708476193
G4_2_Testis,Dendritic cell,FATE1,451,148,0.328159645232816,1.059070926849917
G4_2_Testis,Endothelial cell,FATE1,135,5,0.037037037037037035,0.928226302350529
G4_2_Testis,Fibroblast,FATE1,305,14,0.04590163934426229,0.7682670119480817
G4_2_Testis,Leydig cell,FATE1,157,34,0.21656050955414013,0.6481616736423862
G4_2_Testis,Meiotic prophase fetal germ cell,FATE1,55,1,0.01818181818181818,0.08922603775557521
G4_2_Testis,Spermatogonial stem cell,FATE1,98,8,0.08163265306122448,0.6431440059785896
G4_2_Testis,Oligodendrocyte progenitor cell,FATE1,7,0,0.0,
G4_2_Testis,Microglial cell,FATE1,17,0,0.0,
G4_2_Testis,Natural killer (NK) cell,FATE1,12,1,0.08333333333333333,0.9304821102619399
G4_2_Testis,Leydig precursor cell,GAGE1,1081,0,0.0,
G4_2_Testis,Sertoli cell,GAGE1,3076,1,0.00032509752925877764,10.0
G4_2_Testis,Muscle cell,GAGE1,389,1,0.002570694087403599,10.0
G4_2_Testis,Neural progenitor cell,GAGE1,396,0,0.0,
G4_2_Testis,Dendritic cell,GAGE1,451,0,0.0,
G4_2_Testis,Endothelial cell,GAGE1,135,0,0.0,
G4_2_Testis,Fibroblast,GAGE1,305,0,0.0,
G4_2_Testis,Leydig cell,GAGE1,157,0,0.0,
G4_2_Testis,Meiotic prophase fetal germ cell,GAGE1,55,15,0.2727272727272727,9.18642041351836
G4_2_Testis,Spermatogonial stem cell,GAGE1,98,0,0.0,
G4_2_Testis,Oligodendrocyte progenitor cell,GAGE1,7,0,0.0,
G4_2_Testis,Microglial cell,GAGE1,17,0,0.0,
G4_2_Testis,Natural killer (NK) cell,GAGE1,12,0,0.0,
G4_2_Testis,Leydig precursor cell,GAGE13,1081,0,0.0,
G4_2_Testis,Sertoli cell,GAGE13,3076,0,0.0,
G4_2_Testis,Muscle cell,GAGE13,389,0,0.0,
G4_2_Testis,Neural progenitor cell,GAGE13,396,0,0.0,
G4_2_Testis,Dendritic cell,GAGE13,451,0,0.0,
G4_2_Testis,Endothelial cell,GAGE13,135,0,0.0,
G4_2_Testis,Fibroblast,GAGE13,305,0,0.0,
G4_2_Testis,Leydig cell,GAGE13,157,0,0.0,
G4_2_Testis,Meiotic prophase fetal germ cell,GAGE13,55,4,0.07272727272727272,10.0
G4_2_Testis,Spermatogonial stem cell,GAGE13,98,0,0.0,
G4_2_Testis,Oligodendrocyte progenitor cell,GAGE13,7,0,0.0,
G4_2_Testis,Microglial cell,GAGE13,17,0,0.0,
G4_2_Testis,Natural killer (NK) cell,GAGE13,12,0,0.0,
G4_2_Testis,Leydig precursor cell,HORMAD1,1081,0,0.0,
G4_2_Testis,Sertoli cell,HORMAD1,3076,0,0.0,
G4_2_Testis,Muscle cell,HORMAD1,389,0,0.0,
