sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G5_A_2_Ovary,Mesenchymal stem cell,ACTL8,343,0,0.0,
G5_A_2_Ovary,Zygote,ACTL8,308,1,0.003246753246753247,5.142036965190324
G5_A_2_Ovary,CD4+ T cell,ACTL8,607,1,0.0016474464579901153,1.2830722370726
G5_A_2_Ovary,Neural progenitor cell,ACTL8,45,0,0.0,
G5_A_2_Ovary,Astrocyte,ACTL8,325,1,0.003076923076923077,0.9932016854973278
G5_A_2_Ovary,Embryonic stem cell,ACTL8,409,5,0.012224938875305624,3.1551087344942155
G5_A_2_Ovary,Mesenchymal cell,ACTL8,237,0,0.0,
G5_A_2_Ovary,Lymphoid progenitor cell,ACTL8,113,0,0.0,
G5_A_2_Ovary,Granulosa cell,ACTL8,255,0,0.0,
G5_A_2_Ovary,Plasmacytoid dendritic cell,ACTL8,58,0,0.0,
G5_A_2_Ovary,Oogenesis phase fetal germ cell,ACTL8,68,44,0.6470588235294118,6.38828772016931
G5_A_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,ACTL8,133,15,0.11278195488721804,3.4897040112883055
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ACTL8,57,7,0.12280701754385964,4.303856643177384
G5_A_2_Ovary,Neural tube cell,ACTL8,48,0,0.0,
G5_A_2_Ovary,Fibroblast,ACTL8,30,0,0.0,
G5_A_2_Ovary,Mesenchymal stem cell,ADAM29,343,0,0.0,
G5_A_2_Ovary,Zygote,ADAM29,308,0,0.0,
G5_A_2_Ovary,CD4+ T cell,ADAM29,607,0,0.0,
G5_A_2_Ovary,Neural progenitor cell,ADAM29,45,0,0.0,
G5_A_2_Ovary,Astrocyte,ADAM29,325,0,0.0,
G5_A_2_Ovary,Embryonic stem cell,ADAM29,409,0,0.0,
G5_A_2_Ovary,Mesenchymal cell,ADAM29,237,0,0.0,
G5_A_2_Ovary,Lymphoid progenitor cell,ADAM29,113,0,0.0,
G5_A_2_Ovary,Granulosa cell,ADAM29,255,0,0.0,
G5_A_2_Ovary,Plasmacytoid dendritic cell,ADAM29,58,0,0.0,
G5_A_2_Ovary,Oogenesis phase fetal germ cell,ADAM29,68,0,0.0,
G5_A_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,ADAM29,133,3,0.022556390977443608,9.063063263670443
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ADAM29,57,0,0.0,
G5_A_2_Ovary,Neural tube cell,ADAM29,48,0,0.0,
G5_A_2_Ovary,Fibroblast,ADAM29,30,0,0.0,
G5_A_2_Ovary,Mesenchymal stem cell,ARMC3,343,0,0.0,
G5_A_2_Ovary,Zygote,ARMC3,308,0,0.0,
G5_A_2_Ovary,CD4+ T cell,ARMC3,607,0,0.0,
G5_A_2_Ovary,Neural progenitor cell,ARMC3,45,0,0.0,
G5_A_2_Ovary,Astrocyte,ARMC3,325,0,0.0,
G5_A_2_Ovary,Embryonic stem cell,ARMC3,409,0,0.0,
G5_A_2_Ovary,Mesenchymal cell,ARMC3,237,0,0.0,
G5_A_2_Ovary,Lymphoid progenitor cell,ARMC3,113,1,0.008849557522123894,10.0
G5_A_2_Ovary,Granulosa cell,ARMC3,255,0,0.0,
G5_A_2_Ovary,Plasmacytoid dendritic cell,ARMC3,58,0,0.0,
G5_A_2_Ovary,Oogenesis phase fetal germ cell,ARMC3,68,1,0.014705882352941176,4.850867578644288
G5_A_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,ARMC3,133,2,0.015037593984962405,8.11925727020311
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ARMC3,57,1,0.017543859649122806,4.947908264463553
G5_A_2_Ovary,Neural tube cell,ARMC3,48,0,0.0,
G5_A_2_Ovary,Fibroblast,ARMC3,30,0,0.0,
G5_A_2_Ovary,Mesenchymal stem cell,ARX,343,47,0.13702623906705538,2.5570084419531978
G5_A_2_Ovary,Zygote,ARX,308,60,0.19480519480519481,4.214888479738675
G5_A_2_Ovary,CD4+ T cell,ARX,607,11,0.018121911037891267,1.7915267209666732
G5_A_2_Ovary,Neural progenitor cell,ARX,45,6,0.13333333333333333,1.6274886057151925
G5_A_2_Ovary,Astrocyte,ARX,325,9,0.027692307692307693,1.2907899068523956
G5_A_2_Ovary,Embryonic stem cell,ARX,409,32,0.07823960880195599,1.1734113186466715
G5_A_2_Ovary,Mesenchymal cell,ARX,237,38,0.16033755274261605,2.0350322961045846
G5_A_2_Ovary,Lymphoid progenitor cell,ARX,113,1,0.008849557522123894,2.222101282827517
G5_A_2_Ovary,Granulosa cell,ARX,255,70,0.27450980392156865,2.1466480596737414
G5_A_2_Ovary,Plasmacytoid dendritic cell,ARX,58,2,0.034482758620689655,1.7095639155729248
G5_A_2_Ovary,Oogenesis phase fetal germ cell,ARX,68,5,0.07352941176470588,2.346727396652255
G5_A_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,ARX,133,5,0.03759398496240601,1.8270023369769262
G5_A_2_Ovary,Meiotic prophase fetal germ cell,ARX,57,3,0.05263157894736842,2.7050188539459796
G5_A_2_Ovary,Neural tube cell,ARX,48,0,0.0,
G5_A_2_Ovary,Fibroblast,ARX,30,4,0.13333333333333333,5.217415956907412
G5_A_2_Ovary,Mesenchymal stem cell,BRDT,343,1,0.0029154518950437317,1.2699985757777277
G5_A_2_Ovary,Zygote,BRDT,308,1,0.003246753246753247,2.822563810658625
G5_A_2_Ovary,CD4+ T cell,BRDT,607,3,0.004942339373970346,1.244846024530139
G5_A_2_Ovary,Neural progenitor cell,BRDT,45,1,0.022222222222222223,1.4709953207502435
G5_A_2_Ovary,Astrocyte,BRDT,325,1,0.003076923076923077,0.8833702893428163
G5_A_2_Ovary,Embryonic stem cell,BRDT,409,4,0.009779951100244499,0.7322386428931602
G5_A_2_Ovary,Mesenchymal cell,BRDT,237,0,0.0,
G5_A_2_Ovary,Lymphoid progenitor cell,BRDT,113,1,0.008849557522123894,1.4172511083705677
G5_A_2_Ovary,Granulosa cell,BRDT,255,0,0.0,
G5_A_2_Ovary,Plasmacytoid dendritic cell,BRDT,58,0,0.0,
G5_A_2_Ovary,Oogenesis phase fetal germ cell,BRDT,68,57,0.8382352941176471,5.253625232875604
G5_A_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,BRDT,133,59,0.44360902255639095,2.2679052828234116
G5_A_2_Ovary,Meiotic prophase fetal germ cell,BRDT,57,36,0.631578947368421,3.270849416819788
G5_A_2_Ovary,Neural tube cell,BRDT,48,0,0.0,
G5_A_2_Ovary,Fibroblast,BRDT,30,0,0.0,
G5_A_2_Ovary,Mesenchymal stem cell,CABYR,343,6,0.01749271137026239,1.2820009380218518
G5_A_2_Ovary,Zygote,CABYR,308,4,0.012987012987012988,2.943490819878178
G5_A_2_Ovary,CD4+ T cell,CABYR,607,25,0.04118616144975288,0.9918212544351683
G5_A_2_Ovary,Neural progenitor cell,CABYR,45,1,0.022222222222222223,2.5741290062134383
G5_A_2_Ovary,Astrocyte,CABYR,325,21,0.06461538461538462,0.8585498198645335
G5_A_2_Ovary,Embryonic stem cell,CABYR,409,24,0.05867970660146699,0.8949888992516688
G5_A_2_Ovary,Mesenchymal cell,CABYR,237,7,0.029535864978902954,0.852540873392748
