sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G5_B_2_Ovary,Gonadal mitotic phase fetal germ cell,ACTL8,462,1,0.0021645021645021645,4.771649733869349
G5_B_2_Ovary,Zygote,ACTL8,187,0,0.0,
G5_B_2_Ovary,CD4+ T cell,ACTL8,469,1,0.0021321961620469083,1.7748714738915043
G5_B_2_Ovary,Lymphoid progenitor cell,ACTL8,239,0,0.0,
G5_B_2_Ovary,Endothelial cell,ACTL8,102,0,0.0,
G5_B_2_Ovary,Embryonic stem cell,ACTL8,399,1,0.002506265664160401,4.1993819934155825
G5_B_2_Ovary,Trophectoderm cell,ACTL8,267,0,0.0,
G5_B_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,ACTL8,153,17,0.1111111111111111,3.0868621213074996
G5_B_2_Ovary,Mesenchymal stem cell,ACTL8,505,1,0.0019801980198019802,2.521254266032608
G5_B_2_Ovary,Mitotic arrest phase fetal germ cell,ACTL8,113,39,0.34513274336283184,6.708203865071519
G5_B_2_Ovary,Mesenchymal cell,ACTL8,465,1,0.002150537634408602,2.935107415158904
G5_B_2_Ovary,Astrocyte,ACTL8,198,0,0.0,
G5_B_2_Ovary,Plasmacytoid dendritic cell,ACTL8,166,0,0.0,
G5_B_2_Ovary,Fibroblast,ACTL8,13,0,0.0,
G5_B_2_Ovary,Neural progenitor cell,ACTL8,77,0,0.0,
G5_B_2_Ovary,Luminal progenitor cell,ACTL8,25,4,0.16,5.673991620144552
G5_B_2_Ovary,Gonadal mitotic phase fetal germ cell,ATAD2,462,92,0.19913419913419914,0.7991271017056875
G5_B_2_Ovary,Zygote,ATAD2,187,43,0.22994652406417113,1.9061314951828254
G5_B_2_Ovary,CD4+ T cell,ATAD2,469,88,0.18763326226012794,1.0357248609008587
G5_B_2_Ovary,Lymphoid progenitor cell,ATAD2,239,84,0.3514644351464435,1.5754506246921542
G5_B_2_Ovary,Endothelial cell,ATAD2,102,6,0.058823529411764705,1.359087165884266
G5_B_2_Ovary,Embryonic stem cell,ATAD2,399,47,0.11779448621553884,0.7911512531720348
G5_B_2_Ovary,Trophectoderm cell,ATAD2,267,75,0.2808988764044944,0.9160250821184828
G5_B_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,ATAD2,153,107,0.6993464052287581,1.9717159439799747
G5_B_2_Ovary,Mesenchymal stem cell,ATAD2,505,123,0.24356435643564356,1.4648212086620198
G5_B_2_Ovary,Mitotic arrest phase fetal germ cell,ATAD2,113,67,0.5929203539823009,2.6616311549512215
G5_B_2_Ovary,Mesenchymal cell,ATAD2,465,124,0.26666666666666666,1.118390839300338
G5_B_2_Ovary,Astrocyte,ATAD2,198,32,0.16161616161616163,0.8905879191784305
G5_B_2_Ovary,Plasmacytoid dendritic cell,ATAD2,166,30,0.18072289156626506,1.6128668860990183
G5_B_2_Ovary,Fibroblast,ATAD2,13,1,0.07692307692307693,3.303427247008977
G5_B_2_Ovary,Neural progenitor cell,ATAD2,77,54,0.7012987012987013,2.335127660406712
G5_B_2_Ovary,Luminal progenitor cell,ATAD2,25,1,0.04,1.1299167484759327
G5_B_2_Ovary,Gonadal mitotic phase fetal germ cell,BRDT,462,1,0.0021645021645021645,3.0582917947342145
G5_B_2_Ovary,Zygote,BRDT,187,0,0.0,
G5_B_2_Ovary,CD4+ T cell,BRDT,469,2,0.0042643923240938165,3.817664529603201
G5_B_2_Ovary,Lymphoid progenitor cell,BRDT,239,3,0.012552301255230125,2.2931906473495105
G5_B_2_Ovary,Endothelial cell,BRDT,102,1,0.00980392156862745,1.2854747133788829
G5_B_2_Ovary,Embryonic stem cell,BRDT,399,0,0.0,
G5_B_2_Ovary,Trophectoderm cell,BRDT,267,4,0.0149812734082397,1.6068153356464872
G5_B_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,BRDT,153,45,0.29411764705882354,2.6988331273822768
G5_B_2_Ovary,Mesenchymal stem cell,BRDT,505,2,0.0039603960396039604,4.738068302639655
G5_B_2_Ovary,Mitotic arrest phase fetal germ cell,BRDT,113,71,0.6283185840707964,5.9217044675370625
G5_B_2_Ovary,Mesenchymal cell,BRDT,465,0,0.0,
G5_B_2_Ovary,Astrocyte,BRDT,198,0,0.0,
G5_B_2_Ovary,Plasmacytoid dendritic cell,BRDT,166,1,0.006024096385542169,5.718199079539954
G5_B_2_Ovary,Fibroblast,BRDT,13,0,0.0,
G5_B_2_Ovary,Neural progenitor cell,BRDT,77,0,0.0,
G5_B_2_Ovary,Luminal progenitor cell,BRDT,25,3,0.12,2.7198900233046746
G5_B_2_Ovary,Gonadal mitotic phase fetal germ cell,CABYR,462,8,0.017316017316017316,1.6152101639397973
G5_B_2_Ovary,Zygote,CABYR,187,0,0.0,
G5_B_2_Ovary,CD4+ T cell,CABYR,469,12,0.0255863539445629,1.5224376545387255
G5_B_2_Ovary,Lymphoid progenitor cell,CABYR,239,13,0.05439330543933055,2.2117714859592983
G5_B_2_Ovary,Endothelial cell,CABYR,102,0,0.0,
G5_B_2_Ovary,Embryonic stem cell,CABYR,399,11,0.02756892230576441,1.8405981644673277
G5_B_2_Ovary,Trophectoderm cell,CABYR,267,7,0.026217228464419477,2.2072384439247075
G5_B_2_Ovary,Retinoid acid signaling-responsive fetal germ cell,CABYR,153,55,0.35947712418300654,1.9491348219639923
G5_B_2_Ovary,Mesenchymal stem cell,CABYR,505,1,0.0019801980198019802,1.5513708100367654
G5_B_2_Ovary,Mitotic arrest phase fetal germ cell,CABYR,113,73,0.6460176991150443,5.409823791562363
G5_B_2_Ovary,Mesenchymal cell,CABYR,465,6,0.012903225806451613,2.1147261817740723
G5_B_2_Ovary,Astrocyte,CABYR,198,5,0.025252525252525252,1.282619791131469
G5_B_2_Ovary,Plasmacytoid dendritic cell,CABYR,166,3,0.018072289156626505,2.750621323905488
G5_B_2_Ovary,Fibroblast,CABYR,13,1,0.07692307692307693,5.232964779379495
G5_B_2_Ovary,Neural progenitor cell,CABYR,77,1,0.012987012987012988,2.540748157373585
G5_B_2_Ovary,Luminal progenitor cell,CABYR,25,7,0.28,4.100544439389085
