sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G6_A_Mixed,Leydig cell,ARX,948,71,0.07489451476793249,2.529387419447956
G6_A_Mixed,Lymphoid progenitor cell,ARX,1178,99,0.08404074702886248,2.9093287021685166
G6_A_Mixed,Neutrophil,ARX,1015,33,0.03251231527093596,2.869992935950684
G6_A_Mixed,Leydig precursor cell,ARX,1409,218,0.1547196593328602,3.972715646731682
G6_A_Mixed,Sertoli cell,ARX,1727,6,0.003474232773595831,2.573112469802554
G6_A_Mixed,Luminal progenitor cell,ARX,786,189,0.24045801526717558,2.9994470031338034
G6_A_Mixed,Neural progenitor cell,ARX,736,104,0.14130434782608695,2.7792639932799457
G6_A_Mixed,Monocyte,ARX,1226,16,0.013050570962479609,3.338939241890257
G6_A_Mixed,Granulosa cell,ARX,566,174,0.30742049469964666,3.5423975837228037
G6_A_Mixed,Fibroblast,ARX,1019,155,0.1521099116781158,3.7360927051272075
G6_A_Mixed,Endothelial cell,ARX,552,5,0.009057971014492754,2.5488375336905023
G6_A_Mixed,Trophectoderm cell,ARX,2108,22,0.010436432637571158,1.9519540055146116
G6_A_Mixed,Erythrocyte,ARX,210,0,0.0,
G6_A_Mixed,Spermatogonium,ARX,401,8,0.0199501246882793,1.103728046862758
G6_A_Mixed,Natural killer (NK) cell,ARX,459,14,0.030501089324618737,3.249227977710894
G6_A_Mixed,Blastomere,ARX,160,20,0.125,2.6231686041047273
G6_A_Mixed,Basal epithelial cell,ARX,93,0,0.0,
G6_A_Mixed,Mesoderm cell,ARX,110,0,0.0,
G6_A_Mixed,Platelet,ARX,82,1,0.012195121951219513,4.457501829522445
G6_A_Mixed,Microglial cell,ARX,73,0,0.0,
G6_A_Mixed,Leydig cell,CT69,948,0,0.0,
G6_A_Mixed,Lymphoid progenitor cell,CT69,1178,0,0.0,
G6_A_Mixed,Neutrophil,CT69,1015,2,0.0019704433497536944,10.0
G6_A_Mixed,Leydig precursor cell,CT69,1409,0,0.0,
G6_A_Mixed,Sertoli cell,CT69,1727,1,0.0005790387955993051,10.0
G6_A_Mixed,Luminal progenitor cell,CT69,786,0,0.0,
G6_A_Mixed,Neural progenitor cell,CT69,736,1,0.001358695652173913,10.0
G6_A_Mixed,Monocyte,CT69,1226,1,0.0008156606851549756,10.0
G6_A_Mixed,Granulosa cell,CT69,566,0,0.0,
G6_A_Mixed,Fibroblast,CT69,1019,0,0.0,
G6_A_Mixed,Endothelial cell,CT69,552,2,0.0036231884057971015,10.0
G6_A_Mixed,Trophectoderm cell,CT69,2108,3,0.0014231499051233396,10.0
G6_A_Mixed,Erythrocyte,CT69,210,0,0.0,
G6_A_Mixed,Spermatogonium,CT69,401,0,0.0,
G6_A_Mixed,Natural killer (NK) cell,CT69,459,3,0.006535947712418301,10.0
G6_A_Mixed,Blastomere,CT69,160,0,0.0,
G6_A_Mixed,Basal epithelial cell,CT69,93,0,0.0,
G6_A_Mixed,Mesoderm cell,CT69,110,0,0.0,
G6_A_Mixed,Platelet,CT69,82,1,0.012195121951219513,10.0
G6_A_Mixed,Microglial cell,CT69,73,0,0.0,
G6_A_Mixed,Leydig cell,CTAG2,948,0,0.0,
G6_A_Mixed,Lymphoid progenitor cell,CTAG2,1178,13,0.011035653650254669,9.657228357331874
G6_A_Mixed,Neutrophil,CTAG2,1015,0,0.0,
G6_A_Mixed,Leydig precursor cell,CTAG2,1409,7,0.0049680624556423,9.738841017932126
G6_A_Mixed,Sertoli cell,CTAG2,1727,1,0.0005790387955993051,10.0
G6_A_Mixed,Luminal progenitor cell,CTAG2,786,8,0.010178117048346057,9.632993853767925
G6_A_Mixed,Neural progenitor cell,CTAG2,736,3,0.004076086956521739,10.0
G6_A_Mixed,Monocyte,CTAG2,1226,0,0.0,
G6_A_Mixed,Granulosa cell,CTAG2,566,11,0.019434628975265017,10.0
G6_A_Mixed,Fibroblast,CTAG2,1019,4,0.003925417075564278,10.0
G6_A_Mixed,Endothelial cell,CTAG2,552,1,0.0018115942028985507,10.0
G6_A_Mixed,Trophectoderm cell,CTAG2,2108,0,0.0,
G6_A_Mixed,Erythrocyte,CTAG2,210,2,0.009523809523809525,10.0
G6_A_Mixed,Spermatogonium,CTAG2,401,33,0.08229426433915212,7.586524145827028
G6_A_Mixed,Natural killer (NK) cell,CTAG2,459,0,0.0,
G6_A_Mixed,Blastomere,CTAG2,160,0,0.0,
G6_A_Mixed,Basal epithelial cell,CTAG2,93,0,0.0,
G6_A_Mixed,Mesoderm cell,CTAG2,110,0,0.0,
G6_A_Mixed,Platelet,CTAG2,82,0,0.0,
G6_A_Mixed,Microglial cell,CTAG2,73,0,0.0,
G6_A_Mixed,Leydig cell,CTCFL,948,1,0.0010548523206751054,10.0
G6_A_Mixed,Lymphoid progenitor cell,CTCFL,1178,0,0.0,
G6_A_Mixed,Neutrophil,CTCFL,1015,0,0.0,
G6_A_Mixed,Leydig precursor cell,CTCFL,1409,3,0.0021291696238466998,10.0
G6_A_Mixed,Sertoli cell,CTCFL,1727,2,0.0011580775911986102,10.0
G6_A_Mixed,Luminal progenitor cell,CTCFL,786,1,0.001272264631043257,10.0
G6_A_Mixed,Neural progenitor cell,CTCFL,736,1,0.001358695652173913,6.372027514994862
G6_A_Mixed,Monocyte,CTCFL,1226,0,0.0,
G6_A_Mixed,Granulosa cell,CTCFL,566,0,0.0,
G6_A_Mixed,Fibroblast,CTCFL,1019,3,0.002944062806673209,10.0
G6_A_Mixed,Endothelial cell,CTCFL,552,0,0.0,
G6_A_Mixed,Trophectoderm cell,CTCFL,2108,2,0.0009487666034155598,10.0
