sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G6_B_Mixed,Lymphoid progenitor cell,ARMC3,1253,3,0.0023942537909018356,9.884287212872996
G6_B_Mixed,Neural progenitor cell,ARMC3,774,1,0.0012919896640826874,7.757070974701477
G6_B_Mixed,Blastomere,ARMC3,337,0,0.0,
G6_B_Mixed,Mesoderm cell,ARMC3,787,0,0.0,
G6_B_Mixed,Monocyte,ARMC3,1384,1,0.000722543352601156,9.694532541884
G6_B_Mixed,Sertoli cell,ARMC3,2462,0,0.0,
G6_B_Mixed,Fibroblast,ARMC3,791,0,0.0,
G6_B_Mixed,Leydig cell,ARMC3,907,0,0.0,
G6_B_Mixed,Leydig precursor cell,ARMC3,1251,0,0.0,
G6_B_Mixed,Zygote,ARMC3,500,0,0.0,
G6_B_Mixed,Plasmacytoid dendritic cell,ARMC3,217,0,0.0,
G6_B_Mixed,Trophectoderm cell,ARMC3,930,7,0.007526881720430108,9.650374600853
G6_B_Mixed,Stromal cell,ARMC3,417,0,0.0,
G6_B_Mixed,Spermatogonium,ARMC3,340,2,0.0058823529411764705,8.291485893971744
G6_B_Mixed,Granulosa cell,ARMC3,753,1,0.0013280212483399733,10.0
G6_B_Mixed,Luminal progenitor cell,ARMC3,487,3,0.006160164271047228,10.0
G6_B_Mixed,Erythrocyte,ARMC3,252,28,0.1111111111111111,9.930909882980217
G6_B_Mixed,Basal epithelial cell,ARMC3,113,0,0.0,
G6_B_Mixed,Platelet,ARMC3,72,0,0.0,
G6_B_Mixed,Endothelial cell,ARMC3,255,0,0.0,
G6_B_Mixed,Microglial cell,ARMC3,71,0,0.0,
G6_B_Mixed,Oligodendrocyte progenitor cell,ARMC3,9,0,0.0,
G6_B_Mixed,Lymphoid progenitor cell,ARX,1253,155,0.12370311252992817,2.6024781740418717
G6_B_Mixed,Neural progenitor cell,ARX,774,179,0.23126614987080105,2.5395102960281295
G6_B_Mixed,Blastomere,ARX,337,43,0.12759643916913946,1.89778569508169
G6_B_Mixed,Mesoderm cell,ARX,787,15,0.01905972045743329,2.706376462683002
G6_B_Mixed,Monocyte,ARX,1384,22,0.015895953757225433,2.770312138168894
G6_B_Mixed,Sertoli cell,ARX,2462,11,0.004467912266450041,2.3202808386946083
G6_B_Mixed,Fibroblast,ARX,791,115,0.14538558786346398,3.517281088598309
G6_B_Mixed,Leydig cell,ARX,907,97,0.10694597574421169,1.9989880367336612
G6_B_Mixed,Leydig precursor cell,ARX,1251,204,0.1630695443645084,3.6252427425855256
G6_B_Mixed,Zygote,ARX,500,26,0.052,2.7512236067775904
G6_B_Mixed,Plasmacytoid dendritic cell,ARX,217,1,0.004608294930875576,2.909122645104113
G6_B_Mixed,Trophectoderm cell,ARX,930,25,0.026881720430107527,1.5693030849063345
G6_B_Mixed,Stromal cell,ARX,417,5,0.011990407673860911,1.8083608028578055
G6_B_Mixed,Spermatogonium,ARX,340,1,0.0029411764705882353,1.8994367194703239
G6_B_Mixed,Granulosa cell,ARX,753,344,0.45683930942895085,3.0389252313955994
G6_B_Mixed,Luminal progenitor cell,ARX,487,136,0.2792607802874743,2.5804176949955497
G6_B_Mixed,Erythrocyte,ARX,252,2,0.007936507936507936,1.5610394934601055
G6_B_Mixed,Basal epithelial cell,ARX,113,8,0.07079646017699115,3.1723271214251607
G6_B_Mixed,Platelet,ARX,72,1,0.013888888888888888,1.7800278008398864
G6_B_Mixed,Endothelial cell,ARX,255,1,0.00392156862745098,2.829788389142465
G6_B_Mixed,Microglial cell,ARX,71,1,0.014084507042253521,1.0503110340892337
