sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G_1_2_M_Mesonephros,Embryonic stem cell,BRDT,1221,1,0.000819000819000819,10.0
G_1_2_M_Mesonephros,Neutrophil,BRDT,696,0,0.0,
G_1_2_M_Mesonephros,Mesodermal embryonic stem cell,BRDT,492,0,0.0,
G_1_2_M_Mesonephros,Fibroblast,BRDT,386,0,0.0,
G_1_2_M_Mesonephros,Macrophage,BRDT,154,0,0.0,
G_1_2_M_Mesonephros,Erythrocyte,BRDT,740,0,0.0,
G_1_2_M_Mesonephros,Trophectoderm cell,BRDT,572,0,0.0,
G_1_2_M_Mesonephros,Meiotic prophase fetal germ cell,BRDT,439,6,0.01366742596810934,10.0
G_1_2_M_Mesonephros,Granulosa cell,BRDT,471,0,0.0,
G_1_2_M_Mesonephros,Leydig precursor cell,BRDT,1906,0,0.0,
G_1_2_M_Mesonephros,Sertoli cell,BRDT,1103,0,0.0,
G_1_2_M_Mesonephros,Neural progenitor cell,BRDT,327,0,0.0,
G_1_2_M_Mesonephros,Mesenchymal stem cell,BRDT,318,0,0.0,
G_1_2_M_Mesonephros,Endothelial cell,BRDT,71,0,0.0,
G_1_2_M_Mesonephros,Dendritic cell progenitor,BRDT,107,1,0.009345794392523364,10.0
G_1_2_M_Mesonephros,Microglial cell,BRDT,35,0,0.0,
G_1_2_M_Mesonephros,Embryonic stem cell,CTAG2,1221,6,0.004914004914004914,9.098266923242155
G_1_2_M_Mesonephros,Neutrophil,CTAG2,696,7,0.010057471264367816,9.869858467623079
G_1_2_M_Mesonephros,Mesodermal embryonic stem cell,CTAG2,492,0,0.0,
G_1_2_M_Mesonephros,Fibroblast,CTAG2,386,2,0.0051813471502590676,8.248668642026228
G_1_2_M_Mesonephros,Macrophage,CTAG2,154,0,0.0,
G_1_2_M_Mesonephros,Erythrocyte,CTAG2,740,4,0.005405405405405406,8.394546551871603
G_1_2_M_Mesonephros,Trophectoderm cell,CTAG2,572,0,0.0,
G_1_2_M_Mesonephros,Meiotic prophase fetal germ cell,CTAG2,439,2,0.004555808656036446,7.867562341826442
G_1_2_M_Mesonephros,Granulosa cell,CTAG2,471,7,0.014861995753715499,9.18648575474008
G_1_2_M_Mesonephros,Leydig precursor cell,CTAG2,1906,11,0.005771248688352571,9.527922596850065
G_1_2_M_Mesonephros,Sertoli cell,CTAG2,1103,1,0.0009066183136899365,3.8661728854377975
G_1_2_M_Mesonephros,Neural progenitor cell,CTAG2,327,2,0.0061162079510703364,7.9555390515950375
G_1_2_M_Mesonephros,Mesenchymal stem cell,CTAG2,318,0,0.0,
G_1_2_M_Mesonephros,Endothelial cell,CTAG2,71,1,0.014084507042253521,10.0
G_1_2_M_Mesonephros,Dendritic cell progenitor,CTAG2,107,2,0.018691588785046728,7.206883086985226
G_1_2_M_Mesonephros,Microglial cell,CTAG2,35,0,0.0,
G_1_2_M_Mesonephros,Embryonic stem cell,CTCFL,1221,1,0.000819000819000819,10.0
G_1_2_M_Mesonephros,Neutrophil,CTCFL,696,0,0.0,
G_1_2_M_Mesonephros,Mesodermal embryonic stem cell,CTCFL,492,2,0.0040650406504065045,10.0
G_1_2_M_Mesonephros,Fibroblast,CTCFL,386,0,0.0,
G_1_2_M_Mesonephros,Macrophage,CTCFL,154,0,0.0,
G_1_2_M_Mesonephros,Erythrocyte,CTCFL,740,2,0.002702702702702703,10.0
G_1_2_M_Mesonephros,Trophectoderm cell,CTCFL,572,1,0.0017482517482517483,10.0
