sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
G_2_F_Mesonephros,Hemangioblast,CCDC83,103,0,0.0,
G_2_F_Mesonephros,Platelet,CCDC83,218,0,0.0,
G_2_F_Mesonephros,Neuron,CCDC83,192,0,0.0,
G_2_F_Mesonephros,Plasma cell,CCDC83,352,2,0.005681818181818182,10.0
G_2_F_Mesonephros,Fibroblast,CCDC83,696,0,0.0,
G_2_F_Mesonephros,Granulosa cell,CCDC83,235,0,0.0,
G_2_F_Mesonephros,Primitive endoderm cell,CCDC83,167,0,0.0,
G_2_F_Mesonephros,Trophectoderm cell,CCDC83,559,0,0.0,
G_2_F_Mesonephros,Mesoderm cell,CCDC83,690,0,0.0,
G_2_F_Mesonephros,Mesenchymal stem cell,CCDC83,366,1,0.00273224043715847,10.0
G_2_F_Mesonephros,Neural progenitor cell,CCDC83,70,0,0.0,
G_2_F_Mesonephros,Granulocyte-monocyte progenitor,CCDC83,298,0,0.0,
G_2_F_Mesonephros,Basal epithelial cell,CCDC83,395,1,0.002531645569620253,10.0
G_2_F_Mesonephros,Luminal progenitor cell,CCDC83,88,0,0.0,
G_2_F_Mesonephros,Mesenchymal cell,CCDC83,193,0,0.0,
G_2_F_Mesonephros,Stromal cell,CCDC83,23,0,0.0,
G_2_F_Mesonephros,B cell,CCDC83,37,0,0.0,
G_2_F_Mesonephros,Plasmacytoid dendritic cell,CCDC83,77,0,0.0,
G_2_F_Mesonephros,Oligodendrocyte progenitor cell,CCDC83,8,0,0.0,
G_2_F_Mesonephros,Lymphoid progenitor cell,CCDC83,8,0,0.0,
G_2_F_Mesonephros,Hemangioblast,CT69,103,0,0.0,
G_2_F_Mesonephros,Platelet,CT69,218,0,0.0,
G_2_F_Mesonephros,Neuron,CT69,192,1,0.005208333333333333,10.0
G_2_F_Mesonephros,Plasma cell,CT69,352,2,0.005681818181818182,7.231349235669214
G_2_F_Mesonephros,Fibroblast,CT69,696,4,0.005747126436781609,7.504490998905355
G_2_F_Mesonephros,Granulosa cell,CT69,235,0,0.0,
G_2_F_Mesonephros,Primitive endoderm cell,CT69,167,2,0.011976047904191617,8.826371070367093
G_2_F_Mesonephros,Trophectoderm cell,CT69,559,2,0.0035778175313059034,6.458700972533883
G_2_F_Mesonephros,Mesoderm cell,CT69,690,6,0.008695652173913044,8.05920523313513
G_2_F_Mesonephros,Mesenchymal stem cell,CT69,366,2,0.00546448087431694,8.023267898647642
G_2_F_Mesonephros,Neural progenitor cell,CT69,70,0,0.0,
G_2_F_Mesonephros,Granulocyte-monocyte progenitor,CT69,298,0,0.0,
G_2_F_Mesonephros,Basal epithelial cell,CT69,395,2,0.005063291139240506,7.395594059788352
G_2_F_Mesonephros,Luminal progenitor cell,CT69,88,0,0.0,
G_2_F_Mesonephros,Mesenchymal cell,CT69,193,1,0.0051813471502590676,9.456721373732176
G_2_F_Mesonephros,Stromal cell,CT69,23,0,0.0,
G_2_F_Mesonephros,B cell,CT69,37,0,0.0,
G_2_F_Mesonephros,Plasmacytoid dendritic cell,CT69,77,2,0.025974025974025976,9.23886723498034
G_2_F_Mesonephros,Oligodendrocyte progenitor cell,CT69,8,0,0.0,
G_2_F_Mesonephros,Lymphoid progenitor cell,CT69,8,0,0.0,
G_2_F_Mesonephros,Hemangioblast,CTCFL,103,0,0.0,
G_2_F_Mesonephros,Platelet,CTCFL,218,1,0.0045871559633027525,10.0
G_2_F_Mesonephros,Neuron,CTCFL,192,1,0.005208333333333333,10.0
G_2_F_Mesonephros,Plasma cell,CTCFL,352,3,0.008522727272727272,10.0
G_2_F_Mesonephros,Fibroblast,CTCFL,696,1,0.0014367816091954023,10.0
G_2_F_Mesonephros,Granulosa cell,CTCFL,235,1,0.00425531914893617,10.0
G_2_F_Mesonephros,Primitive endoderm cell,CTCFL,167,0,0.0,
G_2_F_Mesonephros,Trophectoderm cell,CTCFL,559,5,0.008944543828264758,6.50289532205273
G_2_F_Mesonephros,Mesoderm cell,CTCFL,690,1,0.0014492753623188406,9.263881555973
G_2_F_Mesonephros,Mesenchymal stem cell,CTCFL,366,0,0.0,
G_2_F_Mesonephros,Neural progenitor cell,CTCFL,70,0,0.0,
G_2_F_Mesonephros,Granulocyte-monocyte progenitor,CTCFL,298,1,0.003355704697986577,8.632881625271317
G_2_F_Mesonephros,Basal epithelial cell,CTCFL,395,3,0.007594936708860759,8.533305590686881
G_2_F_Mesonephros,Luminal progenitor cell,CTCFL,88,1,0.011363636363636364,6.156880484409584
G_2_F_Mesonephros,Mesenchymal cell,CTCFL,193,0,0.0,
G_2_F_Mesonephros,Stromal cell,CTCFL,23,0,0.0,
G_2_F_Mesonephros,B cell,CTCFL,37,0,0.0,
G_2_F_Mesonephros,Plasmacytoid dendritic cell,CTCFL,77,0,0.0,
G_2_F_Mesonephros,Oligodendrocyte progenitor cell,CTCFL,8,0,0.0,
G_2_F_Mesonephros,Lymphoid progenitor cell,CTCFL,8,0,0.0,
G_2_F_Mesonephros,Hemangioblast,FAM133A,103,0,0.0,
G_2_F_Mesonephros,Platelet,FAM133A,218,0,0.0,
G_2_F_Mesonephros,Neuron,FAM133A,192,1,0.005208333333333333,10.0
G_2_F_Mesonephros,Plasma cell,FAM133A,352,2,0.005681818181818182,7.243162916447593
G_2_F_Mesonephros,Fibroblast,FAM133A,696,6,0.008620689655172414,10.0
G_2_F_Mesonephros,Granulosa cell,FAM133A,235,1,0.00425531914893617,7.9590759150154335
G_2_F_Mesonephros,Primitive endoderm cell,FAM133A,167,0,0.0,
G_2_F_Mesonephros,Trophectoderm cell,FAM133A,559,1,0.0017889087656529517,5.010591578535285
G_2_F_Mesonephros,Mesoderm cell,FAM133A,690,0,0.0,
G_2_F_Mesonephros,Mesenchymal stem cell,FAM133A,366,1,0.00273224043715847,7.874397678572554
G_2_F_Mesonephros,Neural progenitor cell,FAM133A,70,0,0.0,
G_2_F_Mesonephros,Granulocyte-monocyte progenitor,FAM133A,298,0,0.0,
G_2_F_Mesonephros,Basal epithelial cell,FAM133A,395,3,0.007594936708860759,8.014460586902208
G_2_F_Mesonephros,Luminal progenitor cell,FAM133A,88,0,0.0,
G_2_F_Mesonephros,Mesenchymal cell,FAM133A,193,1,0.0051813471502590676,6.906984773550606
G_2_F_Mesonephros,Stromal cell,FAM133A,23,0,0.0,
G_2_F_Mesonephros,B cell,FAM133A,37,0,0.0,
G_2_F_Mesonephros,Plasmacytoid dendritic cell,FAM133A,77,0,0.0,
G_2_F_Mesonephros,Oligodendrocyte progenitor cell,FAM133A,8,0,0.0,
G_2_F_Mesonephros,Lymphoid progenitor cell,FAM133A,8,0,0.0,
G_2_F_Mesonephros,Hemangioblast,IL13RA2,103,3,0.02912621359223301,0.36148399691847005
G_2_F_Mesonephros,Platelet,IL13RA2,218,100,0.45871559633027525,1.9433583319754313
G_2_F_Mesonephros,Neuron,IL13RA2,192,1,0.005208333333333333,1.5276139263699693
G_2_F_Mesonephros,Plasma cell,IL13RA2,352,60,0.17045454545454544,1.7070712027489325
G_2_F_Mesonephros,Fibroblast,IL13RA2,696,90,0.12931034482758622,0.902627896975782
G_2_F_Mesonephros,Granulosa cell,IL13RA2,235,84,0.3574468085106383,1.4390865980753649
G_2_F_Mesonephros,Primitive endoderm cell,IL13RA2,167,5,0.029940119760479042,0.5444103280862627
G_2_F_Mesonephros,Trophectoderm cell,IL13RA2,559,33,0.059033989266547404,0.9756046917128023
G_2_F_Mesonephros,Mesoderm cell,IL13RA2,690,260,0.37681159420289856,1.3632684676593128
G_2_F_Mesonephros,Mesenchymal stem cell,IL13RA2,366,165,0.45081967213114754,1.4194352161806443
G_2_F_Mesonephros,Neural progenitor cell,IL13RA2,70,26,0.37142857142857144,1.2633769504770098
G_2_F_Mesonephros,Granulocyte-monocyte progenitor,IL13RA2,298,145,0.4865771812080537,1.8132133209944288
G_2_F_Mesonephros,Basal epithelial cell,IL13RA2,395,166,0.42025316455696204,1.4816494887530578
G_2_F_Mesonephros,Luminal progenitor cell,IL13RA2,88,16,0.18181818181818182,0.8619368994334038
G_2_F_Mesonephros,Mesenchymal cell,IL13RA2,193,33,0.17098445595854922,0.9102574675539227
G_2_F_Mesonephros,Stromal cell,IL13RA2,23,0,0.0,
G_2_F_Mesonephros,B cell,IL13RA2,37,9,0.24324324324324326,0.5388359472603106
G_2_F_Mesonephros,Plasmacytoid dendritic cell,IL13RA2,77,27,0.35064935064935066,1.5441732214730122
G_2_F_Mesonephros,Oligodendrocyte progenitor cell,IL13RA2,8,0,0.0,
G_2_F_Mesonephros,Lymphoid progenitor cell,IL13RA2,8,0,0.0,
G_2_F_Mesonephros,Hemangioblast,LY6K,103,2,0.019417475728155338,1.7564563004148863
G_2_F_Mesonephros,Platelet,LY6K,218,19,0.0871559633027523,2.1756281183438073
G_2_F_Mesonephros,Neuron,LY6K,192,6,0.03125,5.026625263103789
G_2_F_Mesonephros,Plasma cell,LY6K,352,55,0.15625,3.3334049944773954
G_2_F_Mesonephros,Fibroblast,LY6K,696,25,0.035919540229885055,3.098636327323433
G_2_F_Mesonephros,Granulosa cell,LY6K,235,9,0.03829787234042553,2.319297043285913
G_2_F_Mesonephros,Primitive endoderm cell,LY6K,167,27,0.16167664670658682,3.489903253060341
G_2_F_Mesonephros,Trophectoderm cell,LY6K,559,38,0.06797853309481217,1.7155208544167369
G_2_F_Mesonephros,Mesoderm cell,LY6K,690,50,0.07246376811594203,3.399366542812383
G_2_F_Mesonephros,Mesenchymal stem cell,LY6K,366,35,0.09562841530054644,2.967839711595547
G_2_F_Mesonephros,Neural progenitor cell,LY6K,70,11,0.15714285714285714,2.7887417782394475
G_2_F_Mesonephros,Granulocyte-monocyte progenitor,LY6K,298,33,0.11073825503355705,2.3494923883026346
G_2_F_Mesonephros,Basal epithelial cell,LY6K,395,16,0.04050632911392405,1.9142486857442496
G_2_F_Mesonephros,Luminal progenitor cell,LY6K,88,3,0.03409090909090909,1.0250164504985928
G_2_F_Mesonephros,Mesenchymal cell,LY6K,193,12,0.06217616580310881,2.251300130819876
G_2_F_Mesonephros,Stromal cell,LY6K,23,2,0.08695652173913043,2.538556017398471
G_2_F_Mesonephros,B cell,LY6K,37,5,0.13513513513513514,1.5122202527144115
G_2_F_Mesonephros,Plasmacytoid dendritic cell,LY6K,77,5,0.06493506493506493,2.4333362026871668
G_2_F_Mesonephros,Oligodendrocyte progenitor cell,LY6K,8,0,0.0,
G_2_F_Mesonephros,Lymphoid progenitor cell,LY6K,8,1,0.125,1.3120093017801764
G_2_F_Mesonephros,Hemangioblast,PAGE4,103,0,0.0,
G_2_F_Mesonephros,Platelet,PAGE4,218,9,0.04128440366972477,3.5595535212151126
G_2_F_Mesonephros,Neuron,PAGE4,192,9,0.046875,8.156472131548563
G_2_F_Mesonephros,Plasma cell,PAGE4,352,5,0.014204545454545454,4.1102542374968705
