names,logfoldchanges,pvals_adj,leiden_cluster,rank
FAM27E3,1.894097,0.04969023897081247,0,1
AC021422.1,1.8202775,0.04961664249765088,0,2
AC104964.4,1.9696714,0.04961664249765088,0,3
STARD8,1.7316722,0.04961664249765088,0,4
NKG7,1.3644391,0.04947622603837808,0,5
RETN,1.6889943,0.04936519677860132,0,6
CLEC7A,1.7104715,0.04931508794416921,0,7
CSF2RB,1.6593261,0.04921463525494639,0,8
GREB1L,1.8475536,0.04921463525494639,0,9
KLRC2,1.7689006,0.04921463525494639,0,10
CRHBP,1.3909177,0.048845575125965594,1,1
LY86,1.4740804,0.04554606089546803,1,2
TMIGD2,1.5564184,0.045411258473775494,1,3
PLVAP,5.2368364,0.04475763584964042,1,4
OAZ3,1.7836876,0.043286591274893635,1,5
CSF3R,1.5587083,0.0429482018033085,1,6
BATF,1.5738597,0.042196173519912464,1,7
TULP2,1.5898716,0.042196173519912464,1,8
PIEZO1,3.4594045,0.042122195059614786,1,9
PCED1B-AS1,1.6083583,0.041593146107200114,1,10
CXCL14,4.9026265,0.04875498253141481,10,1
EFCAB13,1.4883586,0.04565520234580759,10,2
LY86,1.3290337,0.044217434918158265,10,3
AL391650.1,1.3622856,0.042644737866926935,10,4
CSF3R,1.4007027,0.041687325577981785,10,5
GPR65,1.3674296,0.04160647848971936,10,6
TULP2,1.426848,0.041138209918108674,10,7
IL2RB,1.4509231,0.041138209918108674,10,8
FTCD,1.4712209,0.041138209918108674,10,9
AC007014.2,1.4901686,0.04085692770809311,10,10
LYZ,1.3651761,0.04985093798547663,11,1
AC020656.1,1.2674805,0.04411815944311781,11,2
CSF1R,1.3746827,0.03851486263968434,11,3
GPM6A,1.6087058,0.035280113012171314,11,4
HPGDS,1.4390376,0.03458228958994153,11,5
AC022819.1,1.572123,0.034465072994099746,11,6
BAIAP2L2,1.5153042,0.03354454982597273,11,7
CGA,1.4943329,0.03305410883701167,11,8
DIPK2B,1.5148482,0.03305410883701167,11,9
CTSW,1.6754355,0.03305410883701167,11,10
AC020656.1,1.262686,0.04461703261130525,12,1
CSF1R,1.3692435,0.03895288443270406,12,2
SSUH2,1.4930998,0.038630173639395145,12,3
HPGDS,1.4331868,0.035046382405056434,12,4
AC022819.1,1.5653832,0.034928481161572614,12,5
