names,logfoldchanges,pvals_adj,leiden_cluster,rank
AC069224.1,2.617882,0.049700257417744816,0,1
CLDN1,6.4373,0.048477012426970716,0,2
MYO15B,2.4340763,0.04821314840559072,0,3
C2orf16,1.0873458,0.0470179656041577,0,4
KC877982.1,1.1777403,0.04693933913322566,0,5
CACNA2D3,2.8814204,0.046888452827103765,0,6
AC124248.1,1.0907369,0.046653596185751926,0,7
CKMT2,3.2261786,0.046020250703048514,0,8
SMIM6,1.1189506,0.04552782132775104,0,9
AC141424.1,1.1615688,0.04551342594602669,0,10
SPIB,2.3016245,0.04993906132127688,1,1
TNFSF13B,3.5114214,0.048741645543433,1,2
C2orf16,1.0812286,0.047514259402711284,1,3
KC877982.1,1.1708757,0.047435205879772825,1,4
OLFML1,3.8123357,0.046615853170914434,1,5
SMIM6,1.112571,0.045861387607239984,1,6
GBP5,1.0366764,0.04553971427628355,1,7
USP18,5.983624,0.04574824898869771,1,8
SOX21,1.1894264,0.04492020728603356,1,9
AL031772.1,1.0360827,0.04467901475316933,1,10
C4orf50,1.0260317,0.04533993143368721,10,1
AL732509.1,1.1753848,0.042681730196611554,10,2
AL355338.1,1.0667515,0.04128867421386806,10,3
AC068790.5,1.1259197,0.04081997580165454,10,4
AL359813.1,1.2581313,0.040193704974912536,10,5
AC123512.1,1.1734493,0.03905648731282347,10,6
ADIRF,6.9946938,0.032672333531102625,10,7
HSD17B2,1.0090715,0.028141304018079665,10,8
LINC00536,1.0045046,0.028074504726114502,10,9
SATB2-AS1,1.1136973,0.02728288944430514,10,10
TRBC2,6.6069684,0.048047749073714355,11,1
C4orf50,1.0250071,0.04171054582828939,11,2
LDB2,3.7938755,0.04254796118048474,11,3
AP005131.6,1.0563054,0.039665132805237875,11,4
AL732509.1,1.1741412,0.03949656902948185,11,5
SLITRK6,1.0503827,0.03847572471352241,11,6
AL355338.1,1.0656686,0.03814830633836846,11,7
AC068790.5,1.1247507,0.03771138093727291,11,8
AL359813.1,1.2567552,0.03707483669357048,11,9
AC123512.1,1.172207,0.036063507509871535,11,10
HIST1H2BO,1.0367137,0.04759293728123419,12,1
AC099343.3,3.8152618,0.04815561709147941,12,2
AGXT,3.3756096,0.04605888075105358,12,3
HESX1,2.5241914,0.04571611874655239,12,4
Z93241.1,4.52069,0.04623235503292754,12,5
DIABLO,4.5793796,0.036491867347837215,12,6
AP005131.6,1.0436555,0.030208930310038993,12,7
AL732509.1,1.1594316,0.03007163702535591,12,8
SLITRK6,1.0378277,0.029313484741349167,12,9
AL355338.1,1.0528512,0.029083029645582265,12,10
AL513318.2,1.0930531,0.04492503398893065,13,1
C4orf50,1.0079094,0.04292717549701844,13,2
FAM92B,1.015625,0.04170177985753992,13,3
AP005131.6,1.0384775,0.04114820510310046,13,4
AL732509.1,1.1534165,0.04097524700150145,13,5
SLITRK6,1.0326884,0.04002147686467836,13,6
AC068790.5,1.1052608,0.03917949126782509,13,7
AL359813.1,1.2338406,0.038471902224264276,13,8
AC091806.1,1.1048986,0.03799204355330928,13,9
AC123512.1,1.1515033,0.0374766575389489,13,10
EEF1A2,6.423591,0.04946181138031025,14,1
FAM92B,1.0151256,0.03429101292800761,14,2
CSF3,2.8027198,0.036938313853989845,14,3
AP005131.6,1.0379627,0.03382523716123843,14,4
AL732509.1,1.1528186,0.033675326762366065,14,5
SLITRK6,1.0321774,0.032798935031786554,14,6
AC068790.5,1.1046983,0.032101386166446935,14,7
AC091806.1,1.104336,0.031180254038928764,14,8
AC123512.1,1.1509061,0.030670017281474837,14,9
AP000759.1,1.0417416,0.030563636260494895,14,10
AL513318.2,1.0875471,0.043233043751957044,15,1
C4orf50,1.002993,0.041304523213630165,15,2
FAM92B,1.0106543,0.040009293096991784,15,3
AP005131.6,1.0333529,0.03951877952716287,15,4
SLITRK6,1.0276018,0.0384287888574203,15,5
AL355338.1,1.0424132,0.0381017187128019,15,6
AC068790.5,1.0996625,0.03771230139565529,15,7
AL359813.1,1.2272687,0.037095301387582345,15,8
AC091806.1,1.0993007,0.03665752373100866,15,9
AC123512.1,1.1455598,0.03615526975270339,15,10
AP005131.6,1.0318257,0.04989253695276367,16,1
AL732509.1,1.1456944,0.04970640474268316,16,2
SLITRK6,1.0260861,0.048656371425411446,16,3
AL355338.1,1.0408661,0.04825824871117172,16,4
AC068790.5,1.0979947,0.047796840026676134,16,5
AL359813.1,1.2253115,0.04696213098905807,16,6
AC091806.1,1.0976329,0.046448482789692006,16,7
AC123512.1,1.1437892,0.04585835993865247,16,8
AP000759.1,1.035565,0.045723515069101,16,9
FCN3,1.0121521,0.03496310838389711,16,10
AL513318.2,1.0848156,0.045675068845388606,17,1
GNGT1,1.0218349,0.04494777458027316,17,2
C4orf50,1.0005534,0.043759421703992496,17,3
FAM92B,1.0081879,0.042408915734647806,17,4
FAM221B,1.0419009,0.04203471336654139,17,5
AP005131.6,1.0308102,0.041794838728810305,17,6
AL732509.1,1.144516,0.041620007750725586,17,7
SLITRK6,1.025078,0.04076098796263496,17,8
AL355338.1,1.0398374,0.04041712373224535,17,9
AC068790.5,1.0968857,0.03995719024823273,17,10
AL513318.2,1.0831838,0.048343653084334796,18,1
GNGT1,1.0203345,0.04751628685265037,18,2
FAM92B,1.0067141,0.04492774597184547,18,3
FAM221B,1.040359,0.04460000746997753,18,4
AP005131.6,1.0292909,0.04434903668658236,18,5
AL732509.1,1.1427531,0.04416705912554846,18,6
SLITRK6,1.0235701,0.043212417236016654,18,7
AL355338.1,1.0382981,0.04291137735807699,18,8
AC068790.5,1.0952265,0.04242652407494337,18,9
AL359813.1,1.2220643,0.04172346667089493,18,10
AL513318.2,1.077781,0.04860805293223014,19,1
GNGT1,1.0153658,0.04784196813901762,19,2
FAM92B,1.0018334,0.04505242809336674,19,3
FAM221B,1.0352534,0.04472429791952184,19,4
AP005131.6,1.0242599,0.04447280099822128,19,5
AL732509.1,1.1369182,0.04429048831313585,19,6
SLITRK6,1.0185763,0.043333860360722,19,7
AL355338.1,1.0332018,0.04297187637686433,19,8
LINC02357,1.1929115,0.041622516201158394,19,9
AC091806.1,1.0893729,0.04120781453320466,19,10
AVP,3.0073946,0.049939533223030234,2,1
SMIM6,1.0853832,0.04922665404439962,2,2
GBP5,1.0120765,0.04884449729361258,2,3
SOX21,1.1595097,0.04831267143614176,2,4
AC022154.1,1.0225279,0.04790789131983558,2,5
SCT,4.777207,0.04808595495286818,2,6
UBQLNL,1.0885111,0.04770529880503387,2,7
TPD52L3,1.09086,0.04729682286607995,2,8
AC016590.4,1.2023941,0.04714245932249499,2,9
AL078600.1,1.0928177,0.04697189450702828,2,10
AC022154.1,1.0088794,0.04872250477721257,3,1
UBQLNL,1.0736177,0.04851719599786352,3,2
AC016590.4,1.1852047,0.04794622317756492,3,3
AC138207.2,1.1618717,0.04782353808043323,3,4
AL078600.1,1.0778356,0.04773198860428809,3,5
CHRFAM7A,1.0202672,0.0476927374348307,3,6
AC108676.1,1.1717715,0.04701176764381199,3,7
AL355075.6,1.1739972,0.047001811490705196,3,8
PIGY-DT,1.0204868,0.04690803238299279,3,9
TRAC,1.7763164,0.04702287964878383,3,10
KCNMA1-AS1,1.2247834,0.04924474715133567,4,1
DACT3-AS1,1.0733161,0.04924474715133567,4,2
CCDC146,3.0391948,0.049071077604733775,4,3
KIFC2,5.092061,0.049041459930502004,4,4
LINC01118,2.1738324,0.04518961154633967,4,5
AC093151.3,2.1218808,0.043865042672177536,4,6
SYP,2.4869065,0.0438309119248603,4,7
LINC00243,2.278443,0.042892302984202685,4,8
IFIT1,3.8870018,0.04049375757995195,4,9
MEGF6,2.6226785,0.03967647459773264,4,10
NMRK2,3.6235852,0.049443274391514434,5,1
IQCD,2.5301363,0.04773942694279788,5,2
ACE,2.5449538,0.046572100133198464,5,3
HIST1H3G,5.2388105,0.046104655614108064,5,4
GMFG,2.2379286,0.04243514216515248,5,5
PTCH2,3.2723758,0.04242274904643905,5,6
ENTPD1,2.205562,0.040258237152522795,5,7
CCDC15-DT,3.2839224,0.03914991982854641,5,8
RNF32,3.308719,0.03788528567695395,5,9
SULT2B1,4.2837605,0.037680750935161746,5,10
AC016590.4,1.1384714,0.049963926311904786,6,1
AC138207.2,1.1164669,0.04987978365975937,6,2
STK32B,3.8351169,0.04987978365975937,6,3
AC108676.1,1.1257889,0.04894142370062042,6,4
AL355075.6,1.1278726,0.04894142370062042,6,5
PCSK2,1.6952246,0.04894142370062042,6,6
AC079630.1,1.06696,0.04811316905161262,6,7
KCNMA1-AS1,1.2061886,0.04785019136617529,6,8
DACT3-AS1,1.0579426,0.04785019136617529,6,9
MYCN,5.783867,0.047785208549541075,6,10
AC079630.1,1.0157461,0.04628432490759979,7,1
KCNMA1-AS1,1.1452432,0.045987063654870375,7,2
KCNAB1,3.8412445,0.04663797906626451,7,3
PECAM1,4.567642,0.043219698974310744,7,4
GHR,4.226201,0.042572417848005445,7,5
C18orf63,2.6852262,0.03837895030926361,7,6
IFIT3,3.2075396,0.036097079568207666,7,7
HAND2-AS1,4.367134,0.0349881945480906,7,8
VCX2,2.488271,0.034351150307877595,7,9
CLEC14A,3.759846,0.03427214241331793,7,10
TCP11L2,4.992718,0.049491511784897475,8,1
C3,4.233688,0.046081439333092084,8,2
C4orf50,1.0406035,0.04228269884009072,8,3
SH2D1A,1.0119352,0.040766598844913106,8,4
AP005131.6,1.0725757,0.04021399644160776,8,5
AL732509.1,1.1930916,0.04009434729737238,8,6
AL355338.1,1.0821568,0.038740069330954335,8,7
HLA-DPB1,5.399196,0.0408093285836496,8,8
AC068790.5,1.1425576,0.038332868854499075,8,9
AL359813.1,1.2777389,0.03768737957426936,8,10
DYSF,3.6609142,0.045652330004816145,9,1
RHOXF1,4.4468,0.045141745758247406,9,2
CDH5,4.6178536,0.043829237480697676,9,3
C4orf50,1.0358728,0.04100314688666299,9,4
SH2D1A,1.0073843,0.039575074647633955,9,5
AC239799.2,4.4672647,0.04149476639349105,9,6
AP005131.6,1.0676398,0.039034315298056545,9,7
AL732509.1,1.1873391,0.038867661823792074,9,8
SLITRK6,1.0616314,0.03790876839904527,9,9
AL355338.1,1.0771545,0.037585480835431825,9,10
