names,logfoldchanges,pvals_adj,leiden_cluster,rank
LINC01091,2.4848297,0.04859023849932296,0,1
C4BPB,1.0187423,0.043956620731897114,0,2
HP,1.0154607,0.043461410537734606,0,3
OTOS,1.0844429,0.043461410537734606,0,4
OLR1,2.4348013,0.043584343756114224,0,5
CCDC158,1.8841406,0.043461410537734606,0,6
UNC13C,4.581782,0.04095076536166047,0,7
ICAM2,3.4169438,0.03621305082509975,0,8
FOXQ1,1.7832922,0.03585178445886787,0,9
ARHGAP15,2.9086819,0.0345624087592548,0,10
CA3,3.3705912,0.045578828512537695,1,1
ELF3,4.273492,0.04455995046028177,1,2
C4BPB,1.0029086,0.042366470616336964,1,3
OTOS,1.0671537,0.04188138416500341,1,4
CHST1,2.4112992,0.034474678240644645,1,5
ECSCR,3.0917559,0.03346782047318029,1,6
AC022819.1,1.923059,0.03319359689172303,1,7
ITFG1-AS1,3.3512228,0.032999849214567396,1,8
HBA1,3.8411403,0.032999849214567396,1,9
TMEM100,3.023349,0.03236984508128035,1,10
AP000692.2,3.4704335,0.047101769215108336,10,1
SLC6A19,1.0367286,0.03340384074979532,10,2
MT1G,5.205585,0.033990700200454936,10,3
CCDC146,3.074256,0.03382230986065739,10,4
HBA1,2.915778,0.023782404705730276,10,5
LINC00351,1.0015001,0.020991595603848764,10,6
WDFY3-AS1,1.1464442,0.020915802385693284,10,7
SOX18,4.313137,0.02201361345889427,10,8
KCNV1,1.1636652,0.020592638129131157,10,9
AC108057.1,1.1341497,0.020412452993675438,10,10
NANOS3,4.312176,0.04147060626458548,11,1
SLC6A19,1.0342686,0.024231992332360754,11,2
KCNIP3,4.3696976,0.023165965633292002,11,3
SPRR2F,6.5217414,0.023380156468200415,11,4
KCNV1,1.1607611,0.014438153410682266,11,5
SULT1C4,4.7643566,0.014618807923395007,11,6
ANKRD33B,5.407008,0.014304650765704936,11,7
KLRB1,1.1321373,0.011099264167541258,11,8
AC207130.1,1.0445228,0.011065418417106586,11,9
APLN,5.33249,0.011753672865024796,11,10
GLIPR1L2,3.059299,0.049774216082406696,12,1
FAM167A-AS1,4.5287366,0.04797554243166284,12,2
ELF3,3.272163,0.045824742525732994,12,3
