names,logfoldchanges,pvals_adj,leiden_cluster,rank
HLA-DQB1,1.5901587,0.049571653948384045,0,1
KIF20A,1.9055399,0.046861131495772,0,2
AC008875.3,2.622496,0.0458739157932954,0,3
NDP,1.582173,0.04510890448381271,0,4
THBS4,2.757729,0.04254772162734625,0,5
SELL,1.3704127,0.041950962618962834,0,6
LINC01220,3.3931694,0.034486029971000386,0,7
JCHAIN,2.7890718,0.034416427223175006,0,8
FAM13C,3.246643,0.032302499082000745,0,9
Z82244.2,2.6122139,0.029028768473871466,0,10
HMMR,4.572792,0.049989846902050196,1,1
CENPA,3.0329885,0.042361722397353835,1,2
RYR2,2.3435562,0.04176749694189378,1,3
SOSTDC1,5.7366643,0.03771257206974291,1,4
PCDH8,3.8230922,0.03737630894286106,1,5
HSD11B2,2.9292147,0.036488272802289765,1,6
LRRC38,2.87564,0.034650654813384606,1,7
PKMYT1,4.973769,0.03186330579609497,1,8
MSMP,1.6889023,0.031514640413283175,1,9
GRIA2,2.1286328,0.03128661529525848,1,10
TNFSF15,5.000525,0.04947313548738364,10,1
NEFL,4.1326847,0.048986126134712184,10,2
AC005736.1,2.5844128,0.04738452849714728,10,3
HBB,2.927975,0.04562810457913934,10,4
IFIT2,5.5223527,0.03865009012837192,10,5
FAM227A,4.935173,0.03828098603021602,10,6
NTF3,2.9677217,0.03637810125711187,10,7
LINC00881,2.1040292,0.03522571178373778,10,8
APOM,5.122357,0.03414736902152246,10,9
GDF15,2.804052,0.03153288935683223,10,10
CD34,4.831067,0.0466057995060927,11,1
ICAM2,4.9099946,0.03957952479766447,11,2
SMOC1,2.8140435,0.037322651675769286,11,3
SRGN,2.4805875,0.03475751108294848,11,4
AC245140.2,2.66637,0.029729140038577642,11,5
KISS1,3.171633,0.027760068258010903,11,6
MT1A,4.107252,0.027654517665481312,11,7
ASPN,5.096088,0.025000111023904866,11,8
AC009630.4,1.0496591,0.023477829016003142,11,9
AL133367.1,1.037979,0.021371263812137976,11,10
GPR183,6.560317,0.04248118765103103,12,1
APLN,3.5204842,0.030620207221043503,12,2
AC009630.4,1.04932,0.0232110434750579,12,3
AL133367.1,1.037645,0.021233392566570114,12,4
ACE,3.9747944,0.01971578501594373,12,5
FBP1,1.0349153,0.012920368192745646,12,6
PAEP,1.1658423,0.012566911774736173,12,7
BHLHE22,1.1435926,0.012566911774736173,12,8
TNFSF15,5.3195314,0.012271602755934618,12,9
AC022916.1,1.0798393,0.00829961545937727,12,10
MAL,3.545561,0.03882631597544678,13,1
APLN,3.2453642,0.03818725440366241,13,2
DIAPH3,5.8167963,0.03715192699945785,13,3
MOBP,3.4638362,0.03458608140137289,13,4
MAP2K6,7.8471336,0.03447542509405328,13,5
ABCA10,2.6423523,0.03384581254054781,13,6
LINC02076,5.0287423,0.029333733892871465,13,7
KCNMB2,7.280869,0.027604005855336285,13,8
ADAM33,4.1577473,0.026832760464411177,13,9
COL9A2,3.8333924,0.026439095203288996,13,10
HECW2,4.079543,0.046332214156306985,14,1
PAPPA2,5.480915,0.030647311371522018,14,2
AC009630.4,1.0251629,0.02618746429237518,14,3
LAMP3,1.002571,0.025411718633173513,14,4
AL133367.1,1.0138549,0.023919066465309922,14,5
FBP1,1.0111872,0.01465644493223707,14,6
PAEP,1.1377449,0.014296844888924418,14,7
BHLHE22,1.1162627,0.014296844888924418,14,8
ICAM2,4.9706135,0.015092681891440154,14,9
OBP2A,1.088792,0.01174412544498539,14,10
ASPM,4.2439504,0.02762855541174714,15,1
AC009630.4,1.0200222,0.02096202672343125,15,2
HLA-G,4.1965413,0.02147859918370578,15,3
AL133367.1,1.0087914,0.01917996737042003,15,4
HMMR,3.5337403,0.019203966932362895,15,5
RRM2,6.06687,0.018112690291186256,15,6
CLDN14,8.973295,0.016695438657694323,15,7
LSP1,4.7501035,0.0142327496584702,15,8
BHLHE22,1.1104547,0.011483229483653499,15,9
SEPTIN1,10.042006,0.013094772056092796,15,10
CLEC14A,5.5365205,0.04871294536863827,16,1
HBG2,5.9736986,0.046113968918385095,16,2
SERPINB9,11.122575,0.035243219629826426,16,3
APLN,3.2319558,0.0176710620032721,16,4
HLX,5.6926465,0.01731823046156127,16,5
PAEP,1.1222147,0.014385131312056022,16,6
BHLHE22,1.1011506,0.014385131312056022,16,7
OBP2A,1.0742201,0.011873465619151289,16,8
ROBO4,5.6932964,0.012651360770702686,16,9
PTH2,1.1342176,0.010568211465093486,16,10
ACTG2,8.126671,0.03437041237521408,17,1
PGM5,8.675822,0.03382593846436521,17,2
DAPP1,1.0532029,0.020651339258103737,17,3
BHLHE22,1.0986736,0.020454057350186034,17,4
SERPINB9,7.7647038,0.024407180684771893,17,5
OBP2A,1.071831,0.016845049935438124,17,6
IL24,2.6008868,0.016942325761871914,17,7
PIK3AP1,1.1159079,0.014489617169966471,17,8
AC022916.1,1.0384072,0.013782676863185551,17,9
AL035661.1,1.1550164,0.013361910393875794,17,10
FGL2,5.6627836,0.045315811122888995,18,1
TCERG1L,5.757193,0.045228450326651605,18,2
CKAP2L,3.6407273,0.043861774558290906,18,3
CITED1,5.530004,0.0435190671569826,18,4
CLDN14,6.1326056,0.04232277484951643,18,5
CAPN6,8.80143,0.032872835202634135,18,6
HECW2,3.8651526,0.029647576590779053,18,7
TNFRSF4,4.2549605,0.02408433342165905,18,8
KANTR,6.1577826,0.018155541687240276,18,9
DIAPH3,5.076861,0.01615183470596332,18,10
CDH5,7.095316,0.022178967868060517,19,1
DLGAP1-AS1,6.284221,0.020361822660546515,19,2
PAEP,1.1078321,0.013376997717733433,19,3
BHLHE22,1.0871513,0.013376997717733433,19,4
OBP2A,1.060716,0.011090273932057084,19,5
PTH2,1.1196179,0.009879556877203197,19,6
TMEM215,4.6096296,0.014294334167203224,19,7
AC022916.1,1.0277634,0.008949904808975308,19,8
AL035661.1,1.1426306,0.008657899666181704,19,9
AC007620.3,1.0167118,0.008519228257946088,19,10
HLA-DPA1,4.007123,0.048836842342570096,2,1
MMP12,4.566443,0.048836842342570096,2,2
APOM,7.1570683,0.04809010299520015,2,3
DEPP1,2.4364579,0.04588897356733649,2,4
GRIA2,2.1634686,0.0428856174706354,2,5
AL139385.1,1.900903,0.037673258307793604,2,6
HBB,3.371406,0.035585613042769554,2,7
EMILIN3,3.4846718,0.031829167037289455,2,8
FGF23,2.1408315,0.03046012451423663,2,9
CH25H,4.7782555,0.02989379748654698,2,10
LUCAT1,9.440462,0.03313904709906473,20,1
PAEP,1.1028891,0.012796137096751061,20,2
BHLHE22,1.0823392,0.012796137096751061,20,3
OBP2A,1.0560731,0.01047593542435024,20,4
AC022916.1,1.0233163,0.008382128899692304,20,5
AL035661.1,1.1374599,0.008072649018777817,20,6
AC007620.3,1.0123295,0.007964222923952673,20,7
CCDC144A,5.958243,0.013626868605574577,20,8
COL15A1,6.2402363,0.01284024360079457,20,9
AC007938.1,1.1378299,0.005107609583284317,20,10
IFIT3,7.2851224,0.04968110994657187,21,1
PAEP,1.1028891,0.014275703485130704,21,2
BHLHE22,1.0823392,0.014275703485130704,21,3
OBP2A,1.0560731,0.011799727576257144,21,4
AC022916.1,1.0233163,0.009564224000930962,21,5
CCDC144A,5.9435854,0.019128860151566646,21,6
AL035661.1,1.1374599,0.009229598717121175,21,7
AC007620.3,1.0123295,0.009113033037780513,21,8
AC007938.1,1.1378299,0.005881489823175881,21,9
APOBEC3D,1.010799,0.0058472240056025625,21,10
AC093512.2,1.0263823,0.013816870264126608,22,1
BHLHE22,1.0772325,0.013735748583318403,22,2
PTH2,1.1092774,0.009968333072605461,22,3
AC022916.1,1.0185957,0.009028943169680614,22,4
AC007620.3,1.0076774,0.008571334468881921,22,5
AC012409.3,1.0303843,0.008320821243521372,22,6
FAM183A,1.0308597,0.005989880408673969,22,7
CCNB1,10.667794,0.04028352931183096,22,8
AC079145.1,1.2355548,0.005565619236339334,22,9
CGA,1.032554,0.005565619236339334,22,10
DAPP1,1.0330102,0.012964596154445979,23,1
AC093512.2,1.0263823,0.012824601803423749,23,2
BHLHE22,1.0772325,0.012743930225122387,23,3
PTH2,1.1092774,0.00922381027050215,23,4
AC022916.1,1.0185957,0.00833537909938392,23,5
AC007620.3,1.0076774,0.00790829171812453,23,6
AC012409.3,1.0303843,0.007648073994045176,23,7
FAM183A,1.0308597,0.00553846913149854,23,8
AC079145.1,1.2355548,0.005144961968476487,23,9
CGA,1.032554,0.005144961968476487,23,10
LGALS2,1.4963784,0.044061097918623525,3,1
SERPINA1,1.7172756,0.043331112840467874,3,2
GPR85,2.565065,0.04328705577565976,3,3
CHST1,3.3703387,0.04162715900400386,3,4
CCNB2,6.2183065,0.04121045346093035,3,5
NTNG2,3.1351116,0.03959498998325562,3,6
CENPE,5.1866846,0.03239158517887539,3,7
MMP12,4.5412917,0.030268037439882798,3,8
CPLX1,7.8962035,0.029340764194335955,3,9
DRAIC,3.8741903,0.025465286749122386,3,10
LRRTM2,3.4998,0.04918725051360367,4,1
FGD2,1.5325717,0.0433814936165639,4,2
KCNN2,2.4842324,0.04273286008044191,4,3
TSPAN1,3.3294919,0.04056190950370054,4,4
LGALS4,1.7645447,0.03813509209038891,4,5
