group,names,scores,logfoldchanges,pvals,pvals_adj
0,SPRR2F,45.4394,6.238881,0.0,0.0
0,NPY,40.21419,4.0405703,0.0,0.0
0,STMN1,37.692944,2.4585955,0.0,0.0
0,BEX1,34.82587,3.1584578,9.87570787299275e-266,2.1946017495539445e-263
0,PROCR,33.437016,3.6762652,3.974956867766021e-245,7.22719430502913e-243
0,MDK,32.753983,2.271318,2.6647256761546264e-235,4.09957796331481e-233
0,BCAM,32.560104,3.105591,1.5063446280142424e-232,2.1519208971632036e-230
0,H19,31.903019,2.5465405,2.4247309322038623e-223,2.8526246261221907e-221
0,HES1,29.959175,2.8565648,3.3416536934641615e-197,3.182527327108725e-195
0,SPINT2,29.802301,2.138717,3.6473472332570404e-195,3.315770212051855e-193
1,COL1A2,53.91063,4.2740793,0.0,0.0
1,COL1A1,51.044796,4.1619544,0.0,0.0
1,DCN,49.268864,4.1036325,0.0,0.0
1,MDK,48.760418,2.9262052,0.0,0.0
1,MEG3,48.501186,2.9072766,0.0,0.0
1,COL3A1,46.61067,3.2382147,0.0,0.0
1,BST2,46.406826,3.0523796,0.0,0.0
1,MFAP4,45.475502,4.520366,0.0,0.0
1,GPC3,44.533268,4.1303954,0.0,0.0
1,SELENOP,43.495544,3.7595196,0.0,0.0
10,ZP3,18.328478,10.169196,4.90439271054355e-75,9.8087854210871e-72
10,CTRB2,18.00853,11.2302685,1.6700869055498903e-72,1.6700869055498902e-69
10,FIGLA,17.64592,9.682462,1.0937854813803532e-69,7.291903209202355e-67
10,BAIAP2L1,17.53564,6.476973,7.658059721604807e-69,3.8290298608024034e-66
10,STK31,17.334843,6.527414,2.567691764734018e-67,1.0270767058936072e-64
10,TDRD1,17.089748,7.8570175,1.7693445826994922e-65,4.876755622313052e-63
10,GTSF1,17.077185,6.511799,2.1945400300408733e-65,4.876755622313052e-63
10,ARHGAP18,17.047014,5.0417085,3.67844904382363e-65,7.35689808764726e-63
10,IGHE,17.02402,10.33701,5.44987148496911e-65,9.908857245398383e-63
10,LDHAL6A,16.995663,8.916515,8.84250812498127e-65,1.473751354163545e-62
11,TBX3,50.44526,2.7810464,0.0,0.0
11,ID1,46.0176,2.6112862,0.0,0.0
11,PAPPA,42.387783,2.8394716,0.0,0.0
11,DES,42.130527,3.2169027,0.0,0.0
11,CAV1,41.896645,2.0670035,0.0,0.0
11,GATA2,41.798874,2.9822161,0.0,0.0
11,VCAN,41.685596,2.2931437,0.0,0.0
11,PRRX1,41.346516,2.0940022,0.0,0.0
11,PDGFRA,40.801315,2.180754,0.0,0.0
11,POSTN,40.64064,2.3482928,0.0,0.0
12,COL4A1,28.19932,3.7123837,5.960923888195222e-175,1.1921847776390442e-171
12,COL4A2,27.040949,3.0370553,4.880431324760928e-161,4.880431324760928e-158
12,PALM2-AKAP2,23.720314,3.2014463,2.2255589431187438e-124,1.4837059620791625e-121
12,TFPI,23.039064,2.8774495,1.8933619773459873e-117,9.466809886729937e-115
12,TBX2,21.731834,3.5796475,1.0261793533658116e-104,4.1047174134632465e-102
12,C11orf96,20.398682,2.9709613,1.71786983078663e-92,5.726232769288766e-90
12,MEF2C,19.782518,3.2414222,4.211256235058899e-87,1.2032160671596854e-84
12,PDGFRB,19.209541,3.308344,3.079753262135134e-82,7.699383155337835e-80
12,LMNA,18.960846,1.6888036,3.593136558912511e-80,7.98474790869447e-78
12,ITGA1,18.723633,3.4454782,3.1772666329108714e-78,6.354533265821743e-76
13,HAS2,56.45714,4.5219483,0.0,0.0
13,SERPINE1,47.87873,3.242414,0.0,0.0
13,VCAN,47.25916,2.8490934,0.0,0.0
13,VEGFA,45.467995,2.7744389,0.0,0.0
13,PAPPA,45.429455,3.3193493,0.0,0.0
13,CLMP,44.109898,2.7958596,0.0,0.0
13,INHBA,42.66395,2.9911284,0.0,0.0
13,TBX3,42.213814,2.429803,0.0,0.0
13,PRRX1,41.01251,2.2390118,0.0,0.0
13,IGFBP5,39.551357,2.836875,0.0,0.0
14,TFPI2,53.99506,3.4821146,0.0,0.0
14,ALDH1A3,42.186855,2.972725,0.0,0.0
14,PHLDA1,40.504868,1.5557775,0.0,0.0
14,HSP90B1,40.457417,1.3712685,0.0,0.0
14,TNFAIP6,39.82428,3.0786593,0.0,0.0
14,FTH1,39.69249,0.9524735,0.0,0.0
14,GEM,39.29182,1.8124372,0.0,0.0
14,C11orf96,35.857876,2.0937588,1.3863740079842726e-281,3.080831128853939e-279
14,TUBA1C,35.808365,1.3252506,8.183474463796595e-281,1.636694892759319e-278
14,DLK1,35.037052,1.9670925,6.140174142935572e-269,1.0233623571559287e-266
15,UBE2C,20.780483,5.5312037,6.500211936589308e-96,1.3000423873178616e-92
15,MKI67,20.39108,6.3669553,2.0066128952150548e-92,2.0066128952150547e-89
15,TPX2,19.859558,4.8216734,9.110818555742191e-88,6.073879037161461e-85
15,NUSAP1,19.648508,4.6219087,5.9537932388284065e-86,2.976896619414203e-83
15,CDK1,19.510954,5.0241227,8.861462802517836e-85,3.5445851210071347e-82
15,SMC4,19.20446,3.4920793,3.396323581527927e-82,1.132107860509309e-79
15,CENPF,19.02507,4.967595,1.0574493082856239e-80,3.0212837379589253e-78
15,BIRC5,18.968275,4.5836306,3.1197418145968748e-80,7.799354536492186e-78
15,TOP2A,18.904495,4.842496,1.0473785460789639e-79,2.3275078801754753e-77
15,PRC1,18.666733,4.5713153,9.233232401560074e-78,1.8466464803120148e-75
16,KLF5,35.233673,3.5669432,6.102320294653179e-272,1.2204640589306357e-268
16,TXNRD1,33.81036,3.3099296,1.3891012979219317e-250,1.3891012979219317e-247
16,GADD45A,33.277035,2.7851396,8.298771759206449e-243,5.532514506137632e-240
16,ARID5B,33.179466,3.2091842,2.129476068649223e-241,1.0647380343246114e-238
16,IQCG,32.786064,3.832281,9.303072186953674e-236,3.7212288747814697e-233
16,EZR,29.953884,2.7487533,3.9161787726567284e-197,1.3053929242189094e-194
16,CTNNAL1,29.918829,2.4575045,1.1197768944648822e-196,3.1993625556139493e-194
16,S100A10,29.246199,2.574496,5.019055597360236e-188,1.254763899340059e-185
16,DSP,29.014095,3.3160121,4.3694203096918616e-185,9.70982291042636e-183
16,PIM3,28.928787,2.5680673,5.188565962542999e-184,1.0377131925085998e-181
2,STMN1,21.916077,2.6732469,1.825270501286412e-106,3.650541002572824e-103
2,MDK,21.677517,2.5227852,3.344368327433059e-104,3.344368327433059e-101
2,COL1A2,21.6118,3.0618927,1.391215746078491e-103,9.274771640523273e-101
2,PCLAF,20.84074,5.34623,1.8495433974100188e-96,6.165144658033396e-94
2,HMGB2,19.877087,3.5808413,6.42591911731977e-88,1.8359768906627915e-85
2,TMSB15A,19.514437,3.9472992,8.277577381511252e-85,2.069394345377813e-82
2,COL3A1,18.907778,2.4486904,9.841884949236428e-80,2.187085544274762e-77
2,PTN,18.60684,2.4342458,2.828080231381407e-77,5.656160462762813e-75
2,COL1A1,18.036158,2.7332952,1.0135112795785228e-72,1.5592481224284967e-70
2,H19,17.493595,2.3474686,1.6031971722567867e-68,2.1375962296757157e-66
3,GNG11,31.241508,4.9389567,2.9115900658308693e-214,5.8231801316617384e-211
3,PCAT19,29.17827,8.7299595,3.659293756406063e-187,3.6592937564060633e-184
3,EGFL7,28.838034,6.318856,7.158507533098757e-183,4.772338355399172e-180
3,MYCT1,27.225216,8.363304,3.267062954985038e-163,1.633531477492519e-160
3,ESAM,25.895048,7.671263,7.572392868113132e-148,3.0289571472452527e-145
3,CDH5,25.442171,8.998063,8.61853475955971e-143,2.8728449198532367e-140
3,HLA-E,24.087145,2.621528,3.4090807682085883e-128,9.740230766310252e-126
3,PECAM1,23.516106,8.015764,2.791226019634414e-122,6.978065049086035e-120
3,ECSCR,23.460657,9.750544,1.0290923417643634e-121,2.2868718705874745e-119
3,ADGRL4,23.28438,7.545992,6.382816414368892e-120,1.2765632828737782e-117
4,HERC5,37.071712,6.5950546,8.026440235835916e-301,5.350960157223944e-298
4,SYCP3,36.235462,7.3785787,1.683675798654314e-287,8.41837899327157e-285
4,ERP29,36.02724,3.0837467,3.1340844306620674e-284,1.2536337722648269e-281
4,HMGB3,35.158848,3.535084,8.514151660804454e-271,2.838050553601485e-268
4,PCSK1N,34.850365,5.706179,4.204103500278175e-266,1.2011724286509072e-263
4,DAZL,34.841465,7.4865823,5.733735897709336e-266,1.433433974427334e-263
4,CENPH,34.67724,5.4176946,1.7363309613474374e-263,3.85851324743875e-261
4,MAP7D2,34.406967,6.414454,1.9837806670647162e-259,3.967561334129433e-257
4,GTSF1,33.76316,6.751423,6.853525579269697e-250,1.2460955598672177e-247
4,SMC3,33.49694,2.9968448,5.340259060239919e-246,8.900431767066532e-244
5,SRGN,11.965871,10.428094,5.3632108127843656e-33,1.072642162556873e-29
5,CYBA,11.79422,5.0535836,4.1805555405496816e-32,4.1805555405496813e-29
5,TMSB4X,10.885166,3.2731328,1.3565158212139887e-27,9.043438808093258e-25
5,B2M,10.69215,2.6633234,1.1077287167163501e-26,5.5386435835817506e-24
5,ARHGDIB,10.621629,7.065192,2.3640012586785983e-26,9.456005034714393e-24
5,CORO1A,10.565446,6.981583,4.309162981130949e-26,1.4363876603769828e-23
5,LSP1,10.457148,8.363161,1.3588509890341415e-25,3.882431397240404e-23
5,HLA-B,10.387022,3.6406822,2.840855970521676e-25,7.10213992630419e-23
5,LAPTM5,10.004029,9.46388,1.4632030771065e-23,3.25156239357e-21
5,HLA-E,9.687854,2.8941765,3.3958919582118457e-22,6.791783916423691e-20
6,RNASE1,43.089825,4.950777,0.0,0.0
6,DNAJB1,42.660866,4.2462435,0.0,0.0
6,GATM,42.552692,5.3073378,0.0,0.0
6,HES1,41.930878,4.3879104,0.0,0.0
6,HSPA1B,41.61392,4.3271675,0.0,0.0
6,BEX1,41.465256,4.3308735,0.0,0.0
6,HSPA1A,41.372505,4.3818536,0.0,0.0
6,MT-ND4,40.63974,1.7653408,0.0,0.0
6,FOSB,40.62581,3.46381,0.0,0.0
6,EGR1,40.34077,3.3292341,0.0,0.0
7,KRT18,71.52757,3.825615,0.0,0.0
7,S100A10,70.5572,3.0778809,0.0,0.0
7,RDH10,66.18626,3.1918724,0.0,0.0
7,EZR,64.1959,2.7881172,0.0,0.0
7,KRT8,62.117115,3.1586874,0.0,0.0
7,DSP,61.540203,3.6800861,0.0,0.0
7,B2M,61.48079,1.612971,0.0,0.0
7,SERPINB2,60.68924,4.3925915,0.0,0.0
7,FSTL3,60.26422,2.8537915,0.0,0.0
7,TXNRD1,56.419174,2.2822852,0.0,0.0
8,EPCAM,41.314465,5.265646,0.0,0.0
8,S100A2,41.019974,8.011683,0.0,0.0
8,C19orf33,40.99869,5.6170297,0.0,0.0
8,MAL2,40.160973,5.758674,0.0,0.0
8,KRT7,39.967045,7.040912,0.0,0.0
8,ANXA2,39.605015,2.8932827,0.0,0.0
8,MMP7,39.423515,10.07691,0.0,0.0
8,CD24,39.368397,5.5683603,0.0,0.0
8,S100A6,39.26009,4.287689,0.0,0.0
8,KRT19,38.222332,4.383445,0.0,0.0
9,SPARCL1,37.09337,5.005423,3.593724135514475e-301,7.187448271028949e-298
9,POSTN,34.49897,4.714842,8.31225636631147e-261,5.541504244207647e-258
9,DCN,34.212814,4.3324604,1.559259085245252e-256,7.79629542622626e-254
9,FBLN1,33.403996,3.7935443,1.1995814167995798e-244,4.7983256671983195e-242
