group,names,scores,logfoldchanges,pvals,pvals_adj
0,CST3,73.78515,3.2875936,0.0,0.0
0,AMH,70.94816,5.2556386,0.0,0.0
0,CTSV,67.91409,4.1087484,0.0,0.0
0,SERPINA5,67.68374,3.9750504,0.0,0.0
0,HSPA1A,65.55846,3.7290528,0.0,0.0
0,CKB,64.374985,3.3872573,0.0,0.0
0,SERPINF1,63.917248,3.6129885,0.0,0.0
0,CD83,62.681107,4.2712493,0.0,0.0
0,DNAJB1,62.634323,3.2355638,0.0,0.0
0,EGR2,60.498734,3.7430372,0.0,0.0
1,DCN,60.34394,5.192789,0.0,0.0
1,COL1A1,58.422123,3.9820218,0.0,0.0
1,MDK,58.280525,3.6096015,0.0,0.0
1,COL3A1,57.66046,4.186934,0.0,0.0
1,CXCL12,52.75454,4.0766106,0.0,0.0
1,BST2,51.607845,3.8137188,0.0,0.0
1,GPC3,50.531643,3.7290688,0.0,0.0
1,MEG3,49.588722,2.8791485,0.0,0.0
1,H19,49.408127,3.3114736,0.0,0.0
1,MFAP4,49.1155,4.4969325,0.0,0.0
10,RDX,55.439507,3.8594642,0.0,0.0
10,CALB2,50.149353,6.7723637,0.0,0.0
10,IL32,46.88956,3.3825688,0.0,0.0
10,DSP,46.23572,3.7237854,0.0,0.0
10,PRSS23,45.894035,3.2333238,0.0,0.0
10,S100A10,45.48169,2.5524125,0.0,0.0
10,NEDD9,43.645355,3.2471807,0.0,0.0
10,UCHL1,42.203224,2.8399975,0.0,0.0
10,CD9,41.70239,2.8599846,0.0,0.0
10,PAPPA,41.553345,3.6058252,0.0,0.0
11,CLMP,66.34034,4.3603244,0.0,0.0
11,STC1,64.57408,4.6096287,0.0,0.0
11,TBX3,63.679092,3.59781,0.0,0.0
11,INHBA,63.59725,3.8352509,0.0,0.0
11,FGFR1,63.140385,3.0415695,0.0,0.0
11,HAS2,62.817066,4.0945435,0.0,0.0
11,SERPINE1,60.624367,3.6658971,0.0,0.0
11,PLAUR,56.979614,2.87739,0.0,0.0
11,TPM2,56.82115,2.8765383,0.0,0.0
11,ITGA2,56.24521,3.3410087,0.0,0.0
12,AKAP12,42.40682,3.579542,0.0,0.0
12,PALM2-AKAP2,40.01007,3.334521,0.0,0.0
12,INHBA,39.09108,3.3469002,0.0,0.0
12,PTX3,36.997967,4.125026,1.2346263465628563e-299,6.173131732814282e-297
12,TFPI2,36.98057,3.0576828,2.3506843658391075e-299,9.402737463356429e-297
12,HMGA2,36.68558,2.7697272,1.2400410329708014e-294,4.133470109902671e-292
12,PHLDA1,35.632153,2.2714107,4.453199105049248e-278,1.2723426014426423e-275
12,NTM,33.848026,3.0789587,3.88011462267138e-251,9.70028655667845e-249
12,HAS2,33.38738,2.960895,2.0905641477418846e-244,4.645698106093077e-242
12,PLAUR,33.325893,2.2930088,1.628310546985733e-243,3.2566210939714655e-241
13,DCDC2,42.63648,5.5591,0.0,0.0
13,S100A6,41.532063,3.5616777,0.0,0.0
13,CYBA,36.711575,3.8700767,4.7738107977876835e-295,3.182540531858456e-292
13,ARHGAP29,35.574333,3.2295787,3.4947451139090214e-277,1.7473725569545106e-274
13,ANXA2,35.215656,2.9771388,1.1517383411502118e-271,4.6069533646008474e-269
13,KRT18,34.500935,3.1904643,7.7671185050187205e-261,2.5890395016729067e-258
13,HMGA1,34.280823,3.0710502,1.5154881869321762e-257,4.329966248377646e-255
13,KRT19,33.837215,3.338204,5.5958332885872616e-251,1.3989583221468153e-248
13,PAX8,33.67435,3.879798,1.3725892780103034e-248,3.050198395578452e-246
13,CD24,33.204548,5.2151895,9.255683961161275e-242,1.6828516293020501e-239
14,MMP7,40.216217,8.345602,0.0,0.0
14,PAX8,38.844696,5.3092403,0.0,0.0
14,KRT18,38.54932,5.0928836,0.0,0.0
14,KRT8,38.455795,4.5607605,0.0,0.0
14,TSPO,38.347263,4.3099465,0.0,0.0
14,MT2A,38.299225,4.9472694,0.0,0.0
14,S100A2,38.11971,6.291226,0.0,0.0
14,S100A6,38.086617,4.140296,0.0,0.0
14,S100A11,37.67549,3.371241,1.2518273683014e-310,2.78183859622529e-308
14,FXYD2,37.143486,6.0658393,5.585023397143775e-302,1.117004679428755e-299
15,EDNRB,33.741245,4.1908054,1.4368804629578759e-249,2.873760925915752e-246
15,DOK5,33.09085,4.69788,4.02404102007875e-240,4.02404102007875e-237
15,SGK1,31.094093,2.85275,2.8947058254276873e-212,1.9298038836184582e-209
15,TFPI,30.488283,3.5065217,3.72632693886905e-204,1.863163469434525e-201
15,IL1RL1,29.089819,4.289993,4.829094960206377e-186,1.9316379840825507e-183
15,HGF,26.679867,3.95018,8.061587501492027e-157,2.6871958338306755e-154
15,IL1R1,25.592783,3.092809,1.8355657640292564e-144,5.244473611512161e-142
15,AKR1C1,24.92683,3.5314617,3.809022069902046e-137,9.522555174755116e-135
