group,names,scores,logfoldchanges,pvals,pvals_adj
0,ALDH1A3,53.00681,4.090634,0.0,0.0
0,LIFR,51.607723,3.3401637,0.0,0.0
0,HGF,49.51512,4.094715,0.0,0.0
0,EDNRB,49.429276,3.372474,0.0,0.0
0,TFPI,49.163055,2.9748306,0.0,0.0
0,DLK1,49.08444,3.0684302,0.0,0.0
0,INHBA,48.358128,3.1558516,0.0,0.0
0,HAS2,46.596966,3.178674,0.0,0.0
0,IL1RL1,45.075703,3.9903529,0.0,0.0
0,ARL4C,45.03627,3.0190592,0.0,0.0
1,FOSL1,81.1117,3.4639773,0.0,0.0
1,PHLDA1,80.27251,2.88913,0.0,0.0
1,SERPINE1,77.70091,3.404375,0.0,0.0
1,GEM,76.990074,3.4420085,0.0,0.0
1,SLC3A2,73.66314,2.2806215,0.0,0.0
1,PLAUR,71.179184,2.8500705,0.0,0.0
1,DNAJB11,70.532814,2.6485314,0.0,0.0
1,CD63,68.05748,1.4777373,0.0,0.0
1,INHBA,66.4748,3.0047095,0.0,0.0
1,HAS2,66.06217,3.524521,0.0,0.0
10,AMH,29.79766,5.662547,4.188906940225944e-195,7.542008791451786e-192
10,MIR202HG,29.777943,5.350669,7.542008791451786e-195,7.542008791451786e-192
10,APOA1,29.627295,5.6165395,6.652659709673594e-193,4.435106473115729e-190
10,BEX1,29.559628,3.9894996,4.939112373163812e-192,2.469556186581906e-189
10,CITED1,29.343267,6.2494025,2.912230622949122e-189,1.1648922491796488e-186
10,GSTA1,29.187767,5.1089125,2.7726931162208237e-187,9.242310387402746e-185
10,RNASE1,28.998484,4.390152,6.875724962033195e-185,1.9644928462951985e-182
10,CTSV,28.930996,4.527179,4.867068665725942e-184,1.2167671664314856e-181
10,CST3,28.698235,3.1380904,4.013781020630413e-181,8.919513379178696e-179
10,SERPINF1,28.540539,3.6958852,3.681171385534823e-179,7.362342771069646e-177
11,GNG11,34.764595,5.0709996,8.342090073662508e-265,1.6684180147325015e-261
11,EGFL7,34.23685,6.1680803,6.844212389716616e-257,6.844212389716616e-254
11,ESAM,29.704945,7.433383,6.628788291041979e-194,4.419192194027986e-191
11,CLDN5,27.364931,8.164309,7.173619685394058e-165,3.1893646645138786e-162
11,CDH5,27.361074,9.48217,7.973411661284697e-165,3.1893646645138786e-162
11,RAMP2,27.09424,4.0048294,1.1511990826921076e-161,3.8373302756403585e-159
11,PRCP,26.792595,4.138629,3.9415407771876325e-158,1.126154507767895e-155
11,ECSCR,26.456423,9.9606905,3.0779053862327455e-154,7.694763465581864e-152
11,PECAM1,26.145014,9.966043,1.1230030224519283e-150,2.4955622721153964e-148
11,SOX18,26.038658,8.223344,1.8084460600218966e-149,3.616892120043793e-147
12,A0256,40.333397,5.4591928,0.0,0.0
12,SPARCL1,38.182934,4.6172085,0.0,0.0
12,C7,37.36889,4.5339823,1.2513280028077308e-305,8.342186685384872e-303
12,COL15A1,34.37851,5.003842,5.282966984550843e-259,2.6414834922754215e-256
12,TSHZ2,33.621006,3.4627936,8.274892446100737e-248,3.3099569784402946e-245
12,CXCL12,33.605244,3.6925912,1.4063281760831386e-247,4.687760586943795e-245
12,DCN,32.49877,3.1396415,1.1097550644607433e-231,3.1707287556021237e-229
12,FOS,31.689642,2.7172308,2.1581183419730886e-220,5.395295854932722e-218
12,DNAJB1,31.017143,2.942511,3.1661399508881703e-211,7.035866557529268e-209
12,DLK1,30.874468,3.0510745,2.6304540406144194e-209,5.260908081228839e-207
13,UBE2C,32.663216,4.756528,5.202551362494776e-234,1.0405102724989552e-230
13,SMC4,31.639563,3.3858948,1.0554341317003387e-219,1.0554341317003387e-216
13,MAD2L1,30.806124,3.936565,2.169529157079129e-208,1.446352771386086e-205
13,HMGB2,29.11846,2.9234586,2.096214299549103e-186,1.0481071497745514e-183
13,PTTG1,28.801525,3.1450286,2.052624294711471e-182,8.210497178845884e-180
13,TPX2,28.600048,3.9468796,6.7093834208584285e-180,2.2364611402861427e-177
13,MKI67,28.248331,4.441113,1.492131366533482e-175,4.263232475809949e-173
13,CDK1,27.110899,4.2801456,7.324719966112201e-162,1.8311799915280502e-159
13,HIST1H4C,26.947168,3.235052,6.157319224289042e-160,1.3682931609531206e-157
13,NUSAP1,26.490423,3.4020717,1.2496470271453936e-154,2.499294054290787e-152
14,B2M,50.33037,2.4551706,0.0,0.0
14,EZR,50.090378,3.1972892,0.0,0.0
14,S100A10,46.89037,3.302179,0.0,0.0
14,KRT18,46.366825,3.5037103,0.0,0.0
14,TM4SF1,45.729916,3.8081234,0.0,0.0
14,KRT8,43.5479,3.0710683,0.0,0.0
14,GJA1,40.55569,3.097664,0.0,0.0
14,AADAC,40.469902,5.4786687,0.0,0.0
14,CD55,40.290936,2.9292004,0.0,0.0
14,S100A6,38.54483,2.4518204,0.0,0.0
15,RDX,89.246155,3.8184884,0.0,0.0
15,FSTL3,83.68829,4.893063,0.0,0.0
15,S100A10,83.306,3.76817,0.0,0.0
15,NEDD9,75.08379,4.258155,0.0,0.0
15,IL32,74.94178,3.895761,0.0,0.0
15,DSP,74.60365,3.8618858,0.0,0.0
15,PRSS23,74.43941,3.65065,0.0,0.0
15,APOA1,74.17708,4.1410975,0.0,0.0
15,AMH,74.11436,4.324613,0.0,0.0
15,S100A16,73.75705,3.0070043,0.0,0.0
16,SELENOK,29.712044,3.3192081,5.3669305299813614e-194,1.0733861059962723e-190
16,HSPA5,29.124884,3.2948744,1.7382009071947386e-186,1.7382009071947385e-183
16,RDX,28.279682,3.5023525,6.1444970333108006e-176,4.096331355540533e-173
16,SDF2L1,28.10412,4.112543,8.723768497627186e-174,4.361884248813593e-171
16,MANF,27.044966,3.1976914,4.3774930398387494e-161,1.7509972159354997e-158
16,HERPUD1,26.604773,3.3140516,5.977491892606438e-156,1.9924972975354794e-153
16,DNAJB11,26.134178,3.0254595,1.491317763703281e-150,4.260907896295089e-148
16,SLC3A2,25.863327,2.7875066,1.7229565476944317e-147,4.307391369236079e-145
16,IQCG,25.788282,3.5225494,1.2001576051749712e-146,2.667016900388825e-144
16,DNAJB9,25.47302,3.2210076,3.9248909601442197e-143,7.849781920288439e-141
17,CD24,29.45499,5.0687413,1.0867077007241661e-190,1.7839319345101204e-187
17,EPCAM,29.438177,3.9699712,1.7839319345101205e-190,1.7839319345101204e-187
17,IGFBP7,28.218147,3.699038,3.502510281625045e-175,2.3350068544166968e-172
17,EMX2,27.293613,3.5709853,5.050625202248387e-164,2.5253126011241937e-161
17,CLDN3,26.776115,5.580226,6.132245809278168e-158,2.4528983237112674e-155
17,PAX8,26.668947,5.6147246,1.0791786827556411e-156,3.597262275852137e-154
17,WFDC2,26.123545,4.948684,1.9696575180559234e-150,5.6275929087312095e-148
17,LHX1,25.839281,8.801374,3.2111021574802153e-147,8.027755393700538e-145
17,SPINT2,25.036825,2.6910853,2.4295902616699884e-138,5.3990894703777525e-136
17,DCDC2,25.017374,5.5309033,3.9561518055814893e-138,7.912303611162978e-136
18,PCSK1N,41.023495,5.004932,0.0,0.0
18,UTF1,40.50701,5.6195736,0.0,0.0
18,HMGB3,39.1571,3.7855113,0.0,0.0
18,L1TD1,39.127056,5.180946,0.0,0.0
18,SYCP3,38.104404,9.338288,0.0,0.0
18,HERC5,37.74481,3.9234493,0.0,0.0
18,GTSF1,37.70277,10.137452,0.0,0.0
18,ELAVL2,37.137436,6.206884,6.993263160514539e-302,1.3986526321029077e-299
18,POU5F1,37.000145,5.677868,1.1389880872581327e-299,1.8983134787635544e-297
18,APOE,36.77094,3.389372,5.381211428832253e-296,8.278786813588082e-294
19,MMP7,32.585857,10.314242,6.505962242877403e-233,1.3011924485754804e-229
19,EPCAM,30.47472,4.2988553,5.6366693693730866e-204,5.6366693693730865e-201
19,KRT19,29.98046,5.603551,1.764444288627439e-197,1.1762961924182926e-194
19,S100A6,29.080732,3.93647,6.292163886771733e-186,3.1460819433858664e-183
19,PHLDA2,27.384855,4.341457,4.154792162241169e-165,1.6619168648964675e-162
19,S100A10,27.3232,3.3924394,2.2489870279639356e-164,7.496623426546452e-162
19,ARL4C,25.77647,3.5755956,1.6281988849504735e-146,4.65199681414421e-144
19,CLDN4,25.602585,6.366345,1.4276936514635697e-144,3.5692341286589244e-142
19,SPINT2,25.329872,2.853494,1.4977534538076569e-141,3.32834100846146e-139
19,KRT18,24.890596,3.3120127,9.406337280194064e-137,1.8812674560388127e-134
2,DCN,55.58512,3.5843856,0.0,0.0
2,COL1A1,54.80179,3.101334,0.0,0.0
2,COL1A2,54.46994,2.739397,0.0,0.0
2,BST2,52.926327,2.952449,0.0,0.0
2,NR2F2,52.84523,2.5222516,0.0,0.0
2,COL3A1,49.41311,2.6584704,0.0,0.0
2,COL14A1,43.72296,2.7961853,0.0,0.0
2,SFRP1,41.91467,2.247536,0.0,0.0
2,DLK1,41.2319,2.4967558,0.0,0.0
2,MFAP2,41.128838,2.0690162,0.0,0.0
20,S100A10,19.301401,3.4235494,5.227274674698941e-83,1.045454934939788e-79
20,CYBA,18.446262,4.033408,5.587796795487601e-76,5.5877967954876004e-73
20,S100A16,18.375135,2.8535845,2.0779105996654888e-75,1.3852737331103258e-72
20,CD9,18.149597,3.0501275,1.2934771723241116e-73,6.467385861620558e-71
20,KRT18,17.549793,3.3694391,5.969688459013397e-69,2.3878753836053587e-66
20,S100A6,17.503357,2.9480612,1.3507019765378703e-68,4.502339921792901e-66
20,KRT8,17.393734,3.1438198,9.203885973442858e-68,2.6296817066979593e-65
20,B2M,16.97321,1.8732529,1.2965025987243206e-64,3.2412564968108015e-62
20,PTX3,16.387407,3.5859635,2.3526653686787046e-60,5.228145263730455e-58
20,PAX8,15.109154,4.7324247,1.4093818079362554e-51,2.818763615872511e-49
21,IGFBP7,21.702215,3.9283834,1.9551322199952582e-104,3.910264439990516e-101
21,RGS5,18.945837,6.154926,4.779248596718726e-80,4.7792485967187255e-77
21,MEF2C,18.583273,4.5497293,4.3890082849388366e-77,2.926005523292558e-74
21,TPM2,17.720633,2.7050054,2.906305549161814e-70,1.4531527745809068e-67
21,PDLIM1,17.510384,3.7149658,1.1938848087772068e-68,4.775539235108827e-66
21,BGN,17.48189,3.4440014,1.968662396294404e-68,6.562207987648013e-66
21,LHFPL6,17.146305,3.53861,6.697841623221334e-66,1.9136690352060952e-63
21,HES4,16.666668,3.0047603,2.2901256874471846e-62,5.725314218617961e-60
21,NDUFA4L2,16.591036,5.4869432,8.09125300868275e-62,1.7980562241517224e-59
21,ACTA2,16.330153,5.208873,6.023297850246373e-60,1.2046595700492746e-57
22,ITM2A,24.222986,4.5761695,1.2739671720087094e-129,2.5479343440174187e-126
22,TIMP1,23.8098,3.6504846,2.643844123330652e-125,2.643844123330652e-122
22,S100A6,23.120031,3.5413728,2.911752955724204e-118,1.941168637149469e-115
22,A0257,22.944704,4.149463,1.664266538304605e-116,8.321332691523025e-114
22,VIM,22.899601,2.0464609,4.688984390748494e-116,1.8755937562993976e-113
22,FBLN1,21.365545,3.223409,2.7957128951312148e-101,9.319042983770716e-99
22,TPBG,21.309662,3.2806168,9.23584522723069e-101,2.6388129220659113e-98
22,HAS2,21.190533,3.3887544,1.1676845512082797e-99,2.919211378020699e-97
22,CD44,20.898655,3.2985077,5.507530811624948e-97,1.2238957359166554e-94
22,EFHD2,19.60456,2.8107057,1.4136795151674343e-85,2.8273590303348686e-83
23,SPINT2,21.317043,5.127011,7.888758210271515e-101,8.554036289278997e-98
23,HTRA1,21.313253,7.2507443,8.554036289278998e-101,8.554036289278997e-98
23,PODXL,21.27613,7.498631,1.889024609718177e-100,1.259349739812118e-97
23,NPHS2,21.227398,12.992176,5.33350984798616e-100,2.2225323260146767e-97
