gene,fraction_expressing,mean_expression
MAGEA4,0.004487992051800335,0.003639168
MAGEB2,0.00791394018294563,0.0064063715
GAGE2A,0.0007537085888519648,0.00075697544
CTAG2,0.006440782486553154,0.007757631
PAGE5,0.002466682654424612,0.0021176033
PAGE2,0.0023639042104902533,0.0020920634
PAGE2B,0.004487992051800335,0.003920537
PAGE4,0.015313988146219466,0.018888032
IL13RA2,0.06135873102881222,0.07940653
TEX15,0.028195553119325773,0.02963548
FATE1,0.0884579807461715,0.13601613
HORMAD2,0.0004796327383603412,0.00042630493
ARMC3,0.0027750179862276883,0.0025807836
PLAC1,0.12453321456713146,0.15680233
LY6K,0.024975161876049198,0.026525596
ARX,0.08674500668059885,0.096809715
PRAME,0.039398403508170886,0.045745753
