group,names,scores,logfoldchanges,pvals,pvals_adj
0,STMN1,18.305912,3.5750408,7.423748598683643e-75,1.4847497197367285e-71
0,HMGB2,17.84099,4.6662593,3.3961974994167154e-71,3.3961974994167154e-68
0,PCLAF,17.379501,5.5885825,1.1797441881952635e-67,7.86496125463509e-65
0,TK1,16.998108,6.268684,8.481422605404356e-65,4.240711302702178e-62
0,BCAM,16.84521,3.6408384,1.1376720511589853e-63,4.550688204635941e-61
0,TUBA1B,16.627132,1.8068527,4.433072923537804e-62,1.4776909745126013e-59
0,SPRR2F,16.58314,5.0424643,9.227908927374903e-62,2.636545407821401e-59
0,TMSB15A,16.464993,4.520492,6.547082006075942e-61,1.6367705015189856e-58
0,MDK,16.40472,3.0884004,1.7693924135662213e-60,3.9319831412582696e-58
0,UPK3B,16.267918,6.1321034,1.667316479010565e-59,3.3346329580211295e-57
1,COL1A2,38.60554,3.7837415,0.0,0.0
1,MFAP4,38.286224,4.611285,0.0,0.0
1,MEG3,36.47305,2.7960074,2.966804452619951e-291,1.9778696350799672e-288
1,COL1A1,35.703262,3.7068315,3.5180545643937968e-279,1.7590272821968983e-276
1,BST2,35.11901,3.0006506,3.4561277548784373e-270,1.382451101951375e-267
1,MDK,34.800472,2.671595,2.3927067147096394e-265,6.836304899170398e-263
1,SELENOP,34.48715,3.6858308,1.2501572051014808e-260,2.7781271224477354e-258
1,COL3A1,33.60918,3.0410488,1.2318510897617225e-247,2.463702179523445e-245
1,H19,33.39027,2.99651,1.8978487824753418e-244,3.1630813041255695e-242
1,DCN,32.91973,3.3917482,1.1474336818177269e-237,1.7652825874118877e-235
10,COL1A2,36.239048,4.324899,1.478427013852876e-287,2.956854027705752e-284
10,DCN,35.83279,4.431702,3.409395375468038e-281,3.409395375468038e-278
10,COL1A1,35.290993,4.2566767,8.07207860220158e-273,5.381385734801054e-270
10,MDK,32.808586,2.9019988,4.441533744928721e-236,2.2207668724643607e-233
10,SPARC,31.359428,2.2639937,7.236962791588632e-216,2.8947851166354527e-213
10,COL3A1,31.092005,3.109228,3.0891779135611684e-212,8.826222610174766e-210
10,MEG3,30.657299,2.7003922,2.1124285437315556e-206,5.2810713593288886e-204
10,LTBP4,30.571754,3.3442385,2.9063917001519987e-205,6.458648222559998e-203
10,GPC3,29.26632,3.6487155,2.7840202931796435e-188,5.5680405863592866e-186
10,BST2,29.076544,2.6872108,7.108130199376266e-186,1.292387308977503e-183
11,KRT18,41.005466,4.260901,0.0,0.0
11,KRT8,39.97559,3.8880794,0.0,0.0
11,S100A10,37.479805,2.9528706,1.964828608122025e-307,1.3098857387480167e-304
11,EZR,36.3293,2.9078321,5.578251014396891e-289,2.7891255071984457e-286
11,ANXA3,34.955242,3.4484172,1.0780054025972152e-267,4.312021610388861e-265
11,CD9,32.66159,2.4756086,5.486364334636111e-234,1.8287881115453702e-231
11,C19orf33,32.262173,2.9281108,2.374621782126257e-228,6.784633663217877e-226
11,ANXA2,31.863354,1.9954709,8.598507105015428e-223,2.149626776253857e-220
11,FSTL3,31.42749,2.3973496,8.524142882636317e-217,1.8942539739191817e-214
11,TPM1,31.147753,1.9970518,5.44019231647074e-213,1.088038463294148e-210
12,ARID5B,32.50352,3.5599928,9.508410640350188e-232,1.9016821280700375e-228
12,KLF5,30.454292,3.5316715,1.0509721432118678e-203,1.0509721432118677e-200
12,GADD45A,30.023432,2.914497,4.853846037068523e-198,3.2358973580456817e-195
12,IQCG,29.418165,3.9720302,3.216864191488263e-190,1.6084320957441313e-187
12,CTNNAL1,29.208935,2.704166,1.4934193939214773e-187,5.973677575685909e-185
12,TXNRD1,28.420818,3.0940578,1.1184675362438653e-177,3.728225120812884e-175
12,EZR,28.330246,2.903499,1.466118513907916e-176,4.188910039736902e-174
12,SGMS2,27.0052,3.987062,1.2840958998238094e-160,3.2102397495595235e-158
12,RSRC2,26.421398,1.9074992,7.780300578294232e-154,1.728955684065385e-151
12,PIM3,26.234669,2.7135634,1.0694099007874481e-151,2.1388198015748964e-149
13,EPCAM,41.16023,5.2674675,0.0,0.0
13,C19orf33,40.86469,5.6279387,0.0,0.0
13,S100A2,40.85024,8.01144,0.0,0.0
13,MAL2,39.922295,5.751194,0.0,0.0
13,KRT7,39.81003,7.048917,0.0,0.0
13,ANXA2,39.464027,2.8953533,0.0,0.0
13,CD24,39.267353,5.567795,0.0,0.0
13,MMP7,39.238842,9.970827,0.0,0.0
13,S100A6,39.10772,4.29138,0.0,0.0
13,KRT19,38.124886,4.391901,0.0,0.0
14,SYCP3,20.471886,8.309401,3.8349692012867865e-93,7.669938402573573e-90
14,TEX30,20.241802,5.421069,4.19539799672436e-91,4.1953979967243604e-88
14,STK31,19.945314,6.7746825,1.6460925031532618e-88,1.0973950021021746e-85
14,HERC5,19.773321,6.7459297,5.0537150322563955e-87,2.526857516128198e-84
14,CENPU,19.66809,6.101863,4.047413571307958e-86,1.6189654285231832e-83
14,IQCB1,19.570093,4.847634,2.781740511699726e-85,7.947830033427788e-83
14,SMC1B,19.508566,8.076872,9.284881878113672e-85,2.321220469528418e-82
14,DDX4,19.237106,6.883159,1.8103763252125053e-82,3.620752650425011e-80
14,ZCWPW1,19.00967,6.7209516,1.418400936034081e-80,2.5789107927892384e-78
14,PIGP,18.949915,5.215962,4.4229360808410225e-80,7.371560134735038e-78
15,DCN,26.439915,5.368531,4.7658734825783e-154,9.5317469651566e-151
15,SPARCL1,25.751558,5.1150985,3.0963964197876174e-146,3.0963964197876176e-143
15,IGFBP5,24.80152,5.2927356,8.632821630597206e-136,5.755214420398137e-133
15,OGN,24.764763,5.2874527,2.1498613287512874e-135,1.0749306643756437e-132
15,COL3A1,23.738115,3.8910549,1.457702971127071e-124,4.859009903756903e-122
15,FBLN1,23.242264,3.8748195,1.7033507494759162e-119,4.866716427074046e-117
15,ITM2A,23.002104,4.5486903,4.440700587892268e-117,1.1101751469730669e-114
15,SPARC,22.688643,2.7468085,5.800046411800158e-114,1.2888992026222574e-111
15,COL1A1,22.65385,4.1996617,1.278352829241798e-113,2.556705658483596e-111
15,LGALS1,21.921658,2.7575836,1.6147274109289524e-106,2.935868019870823e-104
16,ZP3,18.266115,9.171804,1.5403162345970463e-74,3.0806324691940924e-71
16,FIGLA,17.949446,9.160562,4.847124442231413e-72,4.847124442231412e-69
16,STK31,17.92024,5.893415,8.197371489767635e-72,5.464914326511756e-69
16,SPINT2,17.77787,3.4303625,1.0489020801468965e-70,5.244510400734482e-68
16,SYCP3,17.70587,5.192086,3.777999411545824e-70,1.5111997646183296e-67
16,CTRB2,17.585785,10.817074,3.165706411249268e-69,1.0552354704164227e-66
16,MAP7D2,17.408936,5.668578,7.058491004678196e-68,2.0167117156223414e-65
16,GTSF1,17.395147,5.9685397,8.979628949374042e-68,2.2449072373435103e-65
16,ARHGAP18,17.278822,4.460966,6.79201890257904e-67,1.5093375339064534e-64
16,DDX4,17.039125,5.798331,4.20977552322741e-65,8.41955104645482e-63
17,POSTN,26.61304,5.1696277,4.795501877855577e-156,9.591003755711154e-153
17,PTN,26.473722,4.908879,1.9459244984590068e-154,1.9459244984590068e-151
17,SPARCL1,25.305902,4.5561147,2.7504380050640103e-141,1.8336253367093402e-138
17,SULT1E1,24.88116,7.074645,1.1900471488615967e-136,5.950235744307983e-134
17,APCDD1,24.44986,7.020446,5.0496238423575756e-132,2.0198495369430303e-129
17,LGALS1,23.557617,2.8857713,1.048846984817594e-122,2.996705670907411e-120
17,FBLN1,22.387793,3.4637399,5.1759470972516804e-111,1.150210466055929e-108
17,MT-ATP6,21.99241,1.5796738,3.4041386932291055e-107,6.808277386458211e-105
17,MT-CYB,21.447367,1.428648,4.832543249014106e-102,8.786442270934739e-100
17,COL3A1,21.236486,3.1389756,4.3955670011575103e-100,7.325945001929184e-98
18,GNG11,24.066845,4.6977906,5.562344523519225e-128,1.112468904703845e-124
18,PCAT19,22.848068,6.876707,1.5274372115118314e-115,1.5274372115118315e-112
18,MYCT1,22.54138,7.324958,1.6315278599340232e-112,1.0876852399560155e-109
18,EGFL7,20.836142,5.55266,2.036007141057291e-96,1.0180035705286454e-93
18,ADGRL4,20.095108,7.04618,8.143635407550932e-90,3.257454163020373e-87
18,TCF4,20.024937,3.1905758,3.3393230104777785e-89,1.1131076701592594e-86
18,CDH5,19.628065,6.8087444,8.90423246294294e-86,2.544066417983697e-83
18,PECAM1,19.347685,7.261216,2.1320765998777783e-83,5.330191499694446e-81
18,ETS2,18.876266,3.4402628,1.787852532416044e-79,3.9730056275912096e-77
18,RFLNB,18.573517,3.7262855,5.2639755916930516e-77,1.0527951183386104e-74
19,DES,31.88716,3.5253484,4.023054041347588e-223,8.046108082695177e-220
19,MGP,31.083538,4.6918206,4.020327077990072e-212,4.020327077990072e-209
19,PAPPA,30.55878,3.2581768,4.322682525963027e-205,2.881788350642018e-202
19,ID1,30.450901,2.8389153,1.1654657107301265e-203,5.827328553650632e-201
