group,names,scores,logfoldchanges,pvals,pvals_adj
0,H2AFZ,14.970206,2.4485934,1.1496404265845293e-50,2.2992808531690586e-47
0,HMGB2,14.919566,4.0078745,2.4586644956708513e-50,2.4586644956708513e-47
0,ZWINT,13.697094,4.2844434,1.0566969022196814e-42,7.044646014797876e-40
0,PCLAF,13.282374,4.1341987,2.9295417546662884e-40,1.3889501521518819e-37
0,CTSV,13.269642,3.4933636,3.472375380379705e-40,1.3889501521518819e-37
0,TYMS,13.057341,3.5920072,5.770837489646793e-39,1.9236124965489308e-36
0,CKS2,12.449704,2.868115,1.403642107714201e-35,4.010406022040574e-33
0,AMH,12.400118,4.3609953,2.609392542944472e-35,6.52348135736118e-33
0,CKS1B,12.376564,2.7406418,3.5000731020773546e-35,7.777940226838567e-33
0,CST3,12.35943,2.5248115,4.332146845393428e-35,8.664293690786856e-33
1,CST3,43.248405,3.0623505,0.0,0.0
1,CD83,42.383354,4.1314135,0.0,0.0
1,AMH,41.59056,4.84538,0.0,0.0
1,CTSV,41.581596,3.81685,0.0,0.0
1,HSPA1A,40.967453,3.7039,0.0,0.0
1,EGR2,40.86215,3.7407568,0.0,0.0
1,SERPINA5,40.73423,3.6965547,0.0,0.0
1,DNAJB1,40.26222,3.2810402,0.0,0.0
1,CKB,39.878593,3.2589855,0.0,0.0
1,COL9A3,38.64122,3.2440782,0.0,0.0
10,GADD45A,22.338259,2.7103035,1.570479809507734e-110,3.140959619015468e-107
10,RND3,17.957495,2.4175463,4.193108365230632e-72,2.0965541826153158e-69
10,FTL,17.930046,1.1498919,6.8722586608337e-72,2.74890346433348e-69
10,CAVIN1,16.60216,1.9566051,6.722766181031932e-62,2.2409220603439774e-59
10,KLF6,16.525063,1.6396486,2.4218622137022645e-61,6.919606324863613e-59
10,HSP90AA1,16.429543,1.3443228,1.1754327279948957e-60,2.9385818199872393e-58
10,HSPH1,16.390404,1.8852564,2.2395019171544262e-60,4.976670927009836e-58
10,MAFF,15.99945,2.1876082,1.2890979821614115e-57,2.3438145130207485e-55
10,CCNL1,14.72813,1.4810897,4.253113731887871e-49,5.316392164859839e-47
10,KLF5,14.543597,2.5289114,6.413245206171304e-48,7.544994360201533e-46
11,FTL,14.199254,3.196089,9.259285141484573e-46,1.8518570282969146e-42
11,LAPTM5,13.947955,11.60312,3.2375631154560646e-44,3.2375631154560645e-41
11,TYROBP,13.763901,13.462718,4.202287261192995e-43,2.80152484079533e-40
11,CYBA,13.63859,4.8622794,2.3608141753520786e-42,1.1804070876760393e-39
11,SRGN,12.766998,9.713085,2.506356942037404e-37,1.0025427768149615e-34
11,LCP1,11.669497,6.517795,1.8249936669580096e-31,5.828625969501686e-29
11,FCER1G,11.660017,9.759009,2.04001908932559e-31,5.828625969501686e-29
11,CD53,11.30763,11.386955,1.2029556784577596e-29,3.007389196144399e-27
11,HLA-B,11.254958,3.2166367,2.1893064054726455e-29,4.8651253454947684e-27
11,TYMP,11.1558275,4.8493843,6.70657040555814e-29,1.341314081111628e-26
12,EGFL7,20.25062,7.2962584,3.5080334254427634e-91,3.732844920093133e-88
12,GNG11,20.247559,5.559599,3.732844920093133e-91,3.732844920093133e-88
12,PCAT19,17.897573,9.596238,1.2317466098143253e-71,8.211644065428834e-69
12,RAMP2,17.1205,4.284411,1.043726395163723e-65,5.218631975818615e-63
12,TMSB4X,17.099195,2.2886837,1.5046520931625001e-65,6.01860837265e-63
12,HLA-E,16.443726,3.247884,9.301983499372741e-61,3.10066116645758e-58
12,CDH5,16.39614,11.722884,2.0378210895811688e-60,5.822345970231911e-58
12,ESAM,15.879731,7.761144,8.755218243119112e-57,2.188804560779778e-54
12,ECSCR,15.098057,10.235979,1.6677520167182964e-51,3.3355040334365926e-49
12,EMP1,14.956482,3.329958,1.4130149375922245e-50,2.569118068349499e-48
13,STAR,17.256275,3.2866569,1.0038186715370336e-66,1.4826841168200628e-63
13,H19,17.233732,2.9398353,1.482684116820063e-66,1.4826841168200628e-63
13,COL3A1,16.913462,2.620058,3.580445828242328e-64,2.386963885494885e-61
13,TSHZ2,16.693218,2.594516,1.4683873822247033e-62,7.341936911123516e-60
13,APOE,16.573942,3.4258869,1.0753956364527222e-61,4.301582545810889e-59
13,MATN2,15.798716,2.8459973,3.1751806487427548e-56,1.0583935495809183e-53
13,MEG3,15.246562,2.1559727,1.7353195700744396e-52,4.338298925186099e-50
13,S100A13,14.102599,2.1342034,3.660336293468937e-45,8.134080652153194e-43
13,WFDC1,14.00528,4.6196027,1.4470992438237198e-44,2.894198487647439e-42
13,GSTA1,13.725323,2.4923348,7.16096929271829e-43,1.3000380958713556e-40
14,PCP4,27.781504,9.120492,7.25768424495452e-170,1.451536848990904e-166
14,MGST3,26.415047,3.2251348,9.203689773194061e-154,9.203689773194061e-151
14,SPRR2F,23.37139,7.654792,8.354022807437351e-121,5.569348538291567e-118
14,SST,22.497156,8.402972,4.425516207965314e-112,2.2127581039826567e-109
14,BCAM,21.822004,3.301025,1.4343423997290954e-105,5.737369598916381e-103
14,PAX8,19.105259,4.362741,2.282891410889508e-81,7.60963803629836e-79
14,PRSS35,17.814083,4.026331,5.495065236757639e-71,1.3737663091894098e-68
14,LYPD1,17.487185,3.3429341,1.7940275175287052e-68,3.9867278167304564e-66
14,NRGN,17.380547,6.9119105,1.1584354634396978e-67,2.3168709268793955e-65
14,ATP1B1,17.355104,2.2095172,1.804744714942687e-67,3.281354027168522e-65
15,HMGB2,30.545696,4.7205405,6.450074868356505e-205,1.2900149736713008e-201
15,H2AFZ,25.142675,2.0835803,1.6994719380035518e-139,1.6994719380035518e-136
15,MT-CO1,22.66698,1.6911259,9.488194136718964e-114,4.5101578705403e-111
15,TOP2A,22.66628,5.2242274,9.640329176088312e-114,4.5101578705403e-111
15,UBE2C,22.659382,5.1678286,1.1275394676350749e-113,4.5101578705403e-111
15,TYMS,22.1602,3.5433257,8.318120011832421e-109,2.7727066706108067e-106
15,NUSAP1,22.005398,4.6208425,2.5566787126985052e-107,7.304796321995728e-105
15,CKS1B,21.931063,2.7137277,1.313261423667778e-106,3.283153559169445e-104
15,LGALS1,21.779726,2.106133,3.6122772100417426e-105,8.027282688981651e-103
15,MT-CO3,21.654156,1.4226236,5.5540375227256754e-104,1.110807504545135e-101
16,BGN,11.259465,4.6921077,2.0801621912609373e-29,4.160324382521875e-26
16,IGFBP7,11.068017,3.8549378,1.793254959208537e-28,1.7932549592085369e-25
16,RGS5,10.888551,6.788631,1.3070391232514584e-27,8.713594155009722e-25
16,TMSB4X,10.611135,2.2705371,2.645179394509617e-26,1.3225896972548085e-23
16,RGS16,10.44213,5.439789,1.5919854384580643e-25,6.367941753832257e-23
16,ACTA2,10.377375,6.5511026,3.143000792530339e-25,9.311073445746918e-23
16,MEF2C,10.373917,5.1198254,3.2588757060114216e-25,9.311073445746918e-23
16,NDUFA4L2,10.264248,7.868437,1.0211363917144647e-24,2.552840979286162e-22
16,CALD1,10.035492,2.8391356,1.0642715187712574e-23,2.365047819491683e-21
16,NOTCH3,9.415956,5.392659,4.68800731831861e-21,9.37601463663722e-19
17,PCSK1N,10.504052,5.134036,8.274958801731519e-26,5.516639201154346e-23
17,ELAVL2,10.098064,7.280595,5.634319757332724e-24,2.2537279029330895e-21
17,DCAF4L1,9.331906,9.020987,1.0398382554319623e-20,2.5995956385799054e-18
