group,names,scores,logfoldchanges,pvals,pvals_adj
0,ALDH1A3,51.79187,4.0746994,0.0,0.0
0,LIFR,51.34929,3.3783283,0.0,0.0
0,HGF,48.65917,4.0860147,0.0,0.0
0,TFPI,48.393642,2.981217,0.0,0.0
0,DLK1,48.09174,3.0684667,0.0,0.0
0,EDNRB,48.004177,3.3285248,0.0,0.0
0,INHBA,46.542576,3.0949192,0.0,0.0
0,STAR,45.565533,2.9508343,0.0,0.0
0,ARL4C,45.13253,3.0696132,0.0,0.0
0,HAS2,44.663345,3.0938048,0.0,0.0
1,SPRR2F,46.885067,5.328245,0.0,0.0
1,NPY,39.69961,4.7829685,0.0,0.0
1,GADD45G,38.96791,2.915895,0.0,0.0
1,PRSS35,37.559677,3.7945433,9.79359910517225e-309,4.896799552586124e-306
1,CDKN1C,35.99195,2.770779,1.1179754722673541e-283,4.471901889069417e-281
1,PRKAR2B,35.530067,2.8407066,1.6882777558557836e-276,4.823650731016524e-274
1,ARL4D,34.7062,3.2841773,6.351649871085975e-264,1.5879124677714938e-261
1,SPINT2,33.52721,2.4895225,1.93463765730594e-246,4.2991947940132e-244
1,HES1,32.367302,2.756442,7.921644260028058e-230,1.5843288520056116e-227
1,HSPA1A,31.803371,2.5910215,5.814289309651699e-222,1.0571435108457635e-219
10,SPRR2F,41.133854,4.9450793,0.0,0.0
10,PRKAR2B,37.447895,3.2341726,6.499192369231078e-307,4.618831893206631e-304
10,TOX3,37.44619,4.188728,6.928247839809947e-307,4.618831893206631e-304
10,EMX2,32.981148,3.1318119,1.5137270031679972e-238,6.0549080126719884e-236
10,RNASE1,31.67598,2.8093421,3.32851733781613e-220,9.510049536617513e-218
10,MIR202HG,31.470522,3.2100236,2.1995630220838273e-217,5.498907555209568e-215
10,NPY,31.010185,3.1742704,3.9296024267897735e-211,7.859204853579546e-209
10,LHX9,30.020086,3.199074,5.3671051380723465e-198,9.758372978313358e-196
10,CRYM,29.160322,4.0807037,6.180751736395061e-187,9.508848825223172e-185
10,DPEP1,29.149284,4.2954364,8.530239356336629e-187,1.2186056223338042e-184
11,HAS2,46.9562,4.0710497,0.0,0.0
11,TFPI2,42.1856,3.6637495,0.0,0.0
11,FOSL1,42.167652,2.9850168,0.0,0.0
11,INHBA,41.823547,3.4749794,0.0,0.0
11,PHLDA1,41.327282,2.7119758,0.0,0.0
11,IL1R1,38.353493,2.9718385,0.0,0.0
11,PLAUR,36.877365,2.583064,1.0657558144146769e-297,3.045016612613362e-295
11,CD44,36.095505,3.033194,2.6678069606243922e-285,6.66951740156098e-283
11,SOD2,35.246925,2.6036758,3.8237747852561463e-272,8.497277300569214e-270
11,SERPINE1,35.038704,2.6826696,5.7947449465026e-269,1.15894898930052e-266
12,DLK1,31.524,3.9013667,4.074408555593909e-218,8.148817111187819e-215
12,TFPI2,26.952656,3.5603173,5.309757819725465e-160,5.309757819725465e-157
